lncRNA_id,mean_meth_body,n_samples,species,mean_rpm,sd_rpm,cv_rpm,log2_rpm,genomic_context,meth_class
lncRNA_001,1.4707664393897,5,Apul,9.67059978283384,13.6364914686494,1.41009779898609,3.41556936565145,intergenic,Low (<10%)
lncRNA_002,1.4707664393897,5,Apul,14.9504620817033,18.9553346960345,1.26787617616398,3.99552631407033,intergenic,Low (<10%)
lncRNA_003,5.12445068130951,5,Apul,33.6766575868497,22.2439794035738,0.660516244707723,5.11589294168055,intergenic,Low (<10%)
lncRNA_004,0.543478260869565,4,Apul,42.3293439817135,49.7913056696428,1.17628342388564,5.43727248885941,intergenic,Low (<10%)
lncRNA_007,4.16746025078542,5,Apul,19.7125017192182,33.61672233882,1.70535038209008,4.37242991208339,TE_intergenic,Low (<10%)
lncRNA_012,1.50089904492948,5,Apul,22.2398960464246,33.1711545566177,1.49151571964971,4.53853171037493,intergenic,Low (<10%)
lncRNA_017,5.25764079320585,5,Apul,59.0019119284435,65.7326561656022,1.11407671407872,5.90693656703747,intergenic,Low (<10%)
lncRNA_019,2.70041497942839,5,Apul,44.3576867215945,51.6842512124201,1.16517012117449,5.50327515843941,intergenic,Low (<10%)
lncRNA_024,1.89357864357864,5,Apul,495.011746002394,723.177295910604,1.46092956733012,8.95423047510211,intron,Low (<10%)
lncRNA_026,1.61408412335186,5,Apul,283.888102190412,443.949078899199,1.56381713595531,8.15425156128094,intron,Low (<10%)
lncRNA_027,1.61408412335186,5,Apul,283.888102190412,443.949078899199,1.56381713595531,8.15425156128094,intron,Low (<10%)
lncRNA_028,0.97255873552158,5,Apul,194.832197599964,204.514892795221,1.04969761320014,7.61347417381214,intron,Low (<10%)
lncRNA_029,0.97255873552158,5,Apul,233.875881509182,233.684116284399,0.999180055576721,7.87575476598755,intron,Low (<10%)
lncRNA_030,0.572293433502434,5,Apul,61.1417372769482,63.2385992270132,1.03429509928001,5.95749066988112,intron,Low (<10%)
