miRNA_id,mean_meth_mature,n_samples,species,genomic_context
Cluster_15316,2.5276240667545,5,Apul,intergenic
Cluster_15340,2.47474747474748,5,Apul,exon
Cluster_16409,0.90909090909091,5,Apul,intergenic
Cluster_17776,13.1526755957995,5,Apul,intergenic
Cluster_17791,0,5,Apul,intergenic
Cluster_1832,18.5623148781044,5,Apul,intron
Cluster_18728,0,5,Apul,intergenic
Cluster_19193,0,5,Apul,intron
Cluster_1951,1.60915664456184,5,Apul,intron
Cluster_1167,6.24678455248714,4,Peve,intron
Cluster_4079,1.81727994227994,4,Peve,intron
Cluster_5882,2.87231287231288,4,Peve,intron
Cluster_6904,2.36796134357633,4,Peve,intron
Cluster_6905,1.92307692307692,4,Peve,intron
Cluster_1015,92.6237488002194,5,Ptuh,intron
Cluster_1068,1.90771822849807,5,Ptuh,intron
Cluster_1116,2.2651587895232,5,Ptuh,intergenic
Cluster_1296,1.32995222280937,5,Ptuh,intergenic
Cluster_36,2.94322344322344,5,Ptuh,intergenic
Cluster_3661,1.23434704830054,5,Ptuh,intron
Cluster_4039,0.73529411764706,4,Ptuh,intergenic
Cluster_5612,3.0887120542293,5,Ptuh,intron
