,id,type
1,ptuh-mir-novel-13,miRNA
2,ptuh-mir-2030,miRNA
3,ptuh-mir-novel-6,miRNA
4,ptuh-mir-novel-23,miRNA
5,ptuh-mir-2023,miRNA
6,ptuh-mir-novel-21,miRNA
7,ptuh-mir-novel-16,miRNA
8,ptuh-mir-novel-19,miRNA
9,ptuh-mir-novel-17,miRNA
10,ptuh-mir-novel-28,miRNA
11,ptuh-mir-100,miRNA
12,ptuh-mir-novel-32,miRNA
13,ptuh-mir-novel-4,miRNA
14,ptuh-mir-novel-25,miRNA
15,ptuh-mir-novel-10,miRNA
16,ptuh-mir-novel-12,miRNA
17,ptuh-mir-novel-9,miRNA
18,ptuh-mir-novel-11; ptuh-mir-novel-15,miRNA
19,ptuh-mir-novel-33,miRNA
20,ptuh-mir-novel-22,miRNA
21,ptuh-mir-novel-31,miRNA
22,ptuh-mir-novel-14,miRNA
23,ptuh-mir-novel-20,miRNA
24,ptuh-mir-novel-5,miRNA
25,ptuh-mir-2025,miRNA
26,ptuh-mir-novel-26,miRNA
27,ptuh-mir-novel-18,miRNA
28,ptuh-mir-novel-3,miRNA
29,ptuh-mir-novel-24,miRNA
30,ptuh-mir-novel-7,miRNA
31,ptuh-mir-novel-2,miRNA
32,ptuh-mir-2036,miRNA
33,ptuh-mir-novel-8,miRNA
34,ptuh-mir-novel-27,miRNA
35,ptuh-mir-novel-1,miRNA
36,ptuh-mir-novel-30,miRNA
37,ptuh-mir-novel-29,miRNA
38,Pocillopora_meandrina_HIv1___RNAseq.g22310.t1,other
39,Pocillopora_meandrina_HIv1___RNAseq.g25291.t1,other
40,Pocillopora_meandrina_HIv1___RNAseq.g10347.t1,other
41,Pocillopora_meandrina_HIv1___TS.g821.t1,other
42,Pocillopora_meandrina_HIv1___RNAseq.g26466.t1,other
43,Pocillopora_meandrina_HIv1___RNAseq.g14977.t1,other
44,Pocillopora_meandrina_HIv1___RNAseq.g18208.t1,other
45,Pocillopora_meandrina_HIv1___RNAseq.g20733.t1,other
46,Pocillopora_meandrina_HIv1___RNAseq.g627.t1b,other
47,Pocillopora_meandrina_HIv1___TS.g5059.t2,other
48,Pocillopora_meandrina_HIv1___RNAseq.g15252.t1,other
49,Pocillopora_meandrina_HIv1___RNAseq.g22666.t1,other
50,Pocillopora_meandrina_HIv1___TS.g23997.t1,other
51,Pocillopora_meandrina_HIv1___RNAseq.g29298.t1,other
52,Pocillopora_meandrina_HIv1___RNAseq.g1869.t1,other
53,Pocillopora_meandrina_HIv1___TS.g20484.t1,other
54,Pocillopora_meandrina_HIv1___RNAseq.g21083.t1,other
55,Pocillopora_meandrina_HIv1___TS.g29797.t1a,other
56,Pocillopora_meandrina_HIv1___RNAseq.g13929.t1,other
57,Pocillopora_meandrina_HIv1___RNAseq.g10343.t1,other
58,Pocillopora_meandrina_HIv1___RNAseq.g14845.t1,other
59,Pocillopora_meandrina_HIv1___RNAseq.g15866.t1,other
60,Pocillopora_meandrina_HIv1___RNAseq.g13578.t1,other
61,Pocillopora_meandrina_HIv1___RNAseq.g28481.t1,other
62,Pocillopora_meandrina_HIv1___RNAseq.g549.t1b,other
63,Pocillopora_meandrina_HIv1___RNAseq.g7360.t1,other
64,Pocillopora_meandrina_HIv1___RNAseq.g2388.t1,other
65,Pocillopora_meandrina_HIv1___TS.g5141.t1,other
66,Pocillopora_meandrina_HIv1___RNAseq.g28898.t1,other
67,Pocillopora_meandrina_HIv1___RNAseq.g29320.t1,other
68,Pocillopora_meandrina_HIv1___TS.g16575.t1,other
69,Pocillopora_meandrina_HIv1___RNAseq.g21663.t3,other
70,Pocillopora_meandrina_HIv1___RNAseq.g1558.t1,other
71,Pocillopora_meandrina_HIv1___RNAseq.g18290.t1,other
72,Pocillopora_meandrina_HIv1___RNAseq.g5133.t1,other
73,Pocillopora_meandrina_HIv1___TS.g12427.t1,other
74,Pocillopora_meandrina_HIv1___RNAseq.g22440.t1,other
75,Pocillopora_meandrina_HIv1___TS.g6076.t1,other
76,Pocillopora_meandrina_HIv1___TS.g2276.t1,other
77,Pocillopora_meandrina_HIv1___RNAseq.g22816.t2,other
78,Pocillopora_meandrina_HIv1___RNAseq.g22088.t1,other
79,Pocillopora_meandrina_HIv1___TS.g9480.t1,other
80,Pocillopora_meandrina_HIv1___RNAseq.g5368.t1,other
81,Pocillopora_meandrina_HIv1___RNAseq.g16818.t2,other
82,Pocillopora_meandrina_HIv1___TS.g18078.t3,other
83,Pocillopora_meandrina_HIv1___RNAseq.g18023.t1,other
84,Pocillopora_meandrina_HIv1___RNAseq.g7261.t1,other
85,Pocillopora_meandrina_HIv1___RNAseq.g25846.t1,other
86,Pocillopora_meandrina_HIv1___RNAseq.g26345.t1,other
87,Pocillopora_meandrina_HIv1___RNAseq.g27756.t1,other
88,Pocillopora_meandrina_HIv1___TS.g25963.t1,other
89,Pocillopora_meandrina_HIv1___TS.g25933.t1,other
90,Pocillopora_meandrina_HIv1___RNAseq.g23007.t1,other
91,Pocillopora_meandrina_HIv1___RNAseq.g11119.t1,other
92,Pocillopora_meandrina_HIv1___RNAseq.g21081.t1,other
93,Pocillopora_meandrina_HIv1___RNAseq.g27468.t1,other
94,Pocillopora_meandrina_HIv1___RNAseq.g27793.t1,other
95,Pocillopora_meandrina_HIv1___RNAseq.g10367.t1,other
96,Pocillopora_meandrina_HIv1___RNAseq.g9583.t1,other
97,Pocillopora_meandrina_HIv1___RNAseq.g22048.t1a,other
98,Pocillopora_meandrina_HIv1___RNAseq.g11546.t1,other
99,Pocillopora_meandrina_HIv1___RNAseq.g16419.t1,other
100,Pocillopora_meandrina_HIv1___RNAseq.g15378.t1,other
101,Pocillopora_meandrina_HIv1___RNAseq.g15470.t2,other
102,Pocillopora_meandrina_HIv1___RNAseq.g807.t1,other
103,Pocillopora_meandrina_HIv1___RNAseq.g20080.t1,other
104,Pocillopora_meandrina_HIv1___RNAseq.g26469.t1,other
105,Pocillopora_meandrina_HIv1___RNAseq.g21739.t1,other
106,Pocillopora_meandrina_HIv1___RNAseq.g11181.t1,other
