"lncRNA_id" "lncRNA_coord"
"1" "lncRNA_001" "Pocillopora_meandrina_HIv1___Sc0000000:130007-130942"
"2" "lncRNA_002" "Pocillopora_meandrina_HIv1___Sc0000000:164395-165221"
"3" "lncRNA_003" "Pocillopora_meandrina_HIv1___Sc0000000:164597-165221"
"4" "lncRNA_004" "Pocillopora_meandrina_HIv1___Sc0000000:168917-182502"
"5" "lncRNA_005" "Pocillopora_meandrina_HIv1___Sc0000000:245809-248612"
"6" "lncRNA_006" "Pocillopora_meandrina_HIv1___Sc0000000:282743-283165"
"7" "lncRNA_007" "Pocillopora_meandrina_HIv1___Sc0000000:551803-553744"
"8" "lncRNA_008" "Pocillopora_meandrina_HIv1___Sc0000000:584997-589105"
"9" "lncRNA_009" "Pocillopora_meandrina_HIv1___Sc0000000:585233-589105"
"10" "lncRNA_010" "Pocillopora_meandrina_HIv1___Sc0000000:586608-590569"
"11" "lncRNA_011" "Pocillopora_meandrina_HIv1___Sc0000000:587039-589105"
"12" "lncRNA_012" "Pocillopora_meandrina_HIv1___Sc0000000:608119-611735"
"13" "lncRNA_013" "Pocillopora_meandrina_HIv1___Sc0000000:608119-611735"
"14" "lncRNA_014" "Pocillopora_meandrina_HIv1___Sc0000000:774889-777085"
"15" "lncRNA_015" "Pocillopora_meandrina_HIv1___Sc0000000:779055-784625"
"16" "lncRNA_016" "Pocillopora_meandrina_HIv1___Sc0000000:836133-836745"
"17" "lncRNA_017" "Pocillopora_meandrina_HIv1___Sc0000000:849628-852046"
"18" "lncRNA_018" "Pocillopora_meandrina_HIv1___Sc0000000:850074-852046"
"19" "lncRNA_019" "Pocillopora_meandrina_HIv1___Sc0000000:958613-960727"
"20" "lncRNA_020" "Pocillopora_meandrina_HIv1___Sc0000000:961876-962189"
"21" "lncRNA_021" "Pocillopora_meandrina_HIv1___Sc0000000:1055640-1057379"
"22" "lncRNA_022" "Pocillopora_meandrina_HIv1___Sc0000000:1242140-1261316"
"23" "lncRNA_023" "Pocillopora_meandrina_HIv1___Sc0000000:1253417-1253755"
"24" "lncRNA_024" "Pocillopora_meandrina_HIv1___Sc0000000:1253995-1261220"
"25" "lncRNA_025" "Pocillopora_meandrina_HIv1___Sc0000000:1488516-1491636"
"26" "lncRNA_026" "Pocillopora_meandrina_HIv1___Sc0000000:1496330-1500789"
"27" "lncRNA_027" "Pocillopora_meandrina_HIv1___Sc0000000:1501614-1503142"
"28" "lncRNA_028" "Pocillopora_meandrina_HIv1___Sc0000000:1616910-1622670"
"29" "lncRNA_029" "Pocillopora_meandrina_HIv1___Sc0000000:1617145-1622829"
"30" "lncRNA_030" "Pocillopora_meandrina_HIv1___Sc0000000:1789314-1800539"
"31" "lncRNA_031" "Pocillopora_meandrina_HIv1___Sc0000000:1789350-1795470"
"32" "lncRNA_032" "Pocillopora_meandrina_HIv1___Sc0000000:2228038-2228937"
"33" "lncRNA_033" "Pocillopora_meandrina_HIv1___Sc0000000:2228125-2228616"
"34" "lncRNA_034" "Pocillopora_meandrina_HIv1___Sc0000000:2420621-2422254"
"35" "lncRNA_035" "Pocillopora_meandrina_HIv1___Sc0000000:2513923-2514255"
"36" "lncRNA_036" "Pocillopora_meandrina_HIv1___Sc0000000:2684191-2684469"
"37" "lncRNA_037" "Pocillopora_meandrina_HIv1___Sc0000000:2796416-2797736"
"38" "lncRNA_038" "Pocillopora_meandrina_HIv1___Sc0000000:2951622-2966261"
"39" "lncRNA_039" "Pocillopora_meandrina_HIv1___Sc0000000:2997189-3007038"
"40" "lncRNA_040" "Pocillopora_meandrina_HIv1___Sc0000000:3113758-3117669"
"41" "lncRNA_041" "Pocillopora_meandrina_HIv1___Sc0000000:3113758-3117669"
"42" "lncRNA_042" "Pocillopora_meandrina_HIv1___Sc0000000:3483862-3484415"
"43" "lncRNA_043" "Pocillopora_meandrina_HIv1___Sc0000000:3582370-3583786"
"44" "lncRNA_044" "Pocillopora_meandrina_HIv1___Sc0000000:3590436-3591381"
"45" "lncRNA_045" "Pocillopora_meandrina_HIv1___Sc0000000:3639930-3640246"
"46" "lncRNA_046" "Pocillopora_meandrina_HIv1___Sc0000000:3921675-3924595"
"47" "lncRNA_047" "Pocillopora_meandrina_HIv1___Sc0000000:3921675-3924741"
"48" "lncRNA_048" "Pocillopora_meandrina_HIv1___Sc0000000:4024777-4025435"
"49" "lncRNA_049" "Pocillopora_meandrina_HIv1___Sc0000000:4204839-4207113"
"50" "lncRNA_050" "Pocillopora_meandrina_HIv1___Sc0000000:4588557-4594516"
"51" "lncRNA_051" "Pocillopora_meandrina_HIv1___Sc0000000:4598832-4599768"
"52" "lncRNA_052" "Pocillopora_meandrina_HIv1___Sc0000000:4637653-4638343"
"53" "lncRNA_053" "Pocillopora_meandrina_HIv1___Sc0000000:4661180-4661760"
"54" "lncRNA_054" "Pocillopora_meandrina_HIv1___Sc0000000:5011202-5012520"
"55" "lncRNA_055" "Pocillopora_meandrina_HIv1___Sc0000000:5126397-5129291"
"56" "lncRNA_056" "Pocillopora_meandrina_HIv1___Sc0000000:5291310-5291782"
"57" "lncRNA_057" "Pocillopora_meandrina_HIv1___Sc0000000:5327899-5331180"
"58" "lncRNA_058" "Pocillopora_meandrina_HIv1___Sc0000000:5506434-5507897"
"59" "lncRNA_059" "Pocillopora_meandrina_HIv1___Sc0000000:5635007-5637653"
"60" "lncRNA_060" "Pocillopora_meandrina_HIv1___Sc0000000:5650738-5651750"
"61" "lncRNA_061" "Pocillopora_meandrina_HIv1___Sc0000000:5658609-5666296"
"62" "lncRNA_062" "Pocillopora_meandrina_HIv1___Sc0000000:5688021-5696036"
"63" "lncRNA_063" "Pocillopora_meandrina_HIv1___Sc0000000:5695778-5703740"
"64" "lncRNA_064" "Pocillopora_meandrina_HIv1___Sc0000000:5701368-5702426"
"65" "lncRNA_065" "Pocillopora_meandrina_HIv1___Sc0000000:5708269-5720970"
"66" "lncRNA_066" "Pocillopora_meandrina_HIv1___Sc0000000:5709502-5714513"
"67" "lncRNA_067" "Pocillopora_meandrina_HIv1___Sc0000000:5732540-5738118"
"68" "lncRNA_068" "Pocillopora_meandrina_HIv1___Sc0000000:5732856-5738278"
"69" "lncRNA_069" "Pocillopora_meandrina_HIv1___Sc0000000:5904680-5905046"
"70" "lncRNA_070" "Pocillopora_meandrina_HIv1___Sc0000000:5945002-5952102"
"71" "lncRNA_071" "Pocillopora_meandrina_HIv1___Sc0000000:5945097-5952102"
"72" "lncRNA_072" "Pocillopora_meandrina_HIv1___Sc0000000:6031697-6034798"
"73" "lncRNA_073" "Pocillopora_meandrina_HIv1___Sc0000000:6042793-6043084"
"74" "lncRNA_074" "Pocillopora_meandrina_HIv1___Sc0000000:6435294-6443412"
"75" "lncRNA_075" "Pocillopora_meandrina_HIv1___Sc0000000:6619457-6620509"
"76" "lncRNA_076" "Pocillopora_meandrina_HIv1___Sc0000000:6877173-6881746"
"77" "lncRNA_077" "Pocillopora_meandrina_HIv1___Sc0000000:6937320-6938200"
"78" "lncRNA_078" "Pocillopora_meandrina_HIv1___Sc0000000:7198341-7198627"
"79" "lncRNA_079" "Pocillopora_meandrina_HIv1___Sc0000000:7255092-7256199"
"80" "lncRNA_080" "Pocillopora_meandrina_HIv1___Sc0000000:7325304-7325560"
"81" "lncRNA_081" "Pocillopora_meandrina_HIv1___Sc0000000:7326134-7326559"
"82" "lncRNA_082" "Pocillopora_meandrina_HIv1___Sc0000000:7333843-7340649"
"83" "lncRNA_083" "Pocillopora_meandrina_HIv1___Sc0000000:7390468-7391477"
"84" "lncRNA_084" "Pocillopora_meandrina_HIv1___Sc0000000:7515606-7517858"
"85" "lncRNA_085" "Pocillopora_meandrina_HIv1___Sc0000000:7628792-7629210"
"86" "lncRNA_086" "Pocillopora_meandrina_HIv1___Sc0000000:7753022-7755908"
"87" "lncRNA_087" "Pocillopora_meandrina_HIv1___Sc0000000:7771343-7771663"
