"","miRNA","lncRNA","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","X","PCC.cor","p_value","adjusted_p_value"
"1","Cluster_1015","lncRNA_008",159,-22.47,"2 21","2138 2162",22,"63.64%","81.82%",266,-0.533078379025708,0.354942282705404,0.90209857086666
"2","Cluster_1015","lncRNA_008",159,-22.47,"2 21","290 314",22,"63.64%","81.82%",266,-0.533078379025708,0.354942282705404,0.90209857086666
"3","Cluster_1015","lncRNA_009",159,-22.47,"2 21","1902 1926",22,"63.64%","81.82%",303,-0.579164366417738,0.306183565286787,0.887925630909033
"4","Cluster_1015","lncRNA_009",159,-22.47,"2 21","54 78",22,"63.64%","81.82%",303,-0.579164366417738,0.306183565286787,0.887925630909033
"5","Cluster_1015","lncRNA_010",154,-21.59,"2 20","3803 3827",21,"61.90%","80.95%",340,-0.819036377812079,0.0898599211321156,0.750370492284524
"6","Cluster_1015","lncRNA_010",159,-22.47,"2 21","527 551",22,"63.64%","81.82%",340,-0.819036377812079,0.0898599211321156,0.750370492284524
"7","Cluster_1015","lncRNA_011",159,-22.47,"2 21","96 120",22,"63.64%","81.82%",377,-0.689647900741657,0.197599541731888,0.836107678069269
"8","Cluster_1015","lncRNA_016",163,-23.85,"2 21","137 159",20,"75.00%","80.00%",562,-0.642438181233921,0.24242239484955,0.862135270569508
"9","Cluster_1015","lncRNA_084",159,-22.47,"2 21","1433 1457",22,"63.64%","81.82%",3078,-0.645169833121698,0.239761028812024,0.860695390284446
"10","Cluster_1015","lncRNA_086",159,-22.47,"2 21","116 140",22,"63.64%","81.82%",3152,-0.798677061586669,0.105100172481068,0.769603953203627
"11","Cluster_1015","lncRNA_086",159,-22.47,"2 21","1937 1961",22,"63.64%","81.82%",3152,-0.798677061586669,0.105100172481068,0.769603953203627
"12","Cluster_1015","lncRNA_10109",156,-22.28,"2 21","70 91",19,"63.16%","78.95%",374003,-0.878561116156367,0.0498651378969957,0.712023583130468
