Entry	GeneID	Gene Ontology IDs
A0A096X8J7	gene-Peve_00003282	GO:0005452; GO:0005886; GO:0008509; GO:0015701; GO:0051453; GO:0055085; GO:0086001
A0A096X8J7	gene-Peve_00027371	GO:0005452; GO:0005886; GO:0008509; GO:0015701; GO:0051453; GO:0055085; GO:0086001
A0A0C2SRU0	gene-Peve_00011467	GO:0004609; GO:0005739; GO:0006646
A0A0C2SRU0	gene-Peve_00011913	GO:0004609; GO:0005739; GO:0006646
A0A0C2SRU0	gene-Peve_00011470	GO:0004609; GO:0005739; GO:0006646
A0A0C2SRU0	gene-Peve_00011916	GO:0004609; GO:0005739; GO:0006646
A0A0C2SRU0	gene-Peve_00011914	GO:0004609; GO:0005739; GO:0006646
A0A0G2JZ79	gene-Peve_00036938	GO:0000012; GO:0000122; GO:0000183; GO:0000720; GO:0000731; GO:0000785; GO:0000791; GO:0000792; GO:0000978; GO:0001525; GO:0001542; GO:0001678; GO:0001938; GO:0002039; GO:0002821; GO:0003713; GO:0003714; GO:0004407; GO:0005634; GO:0005635; GO:0005637; GO:0005654; GO:0005677; GO:0005730; GO:0005737; GO:0005739; GO:0005829; GO:0006325; GO:0006642; GO:0006974; GO:0006979; GO:0007005; GO:0007179; GO:0007283; GO:0007346; GO:0007517; GO:0007623; GO:0008047; GO:0008284; GO:0008630; GO:0009267; GO:0010046; GO:0010460; GO:0010628; GO:0010629; GO:0010659; GO:0010667; GO:0010824; GO:0010868; GO:0010875; GO:0010883; GO:0010898; GO:0010906; GO:0010918; GO:0010976; GO:0014858; GO:0016239; GO:0016567; GO:0016605; GO:0016922; GO:0017136; GO:0019213; GO:0019899; GO:0019904; GO:0030225; GO:0030424; GO:0030426; GO:0030512; GO:0031393; GO:0031507; GO:0031648; GO:0031667; GO:0032007; GO:0032041; GO:0032436; GO:0032720; GO:0032868; GO:0032922; GO:0032991; GO:0033210; GO:0033553; GO:0033558; GO:0034391; GO:0034979; GO:0035098; GO:0035331; GO:0035356; GO:0035358; GO:0035774; GO:0042127; GO:0042149; GO:0042220; GO:0042311; GO:0042393; GO:0042542; GO:0042595; GO:0042632; GO:0042771; GO:0042802; GO:0042981; GO:0043065; GO:0043066; GO:0043124; GO:0043161; GO:0043398; GO:0043422; GO:0043425; GO:0043518; GO:0043524; GO:0043536; GO:0044321; GO:0045348; GO:0045471; GO:0045599; GO:0045722; GO:0045739; GO:0045766; GO:0045786; GO:0045892; GO:0045944; GO:0046015; GO:0046628; GO:0046872; GO:0046969; GO:0046970; GO:0050872; GO:0051019; GO:0051152; GO:0051402; GO:0051658; GO:0051897; GO:0051898; GO:0055089; GO:0060125; GO:0060766; GO:0060907; GO:0061051; GO:0061773; GO:0070301; GO:0070403; GO:0070857; GO:0070914; GO:0071236; GO:0071303; GO:0071356; GO:0071456; GO:0071479; GO:0089720; GO:0090335; GO:0090400; GO:0097009; GO:0097193; GO:0106230; GO:0106231; GO:0140297; GO:0140861; GO:0140937; GO:0141050; GO:0141208; GO:0160012; GO:1900181; GO:1901797; GO:1902166; GO:1902176; GO:1902237; GO:1902617; GO:1903427; GO:1904178; GO:1904179; GO:1904373; GO:1904638; GO:1904639; GO:1904644; GO:1904646; GO:1904648; GO:1904710; GO:1990254; GO:1990830; GO:1990841; GO:2000111; GO:2000270; GO:2000614; GO:2000655; GO:2000773; GO:2000774; GO:2000781; GO:2001171
A0A0G2L7I0	gene-Peve_00043062	GO:0000785; GO:0003690; GO:0003697; GO:0004222; GO:0005634; GO:0006508; GO:0006974; GO:0008270; GO:0016540; GO:0031593; GO:0106300
A0A0P0XB70	gene-Peve_00033552	GO:0000184; GO:0003723; GO:0005737; GO:0006397; GO:0006417; GO:0008380; GO:0035145; GO:0051028
A0A0R3K2G2	gene-Peve_00039834	GO:0003973; GO:0019563; GO:0046872; GO:0051537
A0A0R4I9Y1	gene-Peve_00010160	GO:0001525; GO:0002376; GO:0005524; GO:0005811; GO:0005829; GO:0008270; GO:0016887; GO:0019216; GO:0042742; GO:0061630; GO:0070534; GO:0098792; GO:0120323; GO:0140042
A0A0R4IBK5	gene-Peve_00005850	GO:0002040; GO:0002376; GO:0004842; GO:0005524; GO:0005730; GO:0005811; GO:0005829; GO:0006511; GO:0008015; GO:0008270; GO:0016887; GO:0019216; GO:0042742; GO:0045765; GO:0061630; GO:0070534; GO:0098792; GO:0120323; GO:0140042; GO:2000051
A0A0R4IBK5	gene-Peve_00036236	GO:0002040; GO:0002376; GO:0004842; GO:0005524; GO:0005730; GO:0005811; GO:0005829; GO:0006511; GO:0008015; GO:0008270; GO:0016887; GO:0019216; GO:0042742; GO:0045765; GO:0061630; GO:0070534; GO:0098792; GO:0120323; GO:0140042; GO:2000051
