"target","gene_name"
"Peve_00007510","Dnmt1"
"Peve_00023930","Dnmt3a"
"Peve_00023930","Dnmt3b"
"Peve_00033130","Dnmt3l"
"Peve_00033130","USP9Y"
"Peve_00029730","USP10"
"Peve_00004975","USP11"
"Peve_00031882","USP12"
"Peve_00036006","USP14"
"Peve_00004975","USP15"
"Peve_00034097","USP16"
"Peve_00004975","USP19"
"Peve_00039022","USP20"
"Peve_00033314","USP21"
"Peve_00024877","USP22"
"Peve_00028116","USP6"
"Peve_00033249","USP7"
"Peve_00033314","USP8"
"Peve_00001201","USP13"
"Peve_00000002","USP1"
"Peve_00033314","USP2"
"Peve_00007462","USP3"
"Peve_00004975","USP4"
"Peve_00001201","USP5"
"Peve_00002408","USP30"
"Peve_00000948","USP31"
"Peve_00028116","USP32"
"Peve_00039022","USP33"
"Peve_00013719","USP34"
"Peve_00024930","USP35"
"Peve_00007016","USP36"
"Peve_00000581","USP37"
"Peve_00024930","USP38"
"Peve_00004753","USP39"
"Peve_00016848","USP40"
"Peve_00007016","USP42"
"Peve_00000948","USP43"
"Peve_00007462","USP44"
"Peve_00034097","USP45"
"Peve_00024877","USP27X"
"Peve_00033115","USP28"
"Peve_00000581","USP26"
"Peve_00024327","USP24"
"Peve_00033115","USP25"
"Peve_00031882","USP46"
"Peve_00041047","USP47"
"Peve_00034116","USP48"
"Peve_00007462","USP49"
"Peve_00024877","USP51"
"Peve_00025604","PAN2"
"Peve_00026256","USP53"
"Peve_00026256","USP54"
"Peve_00008516","ZRANB1"
"Peve_00006231","VCPIP1"
"Peve_00011107","OTUD6B"
"Peve_00021948","OTUD4"
"Peve_00031680","OTUD5"
"Peve_00011107","OTUD6A"
"Peve_00042192","OTUD3"
"Peve_00038467","ALG13"
"Peve_00037795","ATXN3"
"Peve_00037795","ATXN3L"
"Peve_00013497","JOSD1"
"Peve_00013497","JOSD2"
"Peve_00044244","BAP1"
"Peve_00031908","UCHL1"
"Peve_00031908","UCHL3"
"Peve_00039048","UCHL5"
"Peve_00031908","Uchl4"
"Peve_00044507","OTUD7A"
"Peve_00044507","OTUD7B"
"Peve_00030641","PSMD14"
"Peve_00011815","COPS5"
"Peve_00007875","COPS6"
"Peve_00006950","STAMBPL1"
"Peve_00030476","BRCC3"
"Peve_00024122","MYSM1"
"Peve_00015488","MPND"
"Peve_00008289","PSMD7"
"Peve_00038800","PRPF8"
"Peve_00038976","EIF3H"
"Peve_00000868","EIF3F"
"Peve_00014570","ZC3H12B"
"Peve_00014570","ZC3H12C"
"Peve_00014570","ZC3H12D"
"Peve_00014570","ZC3H12A"
"Peve_00014186","H1-2"
"Peve_00024933","H2AW"
"Peve_00014186","MACROH2A1"
"Peve_00036448","H2AZ2"
"Peve_00036448","H2AZ1"
"Peve_00024933","H2AJ"
"Peve_00037296","H2AX"
"Peve_00037296","Hdac2"
"Peve_00003957","Hdac3"
"Peve_00012697","Hdac4"
"Peve_00012697","Hdac5"
"Peve_00033035","Hdac6"
"Peve_00012697","Hdac7"
"Peve_00010989","Hdac8"
"Peve_00012697","Hdac9"
"Peve_00033035","Hdac10"
"Peve_00028250","Hdac11"
"Peve_00036938","Sirt1"
"Peve_00026033","Sirt2"
"Peve_00043302","Sirt3"
"Peve_00016435","Sirt4"
"Peve_00044100","Sirt5"
"Peve_00002288","Sirt6"
"Peve_00038716","Sirt7"
"Peve_00009964","Ogt"
"Peve_00038741","Parp2"
"Peve_00038741","Parp3"
"Peve_00042545","Parp4"
"Peve_00028939","Parp5a-Tnks"
"Peve_00028939","Parp5b-Tnks2"
"Peve_00025976","Parp7-Tiparp"
"Peve_00008443","Parp9"
"Peve_00004957","Parp11"
"Peve_00031499","Parp12"
"Peve_00025976","Parp13-Zc3hav1"
"Peve_00008443","Parp14"
"Peve_00013987","PARP15"
"Peve_00043706","Parp16"
"Peve_00032337","Parg"
"Peve_00007106","Arh1-Adprh"
"Peve_00004296","Arh3-Adprs"
"Peve_00002923","Kat1-Hat1"
"Peve_00009726","Kat2a"
"Peve_00009726","Kat2b"
"Peve_00017994","Kat3A-Crebbp"
"Peve_00017994","Kat3B-Ep300"
"Peve_00021028","Kat4-Taf1"
"Peve_00001955","Kat5"
"Peve_00029338","Kat6a"
"Peve_00029338","Kat6b"
"Peve_00039742","Kat7"
"Peve_00004487","Kat8"
"Peve_00037300","Kat9-Elp3"
"Peve_00004929","Kat13D-Clock"
"Peve_00012955","Kat14"
"Peve_00020054","GTF3C2"
"Peve_00038143","ATAT1"
"Peve_00038721","GTF3C1"
"Peve_00025640","NAA10"
"Peve_00032356","NAA50"
"Peve_00000025","NAA60"
"Peve_00007263","BRD4"
"Peve_00031468","ESCO2"
"Peve_00031468","ESCO1"
"Peve_00015518","DLAT"
"Peve_00016702","ATF2"
"Peve_00026823","MCM3AP"
"Peve_00004388","NAT10"
"Peve_00034369","ACAT1"
"Peve_00039635","ACAT2"
"Peve_00018519","Hspbap1"
"Peve_00042562","Kdm1a"
"Peve_00026895","Kdm1b"
"Peve_00001083","Kdm2a"
"Peve_00001083","Kdm2b"
"Peve_00012531","Kdm3a"
"Peve_00012531","Kdm3b"
"Peve_00033216","Kdm4a"
"Peve_00033216","Kdm4b"
"Peve_00033216","Kdm4c"
"Peve_00033216","Kdm4d"
"Peve_00024386","Kdm5a"
"Peve_00024386","Kdm5b"
"Peve_00024386","Kdm5c"
"Peve_00024386","Kdm5d"
"Peve_00037726","Kdm6a"
"Peve_00037726","Kdm6b"
"Peve_00024382","Kdm7a"
"Peve_00020822","Kdm8"
"Peve_00037726","Uty"
"Peve_00024382","Phf2"
"Peve_00024382","Phf8"
"Peve_00042423","Jmjd6"
"Peve_00038733","Jarid2"
"Peve_00007168","Jmjd7"
"Peve_00012531","Kdm3c-Jmjd1c"
"Peve_00035082","Tyw5"
"Peve_00018941","Riox1"
"Peve_00034401","Riox2"
"Peve_00021436","STK4"
"Peve_00004144","SLK"
"Peve_00016493","PRKAA2"
"Peve_00008765","WEE1"
"Peve_00013425","HIRA"
"Peve_00010001","HASPIN"
"Peve_00040182","BUB1"
"Peve_00018829","DLK1"
"Peve_00007660","DAPK3"
"Peve_00011375","PKN1"
"Peve_00012020","PKM"
"Peve_00037278","WDR5"
"Peve_00042451","JAK2"
"Peve_00042840","DYRK1A"
"Peve_00010858","RPS6KA5"
"Peve_00010858","RPS6KA4"
"Peve_00003553","YWHAQ"
"Peve_00025352","PRKCB"
"Peve_00028365","AURKB"
"Peve_00028365","AURKC"
"Peve_00028365","AURKA"
"Peve_00007373","JKAMP"
"Peve_00012762","MAPK9"
"Peve_00012762","MAPK8"
"Peve_00021436","STK4"
"Peve_00006057","MCPH1"
"Peve_00025197","PAK2"
"Peve_00013425","HIRA"
"Peve_00020511","ATM"
"Peve_00028661","ATR"
"Peve_00024902","CSNK2B"
"Peve_00034034","PRKCD"
"Peve_00026671","MAP2K1"
"Peve_00000244","MAP3K12"
"Peve_00024280","map3k22"
"Peve_00013366","MAPK1"
"Peve_00013366","MAPK3"
"Peve_00012762","mapk8b"
"Peve_00024572","MAPK11"
"Peve_00024572","MAPK12"
"Peve_00024572","MAPK13"
"Peve_00024572","MAPK14"
"Peve_00016493","PRKAA1"
"Peve_00016493","PRKAA2"
"Peve_00025955","PRKDC"
"Peve_00023669","PIM1"
"Peve_00042401","CDK8"
"Peve_00006971","Chuk"
"Peve_00037041","CDK1"
"Peve_00017258","CHEK1"
"Peve_00016898","APBB1"
"Peve_00025636","BAZ1B"
"Peve_00025636","Suv39h1-kmt1a"
"Peve_00025636","Suv39h2-Kmt1b"
"Peve_00015294","Kmt1c-Ehmt2"
"Peve_00015294","Kmt1d-Ehmt1"
"Peve_00039351","Kmt1e-Setdb1"
"Peve_00023309","Kmt2a"
"Peve_00023309","Kmt2b"
"Peve_00012281","Kmt2c"
"Peve_00012281","Kmt2d"
"Peve_00014804","Kmt2e"
"Peve_00030528","Kmt2f-Setd1a"
"Peve_00030528","Kmt2g-Setd1b"
"Peve_00011466","Kmt2h-Ash1l"
"Peve_00011466","Kmt3a-Setd2"
"Peve_00005354","Kmt3b-Nsd1"
"Peve_00043969","Kmt3c-Smyd2"
"Peve_00033746","Kmt4-Dot1l"
"Peve_00006850","Kmt5a—Setd8"
"Peve_00022624","Kmt5b"
"Peve_00022624","Kmt5c"
"Peve_00015726","Kmt6-Ezh2"
"Peve_00042741","Prdm1"
"Peve_00001916","Prdm4"
"Peve_00030471","Prdm5"
"Peve_00028982","Prdm6"
"Peve_00032945","PRDM7"
"Peve_00030471","Prdm9"
"Peve_00029036","Prdm11"
"Peve_00011728","Prdm12"
"Peve_00016482","Prdm14"
"Peve_00017312","Prdm15"
"Peve_00032945","Prdm16"
"Peve_00024185","Setmar"
"Peve_00005354","Whsc1-Nsd2"
"Peve_00005354","Whsc1l-Nsd3"
"Peve_00015726","Ezh1"
"Peve_00038398","Setd3"
"Peve_00014804","Setd5"
"Peve_00043969","Smyd3"
"Peve_00031996","Smyd4"
"Peve_00019246","Smyd5"
"Peve_00002272","Mbd2"
"Peve_00002272","Mbd3"
"Peve_00039805","Mbd4"
"Peve_00015813","Mbd6"
"Peve_00015813","Baz2b"
"Peve_00023794","Uhrf1"
"Peve_00023794","Uhrf2"
"Peve_00034340","Klf4"
"Peve_00008524","Egr1"
"Peve_00030471","Ctcf"
"Peve_00022617","EYA1"
"Peve_00022617","EYA3"
"Peve_00022617","EYA4"
"Peve_00022617","EYA2"
"Peve_00044379","PPM1D"
"Peve_00001903","PPP6C"
"Peve_00001903","PPP4C"
"Peve_00000085","DUS1L"
"Peve_00002411","PPP1CA"
"Peve_00038631","PPP1CB"
"Peve_00002411","PPP1CC"
"Peve_00028178","Prmt2"
"Peve_00031756","Prmt3"
"Peve_00007557","Prmt5"
"Peve_00031756","Prmt6"
"Peve_00002216","Prmt7"
"Peve_00031756","Prmt8"
"Peve_00025399","Prmt9"
"Peve_00018162","PPP1R7"
"Peve_00022566","PPP1R8"
"Peve_00017615","PPP1R9A"
"Peve_00017615","PPP1R9B"
"Peve_00002799","PPP1R12A"
"Peve_00003185","PPP1R12C"
"Peve_00003185","PPP1R12B"
"Peve_00015788","PPP1R13B"
"Peve_00002799","PPP1R16A"
"Peve_00002799","PPP1R16B"
"Peve_00018098","PPP1R2"
"Peve_00042415","METTL14"
"Peve_00030646","WTAP"
"Peve_00010453","VIRMA"
"Peve_00023795","RBM15"
"Peve_00029598","METTL16"
"Peve_00035415","ZCCHC4"
"Peve_00024800","METTL5"
"Peve_00042777","TRMT112"
"Peve_00023795","RBM15B"
"Peve_00038844","ALKBH5"
"Peve_00030190","YTHDC2"
"Peve_00009242","YTHDC1"
"Peve_00015531","YTHDF1"
"Peve_00015531","YTHDF2"
"Peve_00015531","YTHDF3"
"Peve_00008102","FMR1"
"Peve_00001862","HNRNPA2B1"
"Peve_00038757","METTL4"
"Peve_00013005","DCP2"
"Peve_00009281","NSUN2"
"Peve_00006200","TRDMT1"
"Peve_00027888","NSUN4"
