,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value
1,apul-mir-novel-23,FUN_043573,3UTR,FUN_043573;2 18;743 766,-24.7,18,72.22%,83.33%,0.929674659349317,0.929674659349317,1,0.0221496324840345
2,apul-mir-novel-15,FUN_025197,3UTR,FUN_025197;2 21;778 800,-21.7,20,80.00%,85.00%,0.978580789954302,0.978580789954302,1,0.00375092828341026
3,apul-mir-novel-34,FUN_019843,3UTR,FUN_019843;2 20;515 537,-23.37,19,78.95%,89.47%,0.912436100242777,0.912436100242777,1,0.0306925837127653
4,apul-mir-novel-34,FUN_019846,3UTR,FUN_019846;2 20;511 533,-23.37,19,78.95%,89.47%,0.912436100242777,0.912436100242777,1,0.0306925837127653
5,apul-mir-novel-15,FUN_014343,3UTR,FUN_014343;2 21;255 276,-20.65,20,70.00%,85.00%,0.938315097289955,0.938315097289955,1,0.0182197517071088
6,apul-mir-novel-21,FUN_029385,3UTR,FUN_029385;2 20;682 707,-22.39,22,72.73%,77.27%,0.918700592430811,0.918700592430811,1,0.0274850568020725
7,apul-mir-novel-34,FUN_020652,3UTR,FUN_020652;2 20;523 545,-23.37,19,78.95%,89.47%,0.912436100242777,0.912436100242777,1,0.0306925837127653
8,apul-mir-novel-23,FUN_043328,3UTR,FUN_043328;2 19;931 954,-22.26,19,84.21%,89.47%,0.965914639369325,0.965914639369325,1,0.00751541039444425
9,apul-mir-novel-33,FUN_034923,3UTR,FUN_034923;2 22;665 686,-21.08,20,80.00%,90.00%,0.952463395955054,0.952463395955054,1,0.0123525010315663
10,apul-mir-novel-33,FUN_027826,3UTR,FUN_027826;2 22;966 997,-20.73,29,65.52%,68.97%,0.915440855529146,0.915440855529146,1,0.0291399046285765
11,apul-mir-novel-31,FUN_008664,3UTR,FUN_008664;2 21;280 304,-22.36,22,77.27%,77.27%,0.88089978514717,0.88089978514717,1,0.0484493357400938
12,apul-mir-novel-15,FUN_013927,3UTR,FUN_013927;2 18;385 407,-21.17,17,76.47%,76.47%,0.978580789954303,0.978580789954303,1,0.00375092828341024
13,apul-mir-2050,FUN_042810,3UTR,FUN_042810;2 20;399 421,-20.43,19,73.68%,78.95%,-0.911420631503238,0.911420631503238,-1,0.0312231380321461
14,apul-mir-novel-9,FUN_018057,3UTR,FUN_018057;2 16;945 967,-20.64,14,64.29%,85.71%,0.900789662401113,0.900789662401113,1,0.0369486378710841
15,apul-mir-100,FUN_018057,3UTR,FUN_018057;2 11;750 771,-20.1,9,100.00%,100.00%,-0.910263152536072,0.910263152536072,-1,0.0318314343537556
16,apul-mir-novel-7,FUN_041481,3UTR,FUN_041481;2 17;675 695,-22.29,15,66.67%,80.00%,0.891068009656766,0.891068009656766,1,0.0424463563461438
17,apul-mir-novel-28,FUN_035372,3UTR,FUN_035372;2 23;141 164,-26.71,21,76.19%,85.71%,0.914870296887149,0.914870296887149,1,0.0294327402235506
18,apul-mir-novel-31,FUN_036130,3UTR,FUN_036130;2 14;867 888,-20.15,12,91.67%,91.67%,0.939876771205326,0.939876771205326,1,0.0175364380491936
19,apul-mir-novel-9,FUN_012516,3UTR,FUN_012516;2 22;218 245,-24.1,25,64.00%,72.00%,0.91318960314172,0.91318960314172,1,0.0303007902784342
20,apul-mir-novel-10,FUN_041670,3UTR,FUN_041670;2 21;240 267,-20.77,25,60.00%,64.00%,-0.963033219379839,0.963033219379839,-1,0.0084845415358989
21,apul-mir-novel-28,FUN_023803,3UTR,FUN_023803;2 23;352 379,-21.6,25,68.00%,76.00%,0.881114119723408,0.881114119723408,1,0.0483202262003849
22,apul-mir-2025,FUN_029420,3UTR,FUN_029420;2 21;168 194,-24.18,24,62.50%,79.17%,0.904239489935055,0.904239489935055,1,0.0350570127190687
23,apul-mir-novel-22,FUN_006425,3UTR,FUN_006425;2 21;325 349,-26.62,22,77.27%,77.27%,0.905658990907276,0.905658990907276,1,0.0342879456764622
24,apul-mir-novel-19,FUN_034331,3UTR,FUN_034331;2 21;750 772,-22.83,20,65.00%,80.00%,0.94735279088149,0.94735279088149,1,0.0143859052783021
25,apul-mir-novel-16,FUN_011647,3UTR,FUN_011647;2 19;761 783,-21.12,18,83.33%,88.89%,-0.934483591954529,0.934483591954529,-1,0.019931698625076
26,apul-mir-novel-19,FUN_031699,3UTR,FUN_031699;2 21;333 352,-20.68,19,68.42%,78.95%,-0.933747396339595,0.933747396339595,-1,0.0202663060621374
27,apul-mir-2028,FUN_001214,3UTR,FUN_001214;2 20;1 23,-23.22,19,78.95%,78.95%,0.934801298442879,0.934801298442879,1,0.0197878570789982
28,apul-mir-2023,FUN_035855,3UTR,FUN_035855;2 20;752 770,-20.3,18,77.78%,83.33%,0.9658101093013,0.9658101093013,1,0.00754988858923516
29,apul-mir-novel-21,FUN_040184,3UTR,FUN_040184;2 19;70 91,-22.32,17,82.35%,88.24%,0.88328449467037,0.88328449467037,1,0.0470190087487873
30,apul-mir-novel-9,FUN_032443,3UTR,FUN_032443;2 21;834 861,-20.62,24,62.50%,75.00%,0.898911920913488,0.898911920913488,1,0.0379915018463866
31,apul-mir-novel-5,FUN_032449,3UTR,FUN_032449;2 21;213 240,-20.24,23,78.26%,78.26%,0.995693532787135,0.995693532787135,1,0.00033902742814575
32,apul-mir-novel-21,FUN_000258,3UTR,FUN_000258;2 21;785 807,-21.54,20,75.00%,85.00%,0.977388854104582,0.977388854104582,1,0.00406760929145233
33,apul-mir-novel-9,FUN_010495,3UTR,FUN_010495;2 21;197 220,-21.99,20,65.00%,70.00%,0.878919133374315,0.878919133374315,1,0.0496475644454636
34,apul-mir-novel-5,FUN_037383,3UTR,FUN_037383;2 23;383 409,-20.44,24,62.50%,75.00%,0.918909104941592,0.918909104941592,1,0.0273802661228337
35,apul-mir-novel-26,FUN_000662,3UTR,FUN_000662;2 20;178 202,-20.84,22,68.18%,68.18%,0.929222172391746,0.929222172391746,1,0.0223621946443423
