"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","V2","V3","V4.x","V5","V6","V7","V8","V9","V10","V11","PCC.cor","p_value","adjusted_p_value"
"1","FUN_005080","GO:0008218","bioluminescence",10,3,0.76,0.034,"Biological Processes",384,"Cluster_10228","ntLink_8:30914454-30915454",167,-22.58,2,21,643,668,22,"72.73%","81.82%",0.250616055494093,0.684278226224399,0.998649612991003
"2","FUN_009335","GO:0002412","antigen transcytosis by M cells in mucosal-associat...",43,12,3.25,4e-05,"Biological Processes",3981,"Cluster_4220","ptg000004l:5445546-5446546",165,-20.72,2,19,970,992,18,"83.33%","83.33%",0.327972887532666,0.590024035900597,0.998649612991003
"3","FUN_015195","GO:0001649","osteoblast differentiation",27,5,2.04,0.048,"Biological Processes",3381,"Cluster_3250","ptg000009l:7365755-7366755",159,-20.47,2,21,631,653,20,"75.00%","75.00%",0.961884328530676,0.00888158585378557,0.706856173382899
"4","FUN_015203","GO:0001649","osteoblast differentiation",27,5,2.04,0.048,"Biological Processes",3382,"Cluster_3250","ptg000009l:7450889-7451889",167,-20.56,2,21,613,635,20,"80.00%","80.00%",0.894708329017732,0.0403593442331659,0.96546924320845
"5","FUN_017929","GO:0001649","osteoblast differentiation",27,5,2.04,0.048,"Biological Processes",626,"Cluster_14402","ptg000012l:2028399-2029399",154,-23.07,2,21,415,444,27,"66.67%","70.37%",0.591239932701893,0.293716274290072,0.998649612991003
"6","FUN_022557","GO:0002412","antigen transcytosis by M cells in mucosal-associat...",43,12,3.25,4e-05,"Biological Processes",1235,"Cluster_15340","ptg000016l:10510645-10511645",154,-21.79,2,21,297,320,21,"66.67%","80.95%",0.507239798954188,0.383038587820633,0.998649612991003
"7","FUN_022724","GO:0002412","antigen transcytosis by M cells in mucosal-associat...",43,12,3.25,4e-05,"Biological Processes",1656,"Cluster_15851","ptg000016l:12682946-12683584",154,-20.58,2,21,224,254,28,"67.86%","67.86%",0.453921949500155,0.44255966195353,0.998649612991003
"8","FUN_022729","GO:0002412","antigen transcytosis by M cells in mucosal-associat...",43,12,3.25,4e-05,"Biological Processes",1657,"Cluster_15851","ptg000016l:12690772-12691060",154,-20.58,2,21,224,254,28,"67.86%","67.86%",0.305175647585352,0.61755675582398,0.998649612991003
"9","FUN_022730","GO:0002412","antigen transcytosis by M cells in mucosal-associat...",43,12,3.25,4e-05,"Biological Processes",1658,"Cluster_15851","ptg000016l:12690772-12691411",154,-20.58,2,21,224,254,28,"67.86%","67.86%",0.365037447158934,0.545758885555677,0.998649612991003
"10","FUN_022731","GO:0002412","antigen transcytosis by M cells in mucosal-associat...",43,12,3.25,4e-05,"Biological Processes",1659,"Cluster_15851","ptg000016l:12694124-12694763",154,-20.58,2,21,224,254,28,"67.86%","67.86%",0.25413703286986,0.679940301424947,0.998649612991003
