"","X","miRNA","V2","V3.x","V4.x","V5","V6","V7","V8","V9","V10","V11","mRNA","PCC.cor","p_value","adjusted_p_value","V1","V3.y","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Cluster_10051","ntLink_8:7220911-7221911",158,-24.78,2,16,784,806,15,"80.00%","93.33%","FUN_002872",0.978580789954302,0.00375092828341026,0.545343267336266,NA,NA,NA,NA,NA,NA
"10",10,"Cluster_10051","ptg000001l:5265148-5266148",170,-22.02,2,19,878,899,17,"82.35%","88.24%","FUN_005888",0.975440230656255,0.00460324260998972,0.573023665500183,NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"Cluster_10051","ptg000008l:26878806-26879806",164,-21.3,2,17,33,54,15,"86.67%","86.67%","FUN_013794",0.903585602802314,0.035413110706321,0.956725250647607,NA,NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"Cluster_10051","ptg000008l:6591882-6592882",167,-22.01,2,16,569,590,14,"92.86%","92.86%","FUN_012231",0.978580789954302,0.00375092828341026,0.545343267336266,NA,NA,NA,NA,NA,NA
"29",29,"Cluster_10051","ptg000009l:1809772-1810385",159,-21.97,2,20,216,237,18,"66.67%","83.33%","FUN_014646",0.899802336682014,0.037495826415247,0.96546924320845,NA,NA,NA,NA,NA,NA
"33",33,"Cluster_10051","ptg000011l:11842699-11843699",151,-22.16,2,20,659,678,18,"66.67%","88.89%","FUN_017308",0.978580789954302,0.00375092828341026,0.545343267336266,NA,NA,NA,NA,NA,NA
"34",34,"Cluster_10051","ptg000011l:13786293-13787293",146,-20.02,2,16,854,878,17,"70.59%","76.47%","FUN_017738",0.978580789954302,0.00375092828341026,0.545343267336266,"ptg000011l:13785629-13786293","P35061","Histone H2A","Acropora formosa (Staghorn coral)","","GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982"
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"Cluster_10051","ptg000012l:17350813-17351813",170,-25.68,2,19,519,540,17,"82.35%","88.24%","FUN_019112",0.979114430567039,0.0036119195946308,0.545343267336266,NA,NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"Cluster_10051","ptg000015l:5531064-5532064",171,-20.94,2,21,67,89,20,"80.00%","85.00%","FUN_019740",0.978580789954302,0.00375092828341026,0.545343267336266,NA,NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,"Cluster_10051","ptg000023l:14155246-14156246",162,-22.68,2,21,302,322,19,"73.68%","84.21%","FUN_030640",0.978580789954303,0.00375092828341024,0.545343267336266,NA,NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,"Cluster_10051","ptg000023l:3044243-3045243",159,-21.06,2,21,946,968,20,"70.00%","80.00%","FUN_029532",0.968136791844896,0.00679487480367087,0.667454393045194,"ptg000023l:3045243-3047214","P16157","Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)","Homo sapiens (Human)","cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]","GO:0005198; GO:0005200; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0009898; GO:0014731; GO:0016323; GO:0016529; GO:0019899; GO:0019903; GO:0030507; GO:0031430; GO:0043005; GO:0044325; GO:0045199; GO:0051117; GO:0072659"
"63",63,"Cluster_10051","ptg000023l:43302764-43303764",159,-22.99,2,17,689,711,16,"75.00%","93.75%","FUN_033563",0.978580789954302,0.00375092828341026,0.545343267336266,NA,NA,NA,NA,NA,NA
"68",68,"Cluster_10051","ptg000025l:17029308-17030308",157,-21.17,2,20,771,794,20,"70.00%","85.00%","FUN_036244",0.980509833063189,0.00325674264532644,0.545343267336266,"ptg000025l:17006276-17029308","Q7YRU6","Solute carrier family 12 member 7 (K-Cl cotransporter 4) (Potassium-chloride cotransporter isoform 4)","Oryctolagus cuniculus (Rabbit)","potassium ion transmembrane transport [GO:0071805]","GO:0005886; GO:0015379; GO:0071805"
"NA.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
