Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	133	133
OG0000001	116	116
OG0000002	114	114
OG0000003	113	113
OG0000004	98	98
OG0000005	86	86
OG0000006	82	82
OG0000007	82	82
OG0000008	82	82
OG0000009	81	81
OG0000010	80	80
OG0000011	80	80
OG0000012	76	76
OG0000013	74	74
OG0000014	73	73
OG0000015	73	73
OG0000016	71	71
OG0000017	66	66
OG0000018	68	68
OG0000019	63	63
OG0000020	62	62
OG0000021	61	61
OG0000022	60	60
OG0000023	60	60
OG0000024	59	59
OG0000025	59	59
OG0000026	57	57
OG0000027	48	36
OG0000028	57	57
OG0000029	57	57
OG0000030	53	53
OG0000031	51	51
OG0000032	52	52
OG0000033	51	51
OG0000034	50	50
OG0000035	50	50
OG0000036	49	49
OG0000037	48	48
OG0000038	47	47
OG0000039	46	46
OG0000040	44	44
OG0000041	45	45
OG0000042	42	34
OG0000043	44	44
OG0000044	45	45
OG0000045	43	43
OG0000046	43	43
OG0000047	41	41
OG0000048	41	41
OG0000049	38	37
OG0000050	42	42
OG0000051	41	41
OG0000052	41	41
OG0000053	40	40
OG0000054	40	40
OG0000055	41	41
OG0000056	41	41
OG0000057	41	41
OG0000058	41	41
OG0000059	39	39
OG0000060	40	40
OG0000061	39	39
OG0000062	39	39
OG0000063	38	38
OG0000064	35	35
OG0000065	39	39
OG0000066	36	36
OG0000067	37	37
OG0000068	37	37
OG0000069	36	36
OG0000070	32	32
OG0000071	35	35
OG0000072	35	35
OG0000073	33	33
OG0000074	34	34
OG0000075	35	35
OG0000076	35	35
OG0000077	30	21
OG0000078	35	35
OG0000079	33	33
OG0000080	34	34
OG0000081	31	31
OG0000082	34	34
OG0000083	34	34
OG0000084	33	33
OG0000085	33	33
OG0000086	33	33
OG0000087	33	33
OG0000088	29	28
OG0000089	31	31
OG0000090	29	29
OG0000091	32	32
OG0000092	33	33
OG0000093	29	29
OG0000094	31	31
OG0000095	31	31
OG0000096	32	32
OG0000097	32	32
OG0000098	30	30
OG0000099	30	30
OG0000100	31	31
OG0000101	32	32
OG0000102	32	32
OG0000103	32	32
OG0000104	31	31
OG0000105	32	32
OG0000106	31	31
OG0000107	31	31
OG0000108	29	29
OG0000109	29	29
OG0000110	27	23
OG0000111	31	31
OG0000112	31	31
OG0000113	30	30
OG0000114	31	31
OG0000115	31	31
OG0000116	31	31
OG0000117	30	30
OG0000118	30	30
OG0000119	30	30
OG0000120	27	27
OG0000121	27	27
OG0000122	30	30
OG0000123	29	29
OG0000124	29	29
OG0000125	27	27
OG0000126	25	25
OG0000127	30	30
OG0000128	29	29
OG0000129	29	29
OG0000130	28	28
OG0000131	28	28
OG0000132	28	28
