"X.1","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","species"
60,17277,"Cluster_19193","FUN_043573",0.929674659349317,0.0221496324840345,0.897955770703476,151,-24.7,"2 18","743 766",18,"72.22%","83.33%","A. pulchra"
69,20648,"Cluster_10051","FUN_025197",0.978580789954302,0.00375092828341026,0.545343267336266,171,-21.7,"2 21","778 800",20,"80.00%","85.00%","A. pulchra"
71,20936,"Cluster_16409","FUN_019843",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","515 537",19,"78.95%","89.47%","A. pulchra"
72,20975,"Cluster_16409","FUN_019846",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","511 533",19,"78.95%","89.47%","A. pulchra"
107,29735,"Cluster_10051","FUN_014343",0.938315097289955,0.0182197517071088,0.847898695599974,157,-20.65,"2 21","255 276",20,"70.00%","85.00%","A. pulchra"
115,31948,"Cluster_3250","FUN_029385",0.918700592430811,0.0274850568020725,0.914225011702335,157,-22.39,"2 20","682 707",22,"72.73%","77.27%","A. pulchra"
135,43088,"Cluster_16409","FUN_020652",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","523 545",19,"78.95%","89.47%","A. pulchra"
136,43485,"Cluster_19193","FUN_043328",0.965914639369325,0.00751541039444425,0.677079544727381,173,-22.26,"2 19","931 954",19,"84.21%","89.47%","A. pulchra"
139,44644,"Cluster_15775","FUN_034923",0.952463395955054,0.0123525010315663,0.766084851142397,175,-21.08,"2 22","665 686",20,"80.00%","90.00%","A. pulchra"
152,46945,"Cluster_15775","FUN_027826",0.915440855529146,0.0291399046285765,0.922979388371587,150,-20.73,"2 22","966 997",29,"65.52%","68.97%","A. pulchra"
155,47689,"Cluster_15928","FUN_008664",0.88089978514717,0.0484493357400938,0.96546924320845,162,-22.36,"2 21","280 304",22,"77.27%","77.27%","A. pulchra"
183,55241,"Cluster_10051","FUN_013927",0.978580789954303,0.00375092828341024,0.545343267336266,152,-21.17,"2 18","385 407",17,"76.47%","76.47%","A. pulchra"
193,57459,"Cluster_4254","FUN_042810",-0.911420631503238,0.0312231380321461,0.927224593598359,158,-20.43,"2 20","399 421",19,"73.68%","78.95%","A. pulchra"
203,61675,"Cluster_5981","FUN_018057",0.900789662401113,0.0369486378710841,0.96546924320845,147,-20.64,"2 16","945 967",14,"64.29%","85.71%","A. pulchra"
204,61696,"Cluster_18728","FUN_018057",-0.910263152536072,0.0318314343537556,0.931214853312136,150,-20.1,"2 11","750 771",9,"100.00%","100.00%","A. pulchra"
233,69063,"Cluster_17776","FUN_041481",0.891068009656766,0.0424463563461438,0.96546924320845,142,-22.29,"2 17","675 695",15,"66.67%","80.00%","A. pulchra"
240,70637,"Cluster_3366","FUN_035372",0.914870296887149,0.0294327402235506,0.922979388371587,178,-26.71,"2 23","141 164",21,"76.19%","85.71%","A. pulchra"
250,73351,"Cluster_15928","FUN_036130",0.939876771205326,0.0175364380491936,0.847898695599974,157,-20.15,"2 14","867 888",12,"91.67%","91.67%","A. pulchra"
272,80356,"Cluster_5981","FUN_012516",0.91318960314172,0.0303007902784342,0.922979388371587,151,-24.1,"2 22","218 245",25,"64.00%","72.00%","A. pulchra"
287,83003,"Cluster_4220","FUN_041670",-0.963033219379839,0.0084845415358989,0.696512129680701,143,-20.77,"2 21","240 267",25,"60.00%","64.00%","A. pulchra"
302,86042,"Cluster_3366","FUN_023803",0.881114119723408,0.0483202262003849,0.96546924320845,160,-21.6,"2 23","352 379",25,"68.00%","76.00%","A. pulchra"
349,103609,"Cluster_15316","FUN_029420",0.904239489935055,0.0350570127190687,0.955405536641937,159,-24.18,"2 21","168 194",24,"62.50%","79.17%","A. pulchra"
369,106961,"Cluster_14402","FUN_006425",0.905658990907276,0.0342879456764622,0.950618253871956,167,-26.62,"2 21","325 349",22,"77.27%","77.27%","A. pulchra"
373,107588,"Cluster_15340","FUN_034331",0.94735279088149,0.0143859052783021,0.791406447288987,155,-22.83,"2 21","750 772",20,"65.00%","80.00%","A. pulchra"
400,115514,"Cluster_18711","FUN_011647",-0.934483591954529,0.019931698625076,0.870542031315368,169,-21.12,"2 19","761 783",18,"83.33%","88.89%","A. pulchra"
422,121238,"Cluster_15340","FUN_031699",-0.933747396339595,0.0202663060621374,0.874851497109032,153,-20.68,"2 21","333 352",19,"68.42%","78.95%","A. pulchra"
433,124116,"Cluster_10057","FUN_001214",0.934801298442879,0.0197878570789982,0.86874670502882,162,-23.22,"2 20","1 23",19,"78.95%","78.95%","A. pulchra"
440,125788,"Cluster_5012","FUN_035855",0.9658101093013,0.00754988858923516,0.677079544727381,155,-20.3,"2 20","752 770",18,"77.78%","83.33%","A. pulchra"
448,129604,"Cluster_3250","FUN_040184",0.88328449467037,0.0470190087487873,0.96546924320845,170,-22.32,"2 19","70 91",17,"82.35%","88.24%","A. pulchra"
454,130861,"Cluster_5981","FUN_032443",0.898911920913488,0.0379915018463866,0.96546924320845,150,-20.62,"2 21","834 861",24,"62.50%","75.00%","A. pulchra"
455,130926,"Cluster_1862","FUN_032449",0.995693532787135,0.00033902742814575,0.393371538720933,161,-20.24,"2 21","213 240",23,"78.26%","78.26%","A. pulchra"
457,131593,"Cluster_3250","FUN_000258",0.977388854104582,0.00406760929145233,0.545343267336266,167,-21.54,"2 21","785 807",20,"75.00%","85.00%","A. pulchra"
461,133552,"Cluster_5981","FUN_010495",0.878919133374315,0.0496475644454636,0.96546924320845,147,-21.99,"2 21","197 220",20,"65.00%","70.00%","A. pulchra"
493,141963,"Cluster_1862","FUN_037383",0.918909104941592,0.0273802661228337,0.914225011702335,152,-20.44,"2 23","383 409",24,"62.50%","75.00%","A. pulchra"
509,145338,"Cluster_14768","FUN_000662",0.929222172391746,0.0223621946443423,0.900124376770459,150,-20.84,"2 20","178 202",22,"68.18%","68.18%","A. pulchra"
518,146149,"Cluster_5981","FUN_030107",0.965113242711184,0.00778106354057353,0.677079544727381,166,-24.76,"2 16","252 275",15,"93.33%","93.33%","A. pulchra"
524,147769,"Cluster_18728","FUN_028681",-0.921599313631769,0.026039899045672,0.914225011702335,146,-20.91,"2 15","136 157",13,"76.92%","76.92%","A. pulchra"
526,148489,"Cluster_5981","FUN_041289",0.965113242711184,0.00778106354057353,0.677079544727381,156,-21.49,"2 22","196 219",21,"61.90%","80.95%","A. pulchra"
536,151836,"Cluster_3367","FUN_014908",-0.923959542719925,0.0248819460130936,0.912822926973849,160,-21.83,"2 20","507 528",18,"72.22%","88.89%","A. pulchra"
598,169978,"Cluster_5981","FUN_043213",-0.939467449175775,0.0177147162505936,0.847898695599974,162,-24.97,"2 22","364 384",20,"75.00%","80.00%","A. pulchra"
599,170116,"Cluster_18728","FUN_029594",-0.894881290301398,0.0402610204271611,0.96546924320845,160,-20.78,"2 21","290 311",19,"68.42%","78.95%","A. pulchra"
611,175119,"Cluster_3367","FUN_040457",-0.91834045230983,0.027666353073052,0.914225011702335,155,-22.07,"2 23","639 666",25,"64.00%","80.00%","A. pulchra"
615,175992,"Cluster_14768","FUN_032115",-0.946006984217175,0.01493796053591,0.804401617334221,162,-24,"2 20","529 553",22,"72.73%","77.27%","A. pulchra"
620,176673,"Cluster_1862","FUN_043901",0.939864170893346,0.0175419173063509,0.847898695599974,177,-23.2,"2 23","577 601",22,"72.73%","90.91%","A. pulchra"
643,181855,"Cluster_18728","FUN_029602",-0.892392843466376,0.0416829538043013,0.96546924320845,156,-20.78,"2 21","281 302",19,"68.42%","73.68%","A. pulchra"
659,187879,"Cluster_5981","FUN_016608",0.994627225901417,0.000472369028023397,0.467545540101175,160,-20.92,"2 21","477 497",19,"78.95%","84.21%","A. pulchra"
670,190935,"Cluster_15854","FUN_013364",-0.971490463332523,0.00575377810454247,0.627193380257548,168,-20.23,"2 22","888 911",21,"71.43%","85.71%","A. pulchra"
705,202699,"Cluster_5981","FUN_026122",0.965113242711184,0.00778106354057353,0.677079544727381,168,-23.28,"2 22","654 678",22,"63.64%","90.91%","A. pulchra"
736,208619,"Cluster_3366","FUN_013080",0.888310868864341,0.0440491206471639,0.96546924320845,153,-21.45,"2 19","466 490",18,"61.11%","88.89%","A. pulchra"
748,212137,"Cluster_5981","FUN_024529",-0.973898923067543,0.00504212756126728,0.595990930925003,152,-22.75,"2 20","563 590",23,"69.57%","78.26%","A. pulchra"
768,219071,"Cluster_3366","FUN_020765",0.888310868864341,0.0440491206471639,0.96546924320845,169,-21.17,"2 21","473 496",20,"80.00%","90.00%","A. pulchra"
783,222732,"Cluster_1862","FUN_003478",-0.987158026110664,0.00174358522915539,0.545343267336266,173,-20.12,"2 23","798 823",23,"69.57%","86.96%","A. pulchra"
803,228187,"Cluster_18728","FUN_013292",-0.958719638413883,0.0100055624471572,0.717681557663573,170,-25.71,"2 21","299 319",19,"78.95%","89.47%","A. pulchra"
804,228635,"Cluster_10051","FUN_041625",0.979681354691911,0.00346615436725054,0.545343267336266,164,-22.47,"2 21","954 975",19,"68.42%","84.21%","A. pulchra"
827,232760,"Cluster_3366","FUN_005016",0.888310868864341,0.0440491206471639,0.96546924320845,170,-25.67,"2 19","29 52",17,"76.47%","94.12%","A. pulchra"
