"X.1","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","species"
1,562,"Cluster_5981","FUN_028147",0.682553735869812,0.204170746585591,0.998649612991003,146,-22.19,"2 21","185 209",21,"66.67%","71.43%","A. pulchra"
2,767,"Cluster_15340","FUN_013332",0.637106963313786,0.247639328065974,0.998649612991003,158,-23.15,"2 20","198 220",19,"68.42%","84.21%","A. pulchra"
3,796,"Cluster_5981","FUN_041253",-0.225086871247346,0.715849193093627,0.998649612991003,153,-20.5,"2 21","699 719",19,"73.68%","73.68%","A. pulchra"
4,1100,"Cluster_3366","FUN_010827",0.367100453028676,0.543314510733555,0.998649612991003,163,-22.14,"2 18","346 368",16,"81.25%","93.75%","A. pulchra"
5,1101,"Cluster_3367","FUN_010827",0.536930377663939,0.350798710057061,0.998649612991003,163,-22.14,"2 18","346 368",16,"81.25%","93.75%","A. pulchra"
6,2093,"Cluster_15340","FUN_003342",0.109621339796859,0.8607058214219,0.998649612991003,154,-20.65,"2 20","562 585",20,"65.00%","80.00%","A. pulchra"
7,2509,"Cluster_5012","FUN_022172",0.0626971125530698,0.920223887814174,0.998649612991003,148,-21.05,"2 20","253 277",23,"65.22%","73.91%","A. pulchra"
8,2732,"Cluster_1832","FUN_022178",-0.0299702136637902,0.961846452097585,0.998649612991003,173,-22.07,"2 18","557 577",16,"81.25%","100.00%","A. pulchra"
9,3385,"Cluster_15928","FUN_009931",0.274931638951159,0.654407510817774,0.998649612991003,172,-28.13,"2 21","161 182",19,"73.68%","89.47%","A. pulchra"
10,3508,"Cluster_18728","FUN_009936",-0.0156933474781461,0.980019429605182,0.998649612991003,151,-24.2,"2 12","50 71",10,"90.00%","100.00%","A. pulchra"
11,4004,"Cluster_15340","FUN_032353",0.177774782321261,0.774848089369129,0.998649612991003,155,-22,"2 21","931 955",22,"68.18%","72.73%","A. pulchra"
12,4501,"Cluster_5981","FUN_038718",0.365460147321754,0.545257871168856,0.998649612991003,152,-23.12,"2 21","745 765",19,"73.68%","78.95%","A. pulchra"
13,4667,"Cluster_15340","FUN_028921",-0.064876952510843,0.91745408205935,0.998649612991003,162,-21.5,"2 21","130 154",22,"72.73%","81.82%","A. pulchra"
14,4717,"Cluster_18728","FUN_028920",0.610006615820625,0.274612552616899,0.998649612991003,159,-20.89,"2 16","497 518",14,"85.71%","85.71%","A. pulchra"
15,5181,"Cluster_17776","FUN_011224",-0.567413208615718,0.318442605892392,0.998649612991003,153,-25.5,"2 15","502 524",14,"85.71%","85.71%","A. pulchra"
16,5848,"Cluster_18728","FUN_025430",0.159802422332245,0.797402566495713,0.998649612991003,157,-24.27,"2 15","154 177",15,"86.67%","86.67%","A. pulchra"
17,5921,"Cluster_16409","FUN_020848",-0.443608069463593,0.454295025254346,0.998649612991003,170,-23.37,"2 20","540 562",19,"78.95%","89.47%","A. pulchra"
18,6199,"Cluster_18728","FUN_022994",0.0931818687097166,0.881529077429151,0.998649612991003,143,-22.64,"2 12","243 264",10,"80.00%","90.00%","A. pulchra"
19,6595,"Cluster_1951","FUN_012148",-0.749613034886426,0.144619610809357,0.998649612991003,171,-20.48,"2 21","680 703",21,"76.19%","85.71%","A. pulchra"
20,6763,"Cluster_5981","FUN_012147",0.677352537556959,0.209026618350687,0.998649612991003,168,-28.4,"2 22","109 132",21,"71.43%","85.71%","A. pulchra"
21,6901,"Cluster_18728","FUN_011050",0.0809170724326444,0.897085723474687,0.998649612991003,157,-26.06,"2 16","690 710",14,"85.71%","92.86%","A. pulchra"
22,7963,"Cluster_3250","FUN_005144",-0.294876168865974,0.630066258134949,0.998649612991003,176,-24.67,"2 21","886 907",19,"78.95%","89.47%","A. pulchra"
23,8372,"Cluster_15340","FUN_009542",0.164908820986767,0.790987167273334,0.998649612991003,165,-21.28,"2 20","376 396",18,"83.33%","83.33%","A. pulchra"
24,8652,"Cluster_17776","FUN_009545",0.185479658457039,0.765201129708606,0.998649612991003,157,-26.99,"2 14","930 951",12,"83.33%","100.00%","A. pulchra"
25,9285,"Cluster_1862","FUN_022430",0.0370903213695475,0.952785966151581,0.998649612991003,171,-25.31,"2 23","719 745",24,"75.00%","87.50%","A. pulchra"
26,9301,"Cluster_10093","FUN_022430",0.115478970818314,0.853295053696592,0.998649612991003,169,-20.25,"2 19","260 282",18,"83.33%","88.89%","A. pulchra"
27,9402,"Cluster_1862","FUN_039839",-0.561615998222225,0.324535231329676,0.998649612991003,161,-20.32,"2 23","427 451",22,"68.18%","77.27%","A. pulchra"
28,9482,"Cluster_2463","FUN_022437",-0.0170510644380411,0.978290962517765,0.998649612991003,180,-26.6,"2 21","113 134",19,"84.21%","89.47%","A. pulchra"
