"X.1","miRNA","lncRNA","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","X","PCC.cor","p_value","adjusted_p_value","species"
1,"Cluster_10051","lncRNA_10024",169,-22.97,"2 20","1 24",20,"80.00%","90.00%",390875,0.828629299458858,0.0829368327404509,0.999980945197546,"A. pulchra"
2,"Cluster_10051","lncRNA_1046",168,-21.51,"2 21","437 458",19,"73.68%","84.21%",40772,0.966379213545066,0.00736280448941957,0.634959541032138,"A. pulchra"
3,"Cluster_10051","lncRNA_10490",154,-21.36,"2 21","13001 13024",21,"61.90%","85.71%",409049,-0.219320661618797,0.723007405919562,0.999980945197546,"A. pulchra"
4,"Cluster_10051","lncRNA_10490",160,-20.81,"2 21","11092 11111",19,"78.95%","84.21%",409049,-0.219320661618797,0.723007405919562,0.999980945197546,"A. pulchra"
5,"Cluster_10051","lncRNA_105",155,-21.38,"2 21","8062 8080",19,"73.68%","84.21%",4073,0.534630390237116,0.353271354633168,0.999980945197546,"A. pulchra"
6,"Cluster_10051","lncRNA_10641",160,-21.37,"2 21","536 557",19,"68.42%","78.95%",414938,-0.698066976899782,0.189880381246404,0.999980945197546,"A. pulchra"
7,"Cluster_10051","lncRNA_10642",160,-21.37,"2 21","65 86",19,"68.42%","78.95%",414977,-0.537778533231502,0.349887965031879,0.999980945197546,"A. pulchra"
8,"Cluster_10051","lncRNA_10685",158,-21.46,"2 21","4038 4058",19,"73.68%","78.95%",416654,0.535772311652763,0.352043176415762,0.999980945197546,"A. pulchra"
9,"Cluster_10051","lncRNA_10685",163,-21.86,"2 21","190 213",21,"71.43%","80.95%",416654,0.535772311652763,0.352043176415762,0.999980945197546,"A. pulchra"
10,"Cluster_10051","lncRNA_10785",159,-22.02,"2 21","3203 3225",20,"70.00%","80.00%",420554,0.599106332202195,0.285667643437214,0.999980945197546,"A. pulchra"
11,"Cluster_10051","lncRNA_11402",167,-21.38,"2 16","7471 7492",14,"92.86%","92.86%",444617,0.944886055092821,0.015402911478845,0.763838870029651,"A. pulchra"
12,"Cluster_10051","lncRNA_11425",173,-20.3,"2 19","3562 3584",18,"88.89%","88.89%",445514,0.745215946589816,0.148339034830415,0.999980945197546,"A. pulchra"
13,"Cluster_10051","lncRNA_11426",173,-20.3,"2 19","1293 1315",18,"88.89%","88.89%",445553,0.457529559318839,0.438471030373515,0.999980945197546,"A. pulchra"
14,"Cluster_10051","lncRNA_11536",148,-20.06,"2 21","929 950",19,"57.89%","73.68%",449843,0.570457521198442,0.315254940568545,0.999980945197546,"A. pulchra"
15,"Cluster_10051","lncRNA_11663",167,-21.41,"2 20","668 689",18,"72.22%","88.89%",454796,0.0807791435502453,0.89726076508968,0.999980945197546,"A. pulchra"
16,"Cluster_10051","lncRNA_12113",148,-20.06,"2 21","531 552",19,"57.89%","73.68%",472346,0.933131192100354,0.0205477608332571,0.831764743628048,"A. pulchra"
17,"Cluster_10051","lncRNA_12197",146,-20.02,"2 16","504 528",17,"70.59%","76.47%",475622,0.953793574439269,0.0118400691778007,0.707155370270678,"A. pulchra"
18,"Cluster_10051","lncRNA_12225",171,-20.75,"2 21","8148 8170",20,"80.00%","85.00%",476714,0.880347975778741,0.0487822318965007,0.972855157123468,"A. pulchra"
19,"Cluster_10051","lncRNA_12228",151,-20.84,"2 21","363 388",23,"65.22%","69.57%",476831,0.874952846826569,0.0520746167275346,0.972855157123468,"A. pulchra"
20,"Cluster_10051","lncRNA_12374",167,-24.42,"2 21","1489 1511",20,"75.00%","85.00%",482525,0.131329111399334,0.833268497563059,0.999980945197546,"A. pulchra"
21,"Cluster_10051","lncRNA_1380",151,-20.13,"2 20","9417 9436",18,"72.22%","83.33%",53798,0.194435399135832,0.754005985512004,0.999980945197546,"A. pulchra"
22,"Cluster_10051","lncRNA_14510",158,-20.08,"2 20","16801 16823",19,"68.42%","84.21%",565829,0.0731900907311924,0.906894747721852,0.999980945197546,"A. pulchra"
23,"Cluster_10051","lncRNA_14511",158,-20.08,"2 20","16796 16818",19,"68.42%","84.21%",565868,0.07332693970234,0.906720974389859,0.999980945197546,"A. pulchra"
24,"Cluster_10051","lncRNA_14512",158,-20.08,"2 20","4465 4487",19,"68.42%","84.21%",565907,-0.159790190028695,0.797417941014172,0.999980945197546,"A. pulchra"
25,"Cluster_10051","lncRNA_14513",158,-20.08,"2 20","3743 3765",19,"68.42%","84.21%",565946,-0.131238449616687,0.833382932627368,0.999980945197546,"A. pulchra"
26,"Cluster_10051","lncRNA_14617",154,-20.83,"2 17","1791 1811",15,"80.00%","86.67%",570002,-0.263148354775609,0.668857183594033,0.999980945197546,"A. pulchra"
27,"Cluster_10051","lncRNA_14964",158,-20.07,"2 20","86 108",19,"73.68%","78.95%",583535,0.855382416704924,0.0645673310155404,0.977331421624395,"A. pulchra"
28,"Cluster_10051","lncRNA_15075",175,-22.46,"2 21","4406 4428",20,"85.00%","85.00%",587864,-0.0342665526139525,0.956379009929113,0.999980945197546,"A. pulchra"
29,"Cluster_10051","lncRNA_1509",184,-24.78,"2 21","1403 1424",19,"84.21%","94.74%",58829,0.622910349689296,0.261676369780293,0.999980945197546,"A. pulchra"
30,"Cluster_10051","lncRNA_1510",184,-24.78,"2 21","1305 1326",19,"84.21%","94.74%",58868,0.622910349689296,0.261676369780293,0.999980945197546,"A. pulchra"
31,"Cluster_10051","lncRNA_15174",162,-23.23,"2 21","2539 2562",21,"71.43%","85.71%",591725,0.194753476631845,0.753608738520409,0.999980945197546,"A. pulchra"
32,"Cluster_10051","lncRNA_15190",163,-22.41,"2 21","3328 3350",20,"70.00%","85.00%",592349,0.682838078964232,0.203906205302917,0.999980945197546,"A. pulchra"
33,"Cluster_10051","lncRNA_15190",163,-24.99,"2 21","472 494",20,"70.00%","85.00%",592349,0.682838078964232,0.203906205302917,0.999980945197546,"A. pulchra"
34,"Cluster_10051","lncRNA_15206",146,-20.09,"2 20","25865 25888",20,"60.00%","75.00%",592973,0.910936958255924,0.0314768675697766,0.925340511191978,"A. pulchra"
35,"Cluster_10051","lncRNA_15206",146,-20.09,"2 20","29955 29978",20,"60.00%","75.00%",592973,0.910936958255924,0.0314768675697766,0.925340511191978,"A. pulchra"
36,"Cluster_10051","lncRNA_15206",150,-21.15,"2 15","31986 32007",13,"76.92%","84.62%",592973,0.910936958255924,0.0314768675697766,0.925340511191978,"A. pulchra"
37,"Cluster_10051","lncRNA_15206",156,-20.47,"2 21","20329 20350",19,"63.16%","78.95%",592973,0.910936958255924,0.0314768675697766,0.925340511191978,"A. pulchra"
38,"Cluster_10051","lncRNA_15206",156,-20.47,"2 21","24547 24568",19,"63.16%","78.95%",592973,0.910936958255924,0.0314768675697766,0.925340511191978,"A. pulchra"
39,"Cluster_10051","lncRNA_15206",156,-20.47,"2 21","25302 25323",19,"63.16%","78.95%",592973,0.910936958255924,0.0314768675697766,0.925340511191978,"A. pulchra"
40,"Cluster_10051","lncRNA_15206",156,-20.47,"2 21","28637 28658",19,"63.16%","78.95%",592973,0.910936958255924,0.0314768675697766,0.925340511191978,"A. pulchra"
41,"Cluster_10051","lncRNA_15206",156,-20.47,"2 21","29392 29413",19,"63.16%","78.95%",592973,0.910936958255924,0.0314768675697766,0.925340511191978,"A. pulchra"
42,"Cluster_10051","lncRNA_15225",154,-22.56,"2 21","4603 4623",19,"68.42%","78.95%",593714,-0.510776309174709,0.379162732235227,0.999980945197546,"A. pulchra"
43,"Cluster_10051","lncRNA_15228",161,-22.74,"2 21","2133 2154",20,"75.00%","85.00%",593831,-0.695354512767641,0.19235783774367,0.999980945197546,"A. pulchra"
44,"Cluster_10051","lncRNA_15300",163,-22.41,"2 21","2973 2995",20,"70.00%","85.00%",596639,0.679604617045415,0.206920143019951,0.999980945197546,"A. pulchra"
45,"Cluster_10051","lncRNA_15300",163,-24.99,"2 21","117 139",20,"70.00%","85.00%",596639,0.679604617045415,0.206920143019951,0.999980945197546,"A. pulchra"
46,"Cluster_10051","lncRNA_16149",146,-20.54,"2 13","28486 28506",11,"90.91%","90.91%",629750,0.155558428783996,0.802738584454902,0.999980945197546,"A. pulchra"
47,"Cluster_10051","lncRNA_1622",162,-21.67,"2 21","1318 1338",19,"68.42%","89.47%",63236,-0.619568914830859,0.265010238178669,0.999980945197546,"A. pulchra"
48,"Cluster_10051","lncRNA_16240",150,-21.01,"2 21","23682 23709",25,"64.00%","72.00%",633299,0.631145503422484,0.253508399326573,0.999980945197546,"A. pulchra"
49,"Cluster_10051","lncRNA_16240",158,-21.83,"2 21","21028 21051",21,"76.19%","76.19%",633299,0.631145503422484,0.253508399326573,0.999980945197546,"A. pulchra"
50,"Cluster_10051","lncRNA_16647",159,-22.95,"2 21","63 85",20,"75.00%","75.00%",649172,-0.22600525592347,0.714709999993762,0.999980945197546,"A. pulchra"
51,"Cluster_10051","lncRNA_16862",157,-20.42,"2 14","15844 15865",12,"91.67%","91.67%",657557,-0.11620806907045,0.852372986905596,0.999980945197546,"A. pulchra"
52,"Cluster_10051","lncRNA_16863",157,-20.42,"2 14","8666 8687",12,"91.67%","91.67%",657596,-0.222238794870217,0.719383609068131,0.999980945197546,"A. pulchra"
53,"Cluster_10051","lncRNA_16864",157,-20.42,"2 14","8666 8687",12,"91.67%","91.67%",657635,-0.152777869827544,0.806236575068896,0.999980945197546,"A. pulchra"
54,"Cluster_10051","lncRNA_16865",157,-20.42,"2 14","8666 8687",12,"91.67%","91.67%",657674,-0.273444562344693,0.656228352673757,0.999980945197546,"A. pulchra"
55,"Cluster_10051","lncRNA_16866",157,-20.42,"2 14","8666 8687",12,"91.67%","91.67%",657713,-0.273444562344693,0.656228352673757,0.999980945197546,"A. pulchra"
56,"Cluster_10051","lncRNA_16960",162,-22.9,"2 20","870 892",19,"73.68%","84.21%",661379,0.473168300511789,0.420846788413241,0.999980945197546,"A. pulchra"
57,"Cluster_10051","lncRNA_16961",162,-22.9,"2 20","864 886",19,"73.68%","84.21%",661418,0.473168300511789,0.420846788413241,0.999980945197546,"A. pulchra"
58,"Cluster_10051","lncRNA_16962",162,-22.9,"2 20","864 886",19,"73.68%","84.21%",661457,0.473168300511789,0.420846788413241,0.999980945197546,"A. pulchra"
59,"Cluster_10051","lncRNA_16963",162,-22.9,"2 20","861 883",19,"73.68%","84.21%",661496,0.473168300511789,0.420846788413241,0.999980945197546,"A. pulchra"
60,"Cluster_10051","lncRNA_16964",162,-22.9,"2 20","861 883",19,"73.68%","84.21%",661535,0.473168300511789,0.420846788413241,0.999980945197546,"A. pulchra"
61,"Cluster_10051","lncRNA_16965",162,-22.9,"2 20","830 852",19,"73.68%","84.21%",661574,0.473168300511789,0.420846788413241,0.999980945197546,"A. pulchra"
62,"Cluster_10051","lncRNA_17271",151,-20.4,"2 21","47778 47800",20,"60.00%","80.00%",673508,0.90594346037755,0.0341344814466095,0.944237214115201,"A. pulchra"
63,"Cluster_10051","lncRNA_17272",151,-20.4,"2 21","47759 47781",20,"60.00%","80.00%",673547,0.820911082496056,0.0884936311254081,0.999980945197546,"A. pulchra"
64,"Cluster_10051","lncRNA_17273",151,-20.4,"2 21","47744 47766",20,"60.00%","80.00%",673586,0.907288480068805,0.0334118686515744,0.939342192730592,"A. pulchra"
65,"Cluster_10051","lncRNA_17293",159,-20.41,"2 21","699 722",21,"71.43%","76.19%",674366,0.764308087296524,0.132393756760444,0.999980945197546,"A. pulchra"
66,"Cluster_10051","lncRNA_17294",159,-20.41,"2 21","699 722",21,"71.43%","76.19%",674405,0.764308087296524,0.132393756760444,0.999980945197546,"A. pulchra"
67,"Cluster_10051","lncRNA_17460",176,-26.94,"2 21","9123 9144",19,"78.95%","89.47%",680879,-0.311669316286196,0.609691846016439,0.999980945197546,"A. pulchra"
68,"Cluster_10051","lncRNA_17461",176,-26.94,"2 21","1983 2004",19,"78.95%","89.47%",680918,-0.368254381238069,0.541948198172166,0.999980945197546,"A. pulchra"
69,"Cluster_10051","lncRNA_17520",151,-20.4,"2 21","3482 3504",20,"60.00%","80.00%",683219,0.99447934421008,0.00049199410276634,0.572743866580232,"A. pulchra"
70,"Cluster_10051","lncRNA_17541",170,-22.02,"2 19","5987 6008",17,"82.35%","88.24%",684038,0.210090628468723,0.734485332644245,0.999980945197546,"A. pulchra"
71,"Cluster_10051","lncRNA_18114",164,-20.63,"2 21","216 237",19,"68.42%","84.21%",706385,0.866805032832959,0.0571732293802081,0.972855157123468,"A. pulchra"
72,"Cluster_10051","lncRNA_18335",159,-20.18,"2 21","8496 8519",21,"71.43%","76.19%",715004,-0.30710046277747,0.615223673029855,0.999980945197546,"A. pulchra"
73,"Cluster_10051","lncRNA_18380",159,-20.7,"2 21","500 518",19,"78.95%","84.21%",716759,0.140829315960318,0.821285026028618,0.999980945197546,"A. pulchra"
74,"Cluster_10051","lncRNA_1846",151,-20.13,"2 20","11837 11856",18,"72.22%","83.33%",71972,0.0441130031807565,0.943851801474322,0.999980945197546,"A. pulchra"
75,"Cluster_10051","lncRNA_18466",154,-21.8,"2 21","5385 5405",19,"68.42%","78.95%",720113,-0.203796753397353,0.742325457358702,0.999980945197546,"A. pulchra"
76,"Cluster_10051","lncRNA_18796",156,-20.7,"2 21","12540 12560",20,"75.00%","80.00%",732983,0.356348883111117,0.556076780358911,0.999980945197546,"A. pulchra"
77,"Cluster_10051","lncRNA_19540",170,-22.02,"2 19","343 364",17,"82.35%","88.24%",761999,-0.209862759753843,0.734768996025204,0.999980945197546,"A. pulchra"
78,"Cluster_10051","lncRNA_19839",160,-20.5,"2 21","2070 2091",19,"68.42%","78.95%",773660,-0.18149316090172,0.770190717394103,0.999980945197546,"A. pulchra"
79,"Cluster_10051","lncRNA_20420",158,-20.44,"2 19","1891 1912",17,"76.47%","76.47%",796319,0.800852238098539,0.103437593832544,0.999980945197546,"A. pulchra"
80,"Cluster_10051","lncRNA_20451",159,-23.15,"2 17","1419 1441",16,"75.00%","93.75%",797528,0.687479503106326,0.199601670817523,0.999980945197546,"A. pulchra"
81,"Cluster_10051","lncRNA_20593",157,-20.03,"2 19","228 251",19,"73.68%","78.95%",803066,0.3505260188421,0.563012161796123,0.999980945197546,"A. pulchra"
82,"Cluster_10051","lncRNA_206",162,-22.68,"2 21","9854 9874",19,"73.68%","84.21%",8012,0.665646685781362,0.22007060818462,0.999980945197546,"A. pulchra"
83,"Cluster_10051","lncRNA_20838",161,-20.45,"2 18","3538 3559",16,"81.25%","81.25%",812621,0.833854409405092,0.0792385032225183,0.999980945197546,"A. pulchra"
84,"Cluster_10051","lncRNA_20839",161,-20.45,"2 18","3535 3556",16,"81.25%","81.25%",812660,0.833854409405092,0.0792385032225183,0.999980945197546,"A. pulchra"
