"id","type","group","size","color"
"Cluster_15726","miRNA","miRNA",20,"#E64B35"
"Cluster_4629","miRNA","miRNA",20,"#E64B35"
"Cluster_1167","miRNA","miRNA",20,"#E64B35"
"Cluster_796","miRNA","miRNA",20,"#E64B35"
"Cluster_13502","miRNA","miRNA",20,"#E64B35"
"Cluster_15890","miRNA","miRNA",20,"#E64B35"
"Cluster_9149","miRNA","miRNA",20,"#E64B35"
"Cluster_6904","miRNA","miRNA",20,"#E64B35"
"Cluster_6906","miRNA","miRNA",20,"#E64B35"
"Cluster_4115","miRNA","miRNA",20,"#E64B35"
"Cluster_2854","miRNA","miRNA",20,"#E64B35"
"Cluster_4080","miRNA","miRNA",20,"#E64B35"
"Cluster_11134","miRNA","miRNA",20,"#E64B35"
"Cluster_2787","miRNA","miRNA",20,"#E64B35"
"Cluster_14999","miRNA","miRNA",20,"#E64B35"
"Cluster_589","miRNA","miRNA",20,"#E64B35"
"Cluster_4079","miRNA","miRNA",20,"#E64B35"
"Cluster_10934","miRNA","miRNA",20,"#E64B35"
"Cluster_6914","miRNA","miRNA",20,"#E64B35"
"Cluster_4735","miRNA","miRNA",20,"#E64B35"
"Cluster_16738","miRNA","miRNA",20,"#E64B35"
"Peve_00027432","mRNA","mRNA",10,"#4DBBD5"
"Peve_00017735","mRNA","mRNA",10,"#4DBBD5"
"Peve_00020387","mRNA","mRNA",10,"#4DBBD5"
"Peve_00020926","mRNA","mRNA",10,"#4DBBD5"
"Peve_00015952","mRNA","mRNA",10,"#4DBBD5"
"Peve_00013095","mRNA","mRNA",10,"#4DBBD5"
"Peve_00034505","mRNA","mRNA",10,"#4DBBD5"
"Peve_00029667","mRNA","mRNA",10,"#4DBBD5"
"Peve_00031940","mRNA","mRNA",10,"#4DBBD5"
"Peve_00008275","mRNA","mRNA",10,"#4DBBD5"
"Peve_00008279","mRNA","mRNA",10,"#4DBBD5"
"Peve_00026650","mRNA","mRNA",10,"#4DBBD5"
"Peve_00010128","mRNA","mRNA",10,"#4DBBD5"
"Peve_00029665","mRNA","mRNA",10,"#4DBBD5"
"Peve_00034585","mRNA","mRNA",10,"#4DBBD5"
"Peve_00008964","mRNA","mRNA",10,"#4DBBD5"
"Peve_00023739","mRNA","mRNA",10,"#4DBBD5"
"Peve_00020651","mRNA","mRNA",10,"#4DBBD5"
"Peve_00027965","mRNA","mRNA",10,"#4DBBD5"
"Peve_00002333","mRNA","mRNA",10,"#4DBBD5"
"Peve_00032772","mRNA","mRNA",10,"#4DBBD5"
"Peve_00027699","mRNA","mRNA",10,"#4DBBD5"
"Peve_00023767","mRNA","mRNA",10,"#4DBBD5"
"Peve_00030028","mRNA","mRNA",10,"#4DBBD5"
"Peve_00015742","mRNA","mRNA",10,"#4DBBD5"
"Peve_00017580","mRNA","mRNA",10,"#4DBBD5"
"Peve_00037587","mRNA","mRNA",10,"#4DBBD5"
"Peve_00040680","mRNA","mRNA",10,"#4DBBD5"
"Peve_00043419","mRNA","mRNA",10,"#4DBBD5"
"Peve_00024854","mRNA","mRNA",10,"#4DBBD5"
"Peve_00035783","mRNA","mRNA",10,"#4DBBD5"
"Peve_00006544","mRNA","mRNA",10,"#4DBBD5"
"Peve_00022361","mRNA","mRNA",10,"#4DBBD5"
"Peve_00034862","mRNA","mRNA",10,"#4DBBD5"
"Peve_00004995","mRNA","mRNA",10,"#4DBBD5"
"Peve_00015748","mRNA","mRNA",10,"#4DBBD5"
"Peve_00041754","mRNA","mRNA",10,"#4DBBD5"
"Peve_00014587","mRNA","mRNA",10,"#4DBBD5"
"Peve_00042220","mRNA","mRNA",10,"#4DBBD5"
"Peve_00031993","mRNA","mRNA",10,"#4DBBD5"
"Peve_00024388","mRNA","mRNA",10,"#4DBBD5"
"Peve_00031324","mRNA","mRNA",10,"#4DBBD5"
"Peve_00035315","mRNA","mRNA",10,"#4DBBD5"
