Coords	Name	MIRNA	POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	POR-82-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed
Porites_evermani_scaffold_1:1671-2096	Cluster_1	N	0	1	60
Porites_evermani_scaffold_1:45711-46131	Cluster_2	N	0	71	17
Porites_evermani_scaffold_1:313446-313846	Cluster_3	N	12	12	26
Porites_evermani_scaffold_1:406133-406734	Cluster_4	N	172	49	30
Porites_evermani_scaffold_1:409836-410269	Cluster_5	N	119	45	26
Porites_evermani_scaffold_1:465244-465668	Cluster_6	N	5	35	129
Porites_evermani_scaffold_1:468473-468950	Cluster_7	N	47006	23225	21669
Porites_evermani_scaffold_1:476827-477250	Cluster_8	N	26	22	68
Porites_evermani_scaffold_1:486441-486868	Cluster_9	N	16	6	35
Porites_evermani_scaffold_1:534407-534866	Cluster_10	N	154	110	336
Porites_evermani_scaffold_1:729098-729587	Cluster_11	N	475	601	940
Porites_evermani_scaffold_1:729922-730414	Cluster_12	N	909	769	1032
Porites_evermani_scaffold_1:731054-731815	Cluster_13	N	898	1152	1269
Porites_evermani_scaffold_1:732815-733590	Cluster_14	N	16771	18121	36064
Porites_evermani_scaffold_1:734479-735378	Cluster_15	N	6959	6964	9499
Porites_evermani_scaffold_1:735950-736440	Cluster_16	N	2814	2482	4080
Porites_evermani_scaffold_1:737031-737503	Cluster_17	N	4452	3498	8500
Porites_evermani_scaffold_1:738168-738674	Cluster_18	N	2175	3102	5728
Porites_evermani_scaffold_1:761685-762103	Cluster_19	N	3	21	20
Porites_evermani_scaffold_1:782069-782504	Cluster_20	N	14	14	121
Porites_evermani_scaffold_1:783729-784231	Cluster_21	N	89	214	154
Porites_evermani_scaffold_1:784297-785075	Cluster_22	N	35	138	177
Porites_evermani_scaffold_1:804076-804505	Cluster_23	N	30	122	0
Porites_evermani_scaffold_1:885620-886040	Cluster_24	N	0	0	98
Porites_evermani_scaffold_1:1048700-1049114	Cluster_25	N	63	0	0
Porites_evermani_scaffold_1:1073853-1075651	Cluster_26	N	1399	1020	2356
Porites_evermani_scaffold_1:1109691-1110120	Cluster_27	N	70	23	9
Porites_evermani_scaffold_1:1340937-1341369	Cluster_28	N	0	2422	0
Porites_evermani_scaffold_1:1404250-1404342	Cluster_29	Y	2822	3434	3318
Porites_evermani_scaffold_1:1679957-1680400	Cluster_30	N	63	36	186
Porites_evermani_scaffold_1:1682234-1682724	Cluster_31	N	71	33	159
Porites_evermani_scaffold_1:1683086-1683542	Cluster_32	N	126	45	168
Porites_evermani_scaffold_1:1684409-1684930	Cluster_33	N	98	28	202
Porites_evermani_scaffold_1:1685848-1686267	Cluster_34	N	35	22	46
Porites_evermani_scaffold_1:1686503-1686957	Cluster_35	N	51	25	105
Porites_evermani_scaffold_1:1687024-1687693	Cluster_36	N	26	54	157
Porites_evermani_scaffold_1:1687763-1688189	Cluster_37	N	28	37	88
Porites_evermani_scaffold_1:1728755-1729173	Cluster_38	N	53	2	0
Porites_evermani_scaffold_2:222735-223152	Cluster_39	N	25	8	6
Porites_evermani_scaffold_2:237896-238296	Cluster_40	N	1	30	7
Porites_evermani_scaffold_2:240214-240758	Cluster_41	N	398	387	398
Porites_evermani_scaffold_2:317234-317661	Cluster_42	N	12	41	123
Porites_evermani_scaffold_2:326051-326724	Cluster_43	N	65	98	231
Porites_evermani_scaffold_2:334176-334576	Cluster_44	N	32	0	7
Porites_evermani_scaffold_2:375831-376755	Cluster_45	N	44	358	158
Porites_evermani_scaffold_2:376767-377382	Cluster_46	N	51	122	122
Porites_evermani_scaffold_2:377397-378816	Cluster_47	N	91	173	216
Porites_evermani_scaffold_2:399874-400301	Cluster_48	N	0	0	79
Porites_evermani_scaffold_2:420543-420964	Cluster_49	N	55	1	4
Porites_evermani_scaffold_2:693497-693940	Cluster_50	N	61	102	116
Porites_evermani_scaffold_2:699075-699587	Cluster_51	N	31	75	55
Porites_evermani_scaffold_2:699633-700329	Cluster_52	N	73	362	368
Porites_evermani_scaffold_2:887344-887763	Cluster_53	N	1953	6	1776
Porites_evermani_scaffold_2:966972-967982	Cluster_54	N	462	306	534
Porites_evermani_scaffold_2:969901-970714	Cluster_55	N	249	85	1049
Porites_evermani_scaffold_2:1044675-1045106	Cluster_56	N	63	21	101
Porites_evermani_scaffold_2:1103668-1104214	Cluster_57	N	433	674	965
Porites_evermani_scaffold_2:1127448-1127871	Cluster_58	N	217	248	100
Porites_evermani_scaffold_2:1292236-1292665	Cluster_59	N	64	1	9
Porites_evermani_scaffold_2:1295840-1296268	Cluster_60	N	65	1	6
Porites_evermani_scaffold_2:1329368-1329792	Cluster_61	N	135	0	85
Porites_evermani_scaffold_2:1356781-1357208	Cluster_62	N	8	1	113
Porites_evermani_scaffold_2:1383008-1383435	Cluster_63	N	20	25	6
Porites_evermani_scaffold_2:1388313-1389283	Cluster_64	N	0	117	137
Porites_evermani_scaffold_2:1389632-1390119	Cluster_65	N	0	254	610
Porites_evermani_scaffold_2:1390448-1390898	Cluster_66	N	0	706	815
Porites_evermani_scaffold_2:1419199-1420384	Cluster_67	N	50	221	53
Porites_evermani_scaffold_2:1420407-1420973	Cluster_68	N	61	105	65
Porites_evermani_scaffold_2:1493318-1493742	Cluster_69	N	0	81	0
Porites_evermani_scaffold_2:1533603-1535130	Cluster_70	N	1394	857	2384
Porites_evermani_scaffold_2:1710955-1711383	Cluster_71	N	0	45	3
Porites_evermani_scaffold_2:1717585-1717999	Cluster_72	N	54	0	0
Porites_evermani_scaffold_2:1719356-1719767	Cluster_73	N	34	4	0
Porites_evermani_scaffold_3:25585-26415	Cluster_74	N	566	229	51
Porites_evermani_scaffold_3:29540-29963	Cluster_75	N	0	4	50
Porites_evermani_scaffold_3:33552-33969	Cluster_76	N	50	7	5
Porites_evermani_scaffold_3:42600-43410	Cluster_77	N	81	12	56
Porites_evermani_scaffold_3:70288-70703	Cluster_78	N	0	51	8
Porites_evermani_scaffold_3:78992-79416	Cluster_79	N	13	25	26
Porites_evermani_scaffold_3:146323-146740	Cluster_80	N	39	34	20
Porites_evermani_scaffold_3:216905-217324	Cluster_81	N	34	4	30
Porites_evermani_scaffold_3:267577-268207	Cluster_82	N	1792	891	1118
