"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region"
"1","FUN_000265","GO:0001707","mesoderm formation",4,4,1.73,0.035,"Biological Processes","Cluster_10228",-0.810334329562588,0.0962849491655717,0.998649612991003,163,-22.83,"2 22","631 659",26,"69.23%","76.92%","CDS"
"2","FUN_001189","GO:0001707","mesoderm formation",4,4,1.73,0.035,"Biological Processes","Cluster_18711",-0.0194759566998647,0.975204009519635,0.998649612991003,158,-20.78,"2 20","11180 11203",20,"70.00%","80.00%","CDS"
"3","FUN_002100","GO:0000165","MAPK cascade",36,21,15.54,0.046,"Biological Processes","Cluster_15775",-0.421012515267176,0.480236413161864,0.998649612991003,175,-23.35,"2 22","607 628",20,"80.00%","90.00%","3UTR"
"4","FUN_005175","GO:0001707","mesoderm formation",4,4,1.73,0.035,"Biological Processes","Cluster_16409",-0.0601578899976032,0.923450820072755,0.998649612991003,170,-20.07,"2 20","15359 15381",19,"78.95%","89.47%","CDS"
"5","FUN_005175","GO:0001707","mesoderm formation",4,4,1.73,0.035,"Biological Processes","Cluster_3366",-0.41077875838289,0.492086002245854,0.998649612991003,162,-20.07,"2 19","31657 31680",17,"76.47%","82.35%","CDS"
"6","FUN_005811","GO:0003341","cilium movement",22,15,9.5,0.025,"Biological Processes","Cluster_15340",-0.159761835374876,0.797453579485485,0.998649612991003,157,-21.8,"2 19","11333 11355",18,"77.78%","77.78%","CDS"
"7","FUN_005811","GO:0003341","cilium movement",22,15,9.5,0.025,"Biological Processes","Cluster_5981",-0.471041959321732,0.423233423764514,0.998649612991003,142,-22.23,"2 11","115 137",9,"88.89%","88.89%","CDS"
"8","FUN_005812","GO:0003341","cilium movement",22,15,9.5,0.025,"Biological Processes","Cluster_15928",-0.717238077835432,0.172634717801246,0.998649612991003,152,-20.89,"2 18","7457 7479",17,"70.59%","82.35%","CDS"
"9","FUN_005812","GO:0003341","cilium movement",22,15,9.5,0.025,"Biological Processes","Cluster_18723",-0.675029395616133,0.211205791607672,0.998649612991003,153,-21.39,"2 21","8596 8625",27,"70.37%","70.37%","CDS"
"10","FUN_006790","GO:0000165","MAPK cascade",36,21,15.54,0.046,"Biological Processes","Cluster_10051",-0.636558167975422,0.248178064186203,0.998649612991003,164,-20.3,"2 21","1344 1365",19,"73.68%","78.95%","CDS"
"11","FUN_008259","GO:0000165","MAPK cascade",36,21,15.54,0.046,"Biological Processes","Cluster_4220",-0.275825005279039,0.65331402071225,0.998649612991003,163,-21.48,"2 17","657 679",16,"87.50%","87.50%","CDS"
