"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region"
"1","FUN_004373","GO:0001960","negative regulation of cytokine-mediated signaling ...",1,1,0.02,0.02113,"Biological Processes","Cluster_3437",-0.886692575786171,0.0449985941716505,0.96546924320845,170,-24.04,"2 20","13360 13384",20,"80.00%","85.00%","CDS"
"2","FUN_004508","GO:0000272","polysaccharide catabolic process",11,2,0.23,0.02109,"Biological Processes","Cluster_2463",-0.939930912925519,0.0175129008046142,0.847898695599974,165,-20.8,"2 21","374 393",19,"78.95%","84.21%","3UTR"
"3","FUN_006744","GO:0002088","lens development in camera-type eye",1,1,0.02,0.02113,"Biological Processes","Cluster_15928",-0.968066782314223,0.006817209199898,0.66833521556201,171,-21,"2 20","18959 18980",18,"77.78%","88.89%","CDS"
"4","FUN_006919","GO:0000212","meiotic spindle organization",2,1,0.04,0.04182,"Biological Processes","Cluster_15928",-0.926658378194919,0.0235788853853036,0.911947326397717,155,-23.43,"2 21","20787 20814",25,"64.00%","72.00%","CDS"
"5","FUN_018008","GO:0000050","urea cycle",2,1,0.04,0.04182,"Biological Processes","Cluster_3437",-0.925779476145405,0.0240007520502693,0.911947326397717,168,-21.99,"2 22","28006 28029",21,"76.19%","80.95%","CDS"
"6","FUN_022800","GO:0007605","sensory perception of sound",2,1,0.04,0.04182,"Biological Processes","Cluster_15928",-0.896655724864461,0.039256726635576,0.96546924320845,159,-20.94,"2 17","11670 11692",16,"75.00%","93.75%","CDS"
"7","FUN_028019","GO:0007605","sensory perception of sound",2,1,0.04,0.04182,"Biological Processes","Cluster_4220",-0.941332311847852,0.0169072554390938,0.841747018335641,149,-20.88,"2 21","4846 4873",25,"68.00%","72.00%","CDS"
"8","FUN_030198","GO:0001895","retina homeostasis",2,1,0.04,0.04182,"Biological Processes","Cluster_15928",-0.95443569771743,0.0115952532251544,0.757284546693136,165,-23.21,"2 19","2331 2354",19,"78.95%","84.21%","CDS"
"9","FUN_032371","GO:0000272","polysaccharide catabolic process",11,2,0.23,0.02109,"Biological Processes","Cluster_18728",-0.879494304831249,0.0492986523738565,0.96546924320845,145,-21.82,"2 21","1414 1439",23,"65.22%","73.91%","CDS"
"10","FUN_041521","GO:0001569","branching involved in blood vessel morphogenesis",2,1,0.04,0.04182,"Biological Processes","Cluster_15928",-0.954524254284394,0.0115616216098535,0.756417382372095,163,-23.8,"2 21","19714 19736",20,"75.00%","80.00%","CDS"
"11","FUN_043356","GO:0003333","amino acid transmembrane transport",2,2,0.04,0.00043,"Biological Processes","Cluster_4220",-0.890632261938219,0.04269840554091,0.96546924320845,160,-25.32,"2 21","1174 1192",19,"78.95%","78.95%","CDS"
"12","FUN_043359","GO:0003333","amino acid transmembrane transport",2,2,0.04,0.00043,"Biological Processes","Cluster_18728",-0.887330643869952,0.0446234647090857,0.96546924320845,143,-22.13,"2 12","745 766",10,"80.00%","90.00%","CDS"
"13","FUN_001091","GO:0003964","RNA-directed DNA polymerase activity",135,7,3.28,0.0433,"Molecular Functions","Cluster_5981",-0.94919046502068,0.0136431226061678,0.778166556535932,154,-20.98,"2 21","5020 5047",24,"66.67%","75.00%","CDS"
"14","FUN_001091","GO:0003964","RNA-directed DNA polymerase activity",135,7,3.28,0.0433,"Molecular Functions","Cluster_5981",-0.94919046502068,0.0136431226061678,0.778166556535932,158,-20.52,"2 17","356 377",15,"86.67%","86.67%","5UTR"
"15","FUN_004759","GO:0003964","RNA-directed DNA polymerase activity",135,7,3.28,0.0433,"Molecular Functions","Cluster_18728",-0.887528192405241,0.0445075251265319,0.96546924320845,149,-20.28,"2 16","37394 37414",14,"78.57%","85.71%","CDS"
"16","FUN_004759","GO:0003964","RNA-directed DNA polymerase activity",135,7,3.28,0.0433,"Molecular Functions","Cluster_18728",-0.887528192405241,0.0445075251265319,0.96546924320845,159,-20.28,"2 21","72301 72325",22,"68.18%","77.27%","CDS"
