V1	GO_terms
Pocillopora_meandrina_HIv1___RNAseq.10273_t	GO:0004930; GO:0005886; GO:0007601; GO:0007602; GO:0009881
Pocillopora_meandrina_HIv1___RNAseq.10483_t	GO:0000151; GO:0004842; GO:0042742; GO:0043123; GO:0043130; GO:0043161; GO:0046872; GO:0048701; GO:0071600; GO:0071797; GO:0097039
Pocillopora_meandrina_HIv1___RNAseq.10568_t	GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017; GO:0046872
Pocillopora_meandrina_HIv1___RNAseq.10925_t	GO:0005522; GO:0015629; GO:0030041; GO:0031143; GO:0031267; GO:0046956; GO:0051015; GO:0070060
Pocillopora_meandrina_HIv1___RNAseq.10949_t	GO:0000776; GO:0003713; GO:0005634; GO:0006325; GO:0045893; GO:0045944; GO:0050775
Pocillopora_meandrina_HIv1___RNAseq.11314_t	GO:0005783; GO:0005789; GO:0016746; GO:0048471; GO:0060262
Pocillopora_meandrina_HIv1___RNAseq.11406_t	GO:0005509; GO:0005544; GO:0005634; GO:0005737; GO:0042584
Pocillopora_meandrina_HIv1___RNAseq.11571_t	GO:0001501; GO:0001503; GO:0001958; GO:0004222; GO:0005886; GO:0006508; GO:0008270; GO:0016485; GO:0030198; GO:0030574; GO:0031012; GO:0035988; GO:0048701; GO:0060348; GO:0070006; GO:0097094
Pocillopora_meandrina_HIv1___RNAseq.11963_t	GO:0004303; GO:0004745; GO:0005829; GO:0005886; GO:0006694; GO:0006703; GO:0007601; GO:0016491; GO:0042572; GO:0050896; GO:0052650
Pocillopora_meandrina_HIv1___RNAseq.12156_t	GO:0046872
Pocillopora_meandrina_HIv1___RNAseq.12433_t	GO:0005743; GO:0022857
Pocillopora_meandrina_HIv1___RNAseq.12901_t	GO:0005769; GO:0005770; GO:0005776; GO:0005783; GO:0005802; GO:0008021; GO:0012505; GO:0016020; GO:0048489; GO:0055037
Pocillopora_meandrina_HIv1___RNAseq.13067_t	GO:0005497; GO:0005739; GO:0005741; GO:0005783; GO:0005829; GO:0006694; GO:0006811; GO:0006821; GO:0006869; GO:0007568; GO:0008347; GO:0008503; GO:0009410; GO:0010042; GO:0010266; GO:0010823; GO:0010940; GO:0014012; GO:0015485; GO:0016020; GO:0030325; GO:0031397; GO:0032570; GO:0032720; GO:0033574; GO:0042632; GO:0043065; GO:0043231; GO:0044325; GO:0045019; GO:0048266; GO:0050810; GO:0051901; GO:0051928; GO:0060242; GO:0060252; GO:0060253; GO:0071222; GO:0071294; GO:0071476; GO:0072655; GO:0072656; GO:1903147; GO:1903579; GO:1905144; GO:2000379; GO:2000853
Pocillopora_meandrina_HIv1___RNAseq.13288_t	GO:0005506; GO:0005789; GO:0008202; GO:0008395; GO:0020037; GO:0050649; GO:0070330; GO:0070989
Pocillopora_meandrina_HIv1___RNAseq.13303_t	GO:0016853; GO:0046872; GO:0051539
Pocillopora_meandrina_HIv1___RNAseq.13383_t	GO:0000139; GO:0002950; GO:0005783; GO:0005789; GO:0005829; GO:0005886; GO:0006686; GO:0016020; GO:0030148; GO:0033188; GO:0046513; GO:0047493; GO:1905373; GO:2000303
Pocillopora_meandrina_HIv1___RNAseq.13430_t	GO:0001958; GO:0005794; GO:0008376; GO:0008955; GO:0015020; GO:0019276; GO:0030198; GO:0030204; GO:0030206; GO:0032580; GO:0046398; GO:0046872; GO:0047237; GO:0047238; GO:0050653; GO:0051216
Pocillopora_meandrina_HIv1___RNAseq.13437_t	GO:0003723; GO:0003994; GO:0005737; GO:0005739; GO:0005783; GO:0005794; GO:0005829; GO:0006099; GO:0006101; GO:0006417; GO:0006879; GO:0009791; GO:0010040; GO:0010468; GO:0030350; GO:0043231; GO:0046872; GO:0047780; GO:0048027; GO:0050892; GO:0051536; GO:0051538; GO:0051539
Pocillopora_meandrina_HIv1___RNAseq.13663_t	GO:0006631; GO:0043956
Pocillopora_meandrina_HIv1___RNAseq.13688_t	GO:0016020
Pocillopora_meandrina_HIv1___RNAseq.13698_t	GO:0000278; GO:0000922; GO:0000923; GO:0000930; GO:0000931; GO:0005813; GO:0005829; GO:0005874; GO:0007020; GO:0008017; GO:0031122; GO:0043015; GO:0051225; GO:0051321
Pocillopora_meandrina_HIv1___RNAseq.13704_t	GO:0003676; GO:0005634; GO:0005829; GO:0006325; GO:0008276; GO:0008757; GO:0009007; GO:0009404; GO:0018024; GO:0018364; GO:0018872; GO:0030307; GO:0030792; GO:0032259; GO:0032775; GO:0032991; GO:0034968; GO:0035657; GO:0036009; GO:1904047
Pocillopora_meandrina_HIv1___RNAseq.13863_t	GO:0001618; GO:0004888; GO:0005576; GO:0005635; GO:0005764; GO:0005765; GO:0005783; GO:0005794; GO:0005886; GO:0006486; GO:0006897; GO:0006914; GO:0007041; GO:0007628; GO:0008203; GO:0008206; GO:0009410; GO:0010467; GO:0015248; GO:0015485; GO:0015918; GO:0016020; GO:0016236; GO:0016242; GO:0030299; GO:0030301; GO:0031579; GO:0031902; GO:0032367; GO:0032934; GO:0033344; GO:0038023; GO:0042632; GO:0045121; GO:0046686; GO:0046718; GO:0048471; GO:0060548; GO:0070062; GO:0071383; GO:0071404; GO:0090150; GO:1904262; GO:0001618; GO:0004888; GO:0005576; GO:0005635; GO:0005764; GO:0005765; GO:0005783; GO:0005794; GO:0005886; GO:0006486; GO:0006897; GO:0006914; GO:0007041; GO:0007628; GO:0008203; GO:0008206; GO:0009410; GO:0010467; GO:0015248; GO:0015485; GO:0015918; GO:0016020; GO:0016236; GO:0016242; GO:0030299; GO:0030301; GO:0031579; GO:0031902; GO:0032367; GO:0032934; GO:0033344; GO:0038023; GO:0042632; GO:0045121; GO:0046686; GO:0046718; GO:0048471; GO:0060548; GO:0070062; GO:0071383; GO:0071404; GO:0090150; GO:1904262
Pocillopora_meandrina_HIv1___RNAseq.14643_t	GO:0003723; GO:0003746; GO:0005634; GO:0005789; GO:0043022; GO:0045727; GO:0045901; GO:0045905
Pocillopora_meandrina_HIv1___RNAseq.14796_t	GO:0005507; GO:0005509; GO:0005615; GO:0005886; GO:0005923; GO:0008131; GO:0008201; GO:0008270; GO:0009308; GO:0009445; GO:0035874; GO:0042803; GO:0044877; GO:0046677; GO:0048038; GO:0052597; GO:0052598; GO:0052599; GO:0052600; GO:0070062; GO:0071280; GO:0071420; GO:0097185
Pocillopora_meandrina_HIv1___RNAseq.14855_t	GO:0005249; GO:0005251; GO:0005267; GO:0005789; GO:0005886; GO:0006813; GO:0008076; GO:0014059; GO:0015271; GO:0016020; GO:0019228; GO:0019233; GO:0019894; GO:0021633; GO:0021987; GO:0022038; GO:0030027; GO:0030424; GO:0030425; GO:0031258; GO:0032809; GO:0033010; GO:0034765; GO:0042734; GO:0043194; GO:0043204; GO:0043679; GO:0044224; GO:0044305; GO:0045188; GO:0045211; GO:0051260; GO:0071805; GO:0097623; GO:0098978; GO:0099508; GO:1905030
Pocillopora_meandrina_HIv1___RNAseq.1500_t	GO:0004144; GO:0006071; GO:0019432
Pocillopora_meandrina_HIv1___RNAseq.1526_t	GO:0005283; GO:0005332; GO:0005886; GO:0007612; GO:0007613; GO:0008306; GO:0009636; GO:0009744; GO:0009986; GO:0010033; GO:0010035; GO:0010243; GO:0010288; GO:0014054; GO:0014070; GO:0014074; GO:0015185; GO:0015378; GO:0030424; GO:0032229; GO:0032355; GO:0035725; GO:0042220; GO:0042734; GO:0042802; GO:0043005; GO:0043025; GO:0045211; GO:0046872; GO:0050808; GO:0051592; GO:0051939; GO:0098658; GO:0098719; GO:0098793; GO:0098810; GO:0098982; GO:1902476
Pocillopora_meandrina_HIv1___RNAseq.1529_t	GO:0003735; GO:0005615; GO:0005739; GO:0005743; GO:0005761; GO:0005762; GO:0006412; GO:0008097; GO:0032543; GO:0035928
Pocillopora_meandrina_HIv1___RNAseq.15354_t	GO:0005879; GO:0031514; GO:0060271
Pocillopora_meandrina_HIv1___RNAseq.15663_t	GO:0002244; GO:0005829
Pocillopora_meandrina_HIv1___RNAseq.15695_t	GO:0004672; GO:0004674; GO:0004707; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006468; GO:0007049; GO:0019901; GO:0032156; GO:0032991; GO:0035556; GO:0046982; GO:0060999; GO:0106310
Pocillopora_meandrina_HIv1___RNAseq.156_t	GO:0004451; GO:0006097; GO:0006099; GO:0046872
Pocillopora_meandrina_HIv1___RNAseq.15744_t	GO:0000139; GO:0005524; GO:0005654; GO:0005794; GO:0016301; GO:0016310; GO:0016773; GO:0030166; GO:0046872
Pocillopora_meandrina_HIv1___RNAseq.16312_t	GO:0000785; GO:0000978; GO:0000981; GO:0005654; GO:0005829; GO:0006357; GO:0042802; GO:0043565; GO:0046872
Pocillopora_meandrina_HIv1___RNAseq.16352_t	GO:0000139; GO:0006886; GO:0006890; GO:0006891; GO:0030126; GO:1901998
Pocillopora_meandrina_HIv1___RNAseq.16382_t	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0008045; GO:0008347; GO:0014044; GO:0021508; GO:0021514; GO:0021529; GO:0021530; GO:0030154; GO:0031018; GO:0033504; GO:0045893
Pocillopora_meandrina_HIv1___RNAseq.16605_t	GO:0005242; GO:0005546; GO:0005886; GO:0006813; GO:0008076; GO:0014861; GO:0015693; GO:0016020; GO:0034765; GO:0042802; GO:0051289; GO:0055119; GO:0060306; GO:0086002; GO:0086008; GO:0086091; GO:0090076; GO:1990573
Pocillopora_meandrina_HIv1___RNAseq.16819_t	GO:0004722; GO:0006470
Pocillopora_meandrina_HIv1___RNAseq.17380_t	GO:0000902; GO:0001701; GO:0005200; GO:0005516; GO:0005634; GO:0005737; GO:0005856; GO:0005886; GO:0005912; GO:0006811; GO:0006884; GO:0007010; GO:0008290; GO:0014069; GO:0016020; GO:0020027; GO:0030218; GO:0030425; GO:0030507; GO:0030837; GO:0032092; GO:0035264; GO:0042608; GO:0042803; GO:0043197; GO:0045202; GO:0045766; GO:0045807; GO:0046982; GO:0048471; GO:0048873; GO:0051015; GO:0051016; GO:0051017; GO:0061629; GO:0071277; GO:0071300; GO:1903142; GO:1903393
Pocillopora_meandrina_HIv1___RNAseq.17408_t	GO:0001934; GO:0005829; GO:0006468; GO:0007010; GO:0007049; GO:0014065; GO:0014068; GO:0016310; GO:0030307; GO:0031669; GO:0031932; GO:0038203; GO:0043066
Pocillopora_meandrina_HIv1___RNAseq.17737_t	GO:0002011; GO:0005737; GO:0005886; GO:0005911; GO:0005923; GO:0006887; GO:0007269; GO:0008092; GO:0015031; GO:0016020; GO:0016323; GO:0019904; GO:0030165; GO:0045199; GO:0045202; GO:0097016; GO:0097025; GO:0098793; GO:0098839; GO:0098978; GO:1903361
Pocillopora_meandrina_HIv1___RNAseq.17752_t	GO:0009034
Pocillopora_meandrina_HIv1___RNAseq.17828_t	GO:0005509; GO:0005576; GO:0005789; GO:0005794; GO:0033018; GO:0042470
Pocillopora_meandrina_HIv1___RNAseq.17868_t	GO:0001650; GO:0003924; GO:0003925; GO:0005525; GO:0005634; GO:0005654; GO:0005829; GO:0005886; GO:0007265; GO:0008285; GO:0009725; GO:0019003; GO:0030308
Pocillopora_meandrina_HIv1___RNAseq.17936_t	GO:0005634; GO:0005737; GO:0005739; GO:0045087; GO:0051341; GO:0061635
Pocillopora_meandrina_HIv1___RNAseq.17939_t	GO:0003723; GO:0005829; GO:0006417; GO:0006513; GO:0016567; GO:0043022; GO:0046872; GO:0061630; GO:0072344; GO:1990116
