#Position (bp)	Coverage
91461.0	16.792850465501502
739353.5	26.724261005837192
1943678.0	40.76475881415513
3239463.0	41.07041368745587
4535248.0	33.81471231724399
5831033.0	35.843287273737545
7126818.0	39.11281038135184
8422603.0	28.304637729252924
9718388.0	45.65933160207905
1.1014173E7	5.79876291205717
1.2309958E7	33.3702388899393
1.3605743E7	40.06791558784829
1.4901528E7	45.60957257569736
1.6197313E7	35.61336332802124
1.7493098E7	43.98528305235822
1.8788883E7	44.10049506669702
2.0084668E7	41.938266764934
2.1380453E7	43.91979533641769
2.2676238E7	40.94119549153602
2.3972023E7	45.08302457583627
2.5267808E7	48.972158961556126
2.6563593E7	42.936261030958065
2.7859378E7	50.189402562925174
2.9155163E7	45.61776760805226
3.0450948E7	45.03914229598274
3.1746733E7	40.26446902842678
3.3042518E7	47.690831426509796
3.4338303E7	47.38598147069151
3.5634088E7	51.05693845815471
3.6929873E7	24.112275570407128
3.7638876E7	30.245563364724557
3.7748276E7	11.014205986808726
3.7878173E7	85.86643384492847
3.8159524E7	2.362952987206092
3.8425014E7	10.295460594860563
3.8642829E7	3.578094740199318
3.8834224E7	20.22071631088452
3.9521443E7	43.23199836392612
4.0817228E7	44.13810933140915
4.2113013E7	40.922939376516936
4.3408798E7	42.521726212296024
4.4704583E7	42.96515162623429
4.6000368E7	38.661362803242824
4.7296153E7	49.14161685773489
4.8591938E7	47.111679020825214
4.9887723E7	43.40878077767531
5.1183508E7	45.290176996955516
5.2479293E7	52.82795679838862
5.3775078E7	46.39961876391531
5.5070863E7	48.48831249011217
5.6366648E7	46.94178586725421
5.7662433E7	37.77855276917081
5.8958218E7	39.361502872775965
6.0254003E7	19.96750772697631
6.150379E7	14.78259728241411
6.21516825E7	5.3080677420757425
6.2845573E7	4.781029260255367
6.4141358E7	11.548947549169036
6.5437143E7	50.9656007748199
6.6732928E7	37.92754662231775
6.8028713E7	46.90601372912945
6.9324498E7	27.27652812773724
7.0620283E7	41.18554698503224
7.1916068E7	40.242276303553446
7.3211853E7	33.79296565402439
7.4507638E7	38.569941001014826
7.5803423E7	36.16743286887871
7.7099208E7	45.38323178613736
7.8394993E7	39.627207445679645
7.9690778E7	37.026589287574716
8.0986563E7	43.982423009990086
8.2282348E7	36.435144719224255
8.3339431E7	35.32586167078659
8.39873235E7	18.2378781912175
8.4873918E7	18.887815494082737
8.6169703E7	39.715734477556076
8.7465488E7	27.59034793580725
8.8761273E7	49.59913411561332
9.0057058E7	45.245816242663714
9.1352843E7	50.606249493550244
9.2648628E7	38.77589877950432
9.3944413E7	47.128832329437365
9.5240198E7	47.028153590294686
9.6535983E7	40.18481383871553
9.7831768E7	42.302754700818426
9.9127553E7	42.63255787032571
9.98465655E7	38.113392857142856
1.00494458E8	46.84480276018707
1.01719123E8	37.37370628615086
1.03014908E8	20.521145097373406
1.04310693E8	28.054168708543468
1.05606478E8	39.618902827243716
1.06902263E8	31.77825102158151
1.08198048E8	25.9059442731626
1.09493833E8	23.858312914565303
1.10789618E8	27.977071813611055
1.12085403E8	37.5516902881265
1.13381188E8	37.693915271437774
1.14676973E8	28.077769074344896
