"target","protein_name","gene_name","std_gene_name","species","accession","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"Pocillopora_meandrina_HIv1___RNAseq.g8807.t1","DIS3-like exonuclease 1","Dis3l","DIS3L","Stylophora pistillata","A0A2B4RZH6",84.03,1052,98,5,1,982,1,1052,0,1773
"Pocillopora_meandrina_HIv1___RNAseq.g8807.t1","DIS3-like exonuclease 1","pdam_00009030","DIS3L","Pocillopora damicornis","A0A3M6T9B7",94.492,1053,55,2,165,1217,5,1054,0,2016
"Pocillopora_meandrina_HIv1___RNAseq.g8807.t1","DIS3-like exonuclease 1","LOC116305674","DIS3L","Actinia tenebrosa","A0A6P8IWP8",64.589,1059,361,7,1,1052,1,1052,0,1429
"Pocillopora_meandrina_HIv1___RNAseq.g8807.t1","DIS3-like exonuclease 1","DIS3L OS=Clytia hemisphaerica OX=252671","DIS3L","Clytia hemisphaerica","A0A7M5X8U0",47.266,1079,522,16,2,1060,1,1052,0,999
"Pocillopora_meandrina_HIv1___RNAseq.g8807.t1","DIS3-like exonuclease 1","DIS3L OS=Exaiptasia diaphana OX=2652724","DIS3L","Exaiptasia diaphana","A0A913XIF9",64.745,1058,363,6,1,1053,1,1053,0,1436
"Pocillopora_meandrina_HIv1___RNAseq.g8807.t1","DIS3-like exonuclease 1","P5673_007777","DIS3L","Acropora cervicornis","A0AAD9VBE9",60.626,1054,219,12,1,860,1,1052,0,1224
"Pocillopora_meandrina_HIv1___RNAseq.g8807.t1","DIS3-like exonuclease 1","PMEA_00010508","DIS3L","Pocillopora meandrina","A0AAU9VML6",98.482,1054,16,0,1,1054,1,1054,0,2162
"Pocillopora_meandrina_HIv1___RNAseq.g8807.t1","DIS3-like exonuclease 1","NEMVEDRAFT_v1g107726","DIS3L","Nematostella vectensis","A7S7H2",61.706,1055,392,7,1,1047,1,1051,0,1333
"Pocillopora_meandrina_HIv1___RNAseq.g13822.t1","Exosome complex component 10","pdam_00003117","EXOSC10","Pocillopora damicornis","A0A3M6T9L7",98.159,869,16,0,1,869,1,869,0,1785
"Pocillopora_meandrina_HIv1___RNAseq.g13822.t1","Exosome complex component 10","LOC116289250","EXOSC10","Actinia tenebrosa","A0A6P8H6I1",51.931,751,312,17,6,727,139,869,0,752
"Pocillopora_meandrina_HIv1___RNAseq.g13822.t1","Exosome complex component 10","LOC116303017","EXOSC10","Actinia tenebrosa","A0A6P8IPB7",51.322,832,356,17,1,803,1,812,0,826
"Pocillopora_meandrina_HIv1___RNAseq.g13822.t1","Exosome complex component 10","PACLA_8A054231","EXOSC10","Paramuricea clavata","A0A6S7JXZ3",47.011,870,400,19,13,841,9,858,0,743
"Pocillopora_meandrina_HIv1___RNAseq.g13822.t1","Exosome complex component 10","EXOSC10 OS=Clytia hemisphaerica OX=252671","EXOSC10","Clytia hemisphaerica","A0A7M5X161",40.592,845,431,15,18,792,11,854,0,622
"Pocillopora_meandrina_HIv1___RNAseq.g13822.t1","Exosome complex component 10","EXOSC10 OS=Clytia hemisphaerica OX=252671","EXOSC10","Clytia hemisphaerica","A0A7M5X1L0",40.496,847,431,16,18,794,11,854,0,617
