Orthogroup	Porites_evermanni_v1.annot.pep	Apulchra-genome.pep
OG0000002	Peve_00016791, Peve_00034463, Peve_00027449, Peve_00009327, Peve_00033337, Peve_00001796, Peve_00041274, Peve_00038797, Peve_00006137, Peve_00036777, Peve_00041631, Peve_00019195, Peve_00016395, Peve_00021966, Peve_00036081, Peve_00026418, Peve_00019388, Peve_00020912, Peve_00012880, Peve_00007790, Peve_00032813, Peve_00042829, Peve_00020735, Peve_00018885, Peve_00032160, Peve_00035135, Peve_00025888, Peve_00017675, Peve_00045115, Peve_00013305, Peve_00005636, Peve_00032359, Peve_00021963, Peve_00043250, Peve_00001414, Peve_00042616, Peve_00012202, Peve_00041671, Peve_00004230, Peve_00014248, Peve_00033181, Peve_00009840, Peve_00035628, Peve_00004289, Peve_00004136, Peve_00040233, Peve_00037437, Peve_00043719, Peve_00008218, Peve_00007934, Peve_00030945, Peve_00004434, Peve_00001625, Peve_00020955, Peve_00044234, Peve_00027924, Peve_00020737, Peve_00040255, Peve_00045054, Peve_00036422, Peve_00025370, Peve_00002146, Peve_00008263, Peve_00034720, Peve_00032073, Peve_00032072, Peve_00016790, Peve_00006135, Peve_00026117, Peve_00024999, Peve_00044589, Peve_00021594, Peve_00042989, Peve_00007286, Peve_00002655, Peve_00019795, Peve_00019799, Peve_00039527, Peve_00025905, Peve_00044794, Peve_00044795, Peve_00031816, Peve_00039632, Peve_00028506, Peve_00015808, Peve_00003092, Peve_00020810, Peve_00041121, Peve_00040249, Peve_00040268, Peve_00005136, Peve_00011199, Peve_00021356, Peve_00034865, Peve_00007662, Peve_00024269, Peve_00041423, Peve_00043096, Peve_00041344, Peve_00029650, Peve_00041612, Peve_00039359, Peve_00028641, Peve_00031198, Peve_00033406, Peve_00043367, Peve_00033333, Peve_00023625, Peve_00027081, Peve_00031115, Peve_00022209, Peve_00005038, Peve_00018110, Peve_00030966, Peve_00029801	FUN_044614-T1
OG0000012	Peve_00001115	FUN_038501-T1
OG0000012	Peve_00023619, Peve_00034049, Peve_00032264, Peve_00026538, Peve_00026407, Peve_00044315, Peve_00021744, Peve_00016693, Peve_00018565, Peve_00043283, Peve_00012902, Peve_00003454, Peve_00037488, Peve_00027379, Peve_00006145, Peve_00006146, Peve_00004518, Peve_00037487, Peve_00018332, Peve_00018331, Peve_00037486, Peve_00018327, Peve_00006631, Peve_00000111, Peve_00018326, Peve_00018334, Peve_00034046, Peve_00034044, Peve_00034040, Peve_00034039, Peve_00034037, Peve_00034043, Peve_00034050, Peve_00034045, Peve_00005151, Peve_00005150, Peve_00021227, Peve_00032049, Peve_00005149, Peve_00021198, Peve_00018510, Peve_00033777, Peve_00021216, Peve_00026584, Peve_00021223, Peve_00021224, Peve_00021222, Peve_00021206, Peve_00021200, Peve_00033778, Peve_00029189, Peve_00026168, Peve_00031777, Peve_00029188, Peve_00031778, Peve_00031776, Peve_00031775, Peve_00018512, Peve_00018514, Peve_00027131, Peve_00018513, Peve_00041327, Peve_00021215, Peve_00021203, Peve_00021225, Peve_00021201, Peve_00021205, Peve_00021228, Peve_00021208, Peve_00009480, Peve_00021209, Peve_00021199, Peve_00021204, Peve_00026587, Peve_00021218, Peve_00026586	FUN_037169-T1
OG0000013	Peve_00000833	FUN_027114-T1, FUN_027113-T1, FUN_027112-T1, FUN_027115-T1, FUN_027111-T1, FUN_027110-T1, FUN_027108-T1, FUN_027109-T1, FUN_005691-T1, FUN_021828-T1, FUN_027104-T1, FUN_027119-T1, FUN_025151-T1, FUN_005632-T1, FUN_039477-T1, FUN_039454-T1, FUN_005651-T1, FUN_005633-T1, FUN_005636-T1, FUN_005654-T1, FUN_005631-T1, FUN_025148-T1, FUN_005641-T1, FUN_005667-T1, FUN_027106-T1, FUN_005687-T1, FUN_027116-T1, FUN_027118-T1, FUN_027121-T1, FUN_005660-T1, FUN_005668-T1, FUN_005676-T1, FUN_003458-T1, FUN_005648-T1, FUN_025152-T1, FUN_005652-T1, FUN_005650-T1, FUN_005630-T1, FUN_005692-T1, FUN_005683-T1, FUN_005635-T1, FUN_005682-T1, FUN_005663-T1, FUN_005669-T1, FUN_005638-T1, FUN_005656-T1, FUN_005659-T1, FUN_005640-T1, FUN_005653-T1, FUN_005634-T1, FUN_027102-T1, FUN_027105-T1, FUN_027120-T1, FUN_005672-T1, FUN_005673-T1, FUN_025150-T1, FUN_025149-T1, FUN_005677-T1, FUN_005666-T1, FUN_005647-T1, FUN_005680-T1, FUN_005690-T1, FUN_005664-T1, FUN_005662-T1, FUN_025154-T1, FUN_005695-T1, FUN_025153-T1, FUN_005686-T1, FUN_005661-T1, FUN_005642-T1, FUN_005637-T1, FUN_005655-T1, FUN_005658-T1, FUN_005670-T1, FUN_025147-T1
OG0000014	Peve_00044038, Peve_00004919, Peve_00044037, Peve_00028762, Peve_00004925, Peve_00037087, Peve_00002914, Peve_00002913, Peve_00027601, Peve_00037056, Peve_00006473, Peve_00006467, Peve_00027624, Peve_00034128, Peve_00034129, Peve_00034132, Peve_00023755, Peve_00034127, Peve_00023754, Peve_00030754, Peve_00040120, Peve_00034968, Peve_00032347, Peve_00019557, Peve_00004740, Peve_00006373, Peve_00005920, Peve_00022377, Peve_00022378, Peve_00025802, Peve_00025800, Peve_00025797, Peve_00025801, Peve_00032082, Peve_00006132, Peve_00038331, Peve_00026112, Peve_00038074, Peve_00038772, Peve_00038706, Peve_00018768, Peve_00038335, Peve_00038334, Peve_00038329, Peve_00000639, Peve_00038874, Peve_00040370, Peve_00031162, Peve_00019561, Peve_00032348, Peve_00009274, Peve_00033271, Peve_00026476, Peve_00042996, Peve_00028389, Peve_00028390, Peve_00013631, Peve_00015081, Peve_00032662, Peve_00002434, Peve_00009938, Peve_00020485, Peve_00028391, Peve_00026475, Peve_00042871, Peve_00037175, Peve_00030253, Peve_00009268, Peve_00009278, Peve_00026734, Peve_00038852, Peve_00032661, Peve_00009939, Peve_00004739	FUN_033705-T1
OG0000017	Peve_00038444	FUN_003905-T1
OG0000017	Peve_00038450	FUN_003947-T1, FUN_003954-T1, FUN_003949-T1, FUN_003908-T1, FUN_003575-T1, FUN_003973-T1, FUN_003808-T1, FUN_003826-T1, FUN_003819-T1, FUN_003912-T1, FUN_003959-T1, FUN_003909-T1, FUN_003958-T1, FUN_003976-T1, FUN_003805-T1, FUN_003825-T1, FUN_003972-T1, FUN_003906-T1, FUN_003828-T1, FUN_003824-T1, FUN_003813-T1, FUN_003822-T1, FUN_003803-T1, FUN_003968-T1, FUN_003811-T1, FUN_003815-T1, FUN_003814-T1, FUN_003941-T1, FUN_003942-T1, FUN_003950-T1, FUN_003945-T2, FUN_003945-T1, FUN_003943-T1, FUN_003946-T1, FUN_003948-T1, FUN_003951-T1, FUN_003957-T1, FUN_003809-T1, FUN_003820-T1, FUN_003827-T1, FUN_003804-T1, FUN_003821-T1, FUN_003810-T1, FUN_003802-T1, FUN_003970-T1, FUN_003966-T1, FUN_003975-T1, FUN_003974-T1, FUN_003801-T1, FUN_003907-T1, FUN_003914-T1, FUN_003910-T1, FUN_003911-T1, FUN_003955-T1, FUN_003964-T1, FUN_003961-T1, FUN_003963-T1, FUN_003816-T1, FUN_003832-T1, FUN_003823-T1, FUN_003812-T1, FUN_003831-T1, FUN_003830-T1, FUN_003817-T1, FUN_003836-T1, FUN_003834-T1
OG0000018	Peve_00010904, Peve_00031614, Peve_00005551, Peve_00035950, Peve_00031812, Peve_00036756, Peve_00033166, Peve_00028291, Peve_00027737, Peve_00043408, Peve_00042298, Peve_00036749, Peve_00017357, Peve_00033167, Peve_00028290, Peve_00017356, Peve_00007571, Peve_00017359, Peve_00026031, Peve_00033072, Peve_00040626, Peve_00032598, Peve_00039908, Peve_00027565, Peve_00045242, Peve_00028375, Peve_00028374, Peve_00028376, Peve_00039906, Peve_00039907, Peve_00027566, Peve_00045253, Peve_00022760, Peve_00022769, Peve_00024073, Peve_00024055, Peve_00007563, Peve_00007564, Peve_00035677, Peve_00017358, Peve_00036750, Peve_00018537, Peve_00027386, Peve_00024491, Peve_00017854, Peve_00001260, Peve_00026228, Peve_00026230, Peve_00026229, Peve_00039992, Peve_00039993, Peve_00026792, Peve_00014121, Peve_00030005, Peve_00036905, Peve_00036906, Peve_00021487, Peve_00036903, Peve_00039998, Peve_00040000, Peve_00039985, Peve_00014122, Peve_00039988, Peve_00014127, Peve_00026788, Peve_00015521, Peve_00039999, Peve_00039996, Peve_00026888	FUN_039823-T1
OG0000026	Peve_00043097	FUN_002843-T1, FUN_010226-T1, FUN_002949-T1, FUN_002876-T1, FUN_039015-T1, FUN_002652-T1, FUN_019355-T1, FUN_028529-T1, FUN_019348-T1, FUN_019374-T1, FUN_019253-T1, FUN_006020-T1, FUN_006344-T1, FUN_019819-T1, FUN_027793-T1, FUN_019265-T1, FUN_020922-T1, FUN_020926-T1, FUN_006309-T1, FUN_020026-T1, FUN_028707-T1, FUN_027769-T1, FUN_019320-T1, FUN_020962-T1, FUN_019866-T1, FUN_020953-T1, FUN_028605-T1, FUN_019268-T1, FUN_020987-T1, FUN_028675-T1, FUN_028569-T1, FUN_019576-T1, FUN_006024-T1, FUN_019643-T1, FUN_019766-T1, FUN_019590-T1, FUN_028673-T1, FUN_020964-T1, FUN_028603-T1, FUN_028542-T1, FUN_019867-T1, FUN_020954-T1, FUN_020988-T1, FUN_019277-T1, FUN_020936-T1, FUN_019618-T1, FUN_019734-T1, FUN_019686-T1, FUN_028741-T1, FUN_028627-T1, FUN_020025-T1, FUN_028674-T1, FUN_028604-T1, FUN_028708-T1, FUN_028774-T1, FUN_002925-T1, FUN_020612-T1, FUN_019578-T1
OG0000027	Peve_00013205	FUN_029680-T1, FUN_029707-T1, FUN_029707-T2, FUN_029674-T1
