Orthogroup	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1.genes.pep
OG0000005	Peve_00003356, Peve_00001043, Peve_00018375, Peve_00035913, Peve_00023447, Peve_00043470, Peve_00004743, Peve_00036430, Peve_00036426, Peve_00019797, Peve_00022268, Peve_00025894, Peve_00008811, Peve_00023678, Peve_00039298, Peve_00029418, Peve_00039393, Peve_00031131, Peve_00031134, Peve_00029976, Peve_00029978, Peve_00008908, Peve_00025212, Peve_00023152, Peve_00010659, Peve_00026379, Peve_00043082, Peve_00026267, Peve_00043504, Peve_00022882, Peve_00036436, Peve_00010674, Peve_00012637, Peve_00023437, Peve_00003378, Peve_00007843, Peve_00041183, Peve_00007751, Peve_00038000, Peve_00041176, Peve_00014471, Peve_00015975, Peve_00023287, Peve_00019055, Peve_00024891, Peve_00029060, Peve_00000918, Peve_00027738, Peve_00031724, Peve_00019944, Peve_00043131, Peve_00041201, Peve_00031507, Peve_00045272, Peve_00028286, Peve_00035857, Peve_00036011, Peve_00033455, Peve_00020256, Peve_00043098, Peve_00009187, Peve_00000311, Peve_00045122, Peve_00011262, Peve_00043109, Peve_00036012, Peve_00012340, Peve_00020680, Peve_00043108, Peve_00002579, Peve_00010381, Peve_00035443, Peve_00015930, Peve_00016261, Peve_00025935, Peve_00023063, Peve_00041185, Peve_00015929, Peve_00002582, Peve_00030733, Peve_00042139, Peve_00041556, Peve_00045271, Peve_00027739, Peve_00041892, Peve_00031725, Peve_00034964	Pocillopora_meandrina_HIv1___RNAseq.g13090.t1
OG0000007	Peve_00010208, Peve_00036218, Peve_00033866, Peve_00033008, Peve_00013138, Peve_00014391, Peve_00020716, Peve_00044256, Peve_00041807, Peve_00044797, Peve_00029947, Peve_00042953, Peve_00005035, Peve_00014129, Peve_00032804, Peve_00036526, Peve_00042380, Peve_00011944, Peve_00036425, Peve_00028507, Peve_00042442, Peve_00008625, Peve_00016405, Peve_00035521, Peve_00030340, Peve_00025679, Peve_00022716, Peve_00000307, Peve_00038156, Peve_00039434, Peve_00042704, Peve_00001569, Peve_00030947, Peve_00019279, Peve_00021965, Peve_00036080, Peve_00020911, Peve_00032365, Peve_00043249, Peve_00023024, Peve_00005637, Peve_00026416, Peve_00016788, Peve_00040226, Peve_00024266, Peve_00039340, Peve_00012882, Peve_00039361, Peve_00025367, Peve_00045048, Peve_00025886, Peve_00019385, Peve_00037755, Peve_00028635, Peve_00045118, Peve_00043194, Peve_00041670, Peve_00004229, Peve_00022219, Peve_00041278, Peve_00006438, Peve_00016393, Peve_00033334, Peve_00008141, Peve_00001415, Peve_00007025, Peve_00009455, Peve_00037386, Peve_00034464, Peve_00013302, Peve_00034721, Peve_00041342, Peve_00036419, Peve_00010739, Peve_00035096, Peve_00020015, Peve_00040230, Peve_00004137, Peve_00008221, Peve_00004440, Peve_00042615, Peve_00006077, Peve_00041628	Pocillopora_meandrina_HIv1___RNAseq.g23297.t1
OG0000013	Peve_00000833	Pocillopora_meandrina_HIv1___RNAseq.g25149.t1
OG0000017	Peve_00038444, Peve_00038450	Pocillopora_meandrina_HIv1___TS.g18385.t1
OG0000022	Peve_00040221, Peve_00044816, Peve_00014095, Peve_00013489, Peve_00013975, Peve_00018922, Peve_00029864, Peve_00024126, Peve_00037441, Peve_00042823, Peve_00040224, Peve_00016794, Peve_00025371, Peve_00041337, Peve_00035875, Peve_00020021, Peve_00027448, Peve_00013976, Peve_00030519, Peve_00030798, Peve_00032363, Peve_00033178, Peve_00020281, Peve_00012883, Peve_00002980, Peve_00027923, Peve_00020740, Peve_00039367, Peve_00039365, Peve_00035850, Peve_00020905, Peve_00035127, Peve_00011206, Peve_00019207, Peve_00044759, Peve_00022942, Peve_00015874, Peve_00005641, Peve_00041336, Peve_00044817, Peve_00026410, Peve_00023027, Peve_00043263, Peve_00028640, Peve_00016388, Peve_00045120, Peve_00024271, Peve_00019189, Peve_00034727, Peve_00042630, Peve_00030871, Peve_00041665, Peve_00004430, Peve_00040491, Peve_00008572, Peve_00022213, Peve_00004225, Peve_00007021, Peve_00035243, Peve_00006599, Peve_00001419	Pocillopora_meandrina_HIv1___RNAseq.g23298.t1
OG0000027	Peve_00013211	Pocillopora_meandrina_HIv1___RNAseq.g26191.t1
OG0000027	Peve_00013206, Peve_00012798	Pocillopora_meandrina_HIv1___RNAseq.g2270.t1a
OG0000040	Peve_00002262, Peve_00009119, Peve_00017947, Peve_00016251, Peve_00021721, Peve_00041785, Peve_00017670, Peve_00016779, Peve_00004851, Peve_00043535, Peve_00004582, Peve_00034220, Peve_00032487, Peve_00030513, Peve_00026883, Peve_00039539, Peve_00044435, Peve_00026859, Peve_00028892, Peve_00041543, Peve_00038591, Peve_00040815, Peve_00040293, Peve_00023212, Peve_00040294, Peve_00011998, Peve_00000363, Peve_00005518, Peve_00024018, Peve_00029889, Peve_00020815, Peve_00010455, Peve_00004852, Peve_00012472, Peve_00012589, Peve_00003500, Peve_00026775, Peve_00030512, Peve_00039767, Peve_00028123, Peve_00001017, Peve_00040590, Peve_00044183	Pocillopora_meandrina_HIv1___RNAseq.g3379.t1, Pocillopora_meandrina_HIv1___TS.g9288.t1, Pocillopora_meandrina_HIv1___RNAseq.g25327.t1
OG0000041	Peve_00037851, Peve_00022350, Peve_00030829, Peve_00044466, Peve_00039493, Peve_00039491, Peve_00039483, Peve_00039492, Peve_00037865, Peve_00037874, Peve_00039488, Peve_00037121, Peve_00037842, Peve_00037848, Peve_00002481, Peve_00037850, Peve_00039485, Peve_00037880, Peve_00037124, Peve_00019078, Peve_00039490, Peve_00039480, Peve_00037861, Peve_00037870, Peve_00037875, Peve_00019081, Peve_00037127, Peve_00037877, Peve_00037879, Peve_00024703, Peve_00008309, Peve_00007718, Peve_00037881, Peve_00037873, Peve_00037126, Peve_00022352, Peve_00039498, Peve_00026693, Peve_00039495, Peve_00026692, Peve_00037844, Peve_00026696, Peve_00002479, Peve_00030073, Peve_00037678, Peve_00034869	Pocillopora_meandrina_HIv1___TS.g25175.t1
OG0000045	Peve_00037385, Peve_00042827, Peve_00043198, Peve_00015851, Peve_00024265, Peve_00016392, Peve_00016787, Peve_00025366, Peve_00023629, Peve_00042613, Peve_00019280, Peve_00028636, Peve_00020910, Peve_00039344, Peve_00008142, Peve_00030948, Peve_00041626, Peve_00035825, Peve_00021153, Peve_00012200, Peve_00004138, Peve_00004427, Peve_00007023, Peve_00030796, Peve_00009456, Peve_00027926, Peve_00027450	Pocillopora_meandrina_HIv1___TS.g5095.t1c
