"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","V2","V3","V4.x","V5","V6","V7","V8","V9","V10","V11","PCC.cor","p_value","adjusted_p_value"
"1","FUN_000265","GO:0001707","mesoderm formation",4,4,1.49,0.019,"Biological Processes",3278,"Cluster_10228","ntLink_6:893738-900351",163,-22.83,2,22,631,659,26,"69.23%","76.92%",-0.810334329562588,0.0962849491655717,0.998649612991003
"2","FUN_001189","GO:0001707","mesoderm formation",4,4,1.49,0.019,"Biological Processes",18060,"Cluster_18711","ntLink_6:9591302-9603388",158,-20.78,2,20,11180,11203,20,"70.00%","80.00%",-0.0194759566998647,0.975204009519635,0.998649612991003
"3","FUN_005175","GO:0001707","mesoderm formation",4,4,1.49,0.019,"Biological Processes",13386,"Cluster_16409","ntLink_8:32135770-32178256",170,-20.07,2,20,15359,15381,19,"78.95%","89.47%",-0.0601578899976032,0.923450820072755,0.998649612991003
"4","FUN_005175","GO:0001707","mesoderm formation",4,4,1.49,0.019,"Biological Processes",25822,"Cluster_3366","ntLink_8:32135770-32178256",162,-20.07,2,19,31657,31680,17,"76.47%","82.35%",-0.41077875838289,0.492086002245854,0.998649612991003
"5","FUN_005811","GO:0003341","cilium movement",22,15,8.19,0.0055,"Biological Processes",8184,"Cluster_15340","ptg000001l:4186225-4198454",157,-21.8,2,19,11333,11355,18,"77.78%","77.78%",-0.159761835374876,0.797453579485485,0.998649612991003
"6","FUN_005811","GO:0003341","cilium movement",22,15,8.19,0.0055,"Biological Processes",35635,"Cluster_5981","ptg000001l:4186225-4198454",142,-22.23,2,11,115,137,9,"88.89%","88.89%",-0.471041959321732,0.423233423764514,0.998649612991003
"7","FUN_005812","GO:0003341","cilium movement",22,15,8.19,0.0055,"Biological Processes",12484,"Cluster_15928","ptg000001l:4203859-4215020",152,-20.89,2,18,7457,7479,17,"70.59%","82.35%",-0.717238077835432,0.172634717801246,0.998649612991003
"8","FUN_005812","GO:0003341","cilium movement",22,15,8.19,0.0055,"Biological Processes",18453,"Cluster_18723","ptg000001l:4203859-4215020",153,-21.39,2,21,8596,8625,27,"70.37%","70.37%",-0.675029395616133,0.211205791607672,0.998649612991003
"9","FUN_007651","GO:0001581","detection of chemical stimulus involved in sensory ...",10,7,3.72,0.0363,"Biological Processes",14648,"Cluster_17776","ptg000002l:2903997-2915695",145,-20.58,2,10,4913,4934,8,"100.00%","100.00%",-0.238971875578684,0.698652890565006,0.998649612991003
"10","FUN_007652","GO:0001581","detection of chemical stimulus involved in sensory ...",10,7,3.72,0.0363,"Biological Processes",30105,"Cluster_4220","ptg000002l:2916222-2918099",151,-22.63,2,21,48,70,20,"70.00%","70.00%",-0.498237309053092,0.392947004088544,0.998649612991003
