"target","gene_name"
"Pocillopora_meandrina_HIv1___RNAseq.g8948.t1","Dnmt1"
"Pocillopora_meandrina_HIv1___RNAseq.g2960.t2","Dnmt3a"
"Pocillopora_meandrina_HIv1___RNAseq.g2960.t2","Dnmt3b"
"Pocillopora_meandrina_HIv1___RNAseq.g16036.t1","Dnmt3l"
"Pocillopora_meandrina_HIv1___RNAseq.g16036.t1","USP9Y"
"Pocillopora_meandrina_HIv1___RNAseq.g12276.t1","USP10"
"Pocillopora_meandrina_HIv1___RNAseq.g19447.t1","USP11"
"Pocillopora_meandrina_HIv1___RNAseq.g18898.t1","USP12"
"Pocillopora_meandrina_HIv1___RNAseq.g22603.t1","USP14"
"Pocillopora_meandrina_HIv1___RNAseq.g19447.t1","USP15"
"Pocillopora_meandrina_HIv1___RNAseq.g23882.t1","USP16"
"Pocillopora_meandrina_HIv1___RNAseq.g19833.t1","USP19"
"Pocillopora_meandrina_HIv1___RNAseq.g7104.t1","USP20"
"Pocillopora_meandrina_HIv1___RNAseq.g14062.t1","USP21"
"Pocillopora_meandrina_HIv1___RNAseq.g26549.t1","USP22"
"Pocillopora_meandrina_HIv1___RNAseq.g22821.t1","USP6"
"Pocillopora_meandrina_HIv1___RNAseq.g28714.t1","USP7"
"Pocillopora_meandrina_HIv1___RNAseq.g29221.t1","USP8"
"Pocillopora_meandrina_HIv1___RNAseq.g22996.t1","USP13"
"Pocillopora_meandrina_HIv1___RNAseq.g1182.t1","USP1"
"Pocillopora_meandrina_HIv1___RNAseq.g14062.t1","USP2"
"Pocillopora_meandrina_HIv1___RNAseq.g8267.t1","USP3"
"Pocillopora_meandrina_HIv1___RNAseq.g19447.t1","USP4"
"Pocillopora_meandrina_HIv1___RNAseq.g22996.t1","USP5"
"Pocillopora_meandrina_HIv1___RNAseq.g22778.t1","USP30"
"Pocillopora_meandrina_HIv1___RNAseq.g795.t1","USP31"
"Pocillopora_meandrina_HIv1___RNAseq.g22821.t1","USP32"
"Pocillopora_meandrina_HIv1___RNAseq.g7104.t1","USP33"
"Pocillopora_meandrina_HIv1___RNAseq.g5861.t1","USP34"
"Pocillopora_meandrina_HIv1___RNAseq.g20293.t1","USP35"
"Pocillopora_meandrina_HIv1___TS.g18832.t1","USP36"
"Pocillopora_meandrina_HIv1___RNAseq.g9711.t1","USP37"
"Pocillopora_meandrina_HIv1___RNAseq.g20293.t1","USP38"
"Pocillopora_meandrina_HIv1___RNAseq.g11091.t1","USP39"
"Pocillopora_meandrina_HIv1___RNAseq.g10561.t1","USP40"
"Pocillopora_meandrina_HIv1___TS.g18832.t1","USP42"
"Pocillopora_meandrina_HIv1___RNAseq.g795.t1","USP43"
"Pocillopora_meandrina_HIv1___RNAseq.g8267.t1","USP44"
"Pocillopora_meandrina_HIv1___RNAseq.g23882.t1","USP45"
"Pocillopora_meandrina_HIv1___RNAseq.g26549.t1","USP27X"
"Pocillopora_meandrina_HIv1___TS.g10998.t1","USP28"
"Pocillopora_meandrina_HIv1___RNAseq.g9711.t1","USP26"
"Pocillopora_meandrina_HIv1___RNAseq.g11246.t1","USP24"
"Pocillopora_meandrina_HIv1___TS.g10998.t1","USP25"
"Pocillopora_meandrina_HIv1___RNAseq.g18898.t1","USP46"
"Pocillopora_meandrina_HIv1___RNAseq.g29550.t1","USP47"
"Pocillopora_meandrina_HIv1___RNAseq.g13326.t1","USP48"
"Pocillopora_meandrina_HIv1___RNAseq.g8267.t1","USP49"
"Pocillopora_meandrina_HIv1___RNAseq.g26549.t1","USP51"
"Pocillopora_meandrina_HIv1___RNAseq.g29221.t1","USP50"
"Pocillopora_meandrina_HIv1___RNAseq.g3607.t1","PAN2"
"Pocillopora_meandrina_HIv1___RNAseq.g29804.t1","USP53"
"Pocillopora_meandrina_HIv1___RNAseq.g29804.t1","USP54"
"Pocillopora_meandrina_HIv1___RNAseq.g3873.t1","ZRANB1"
"Pocillopora_meandrina_HIv1___RNAseq.g10699.t1","VCPIP1"
"Pocillopora_meandrina_HIv1___RNAseq.g27238.t2","OTUD6B"
"Pocillopora_meandrina_HIv1___RNAseq.g18672.t1","OTUD4"
"Pocillopora_meandrina_HIv1___RNAseq.g20707.t1","OTUD5"
"Pocillopora_meandrina_HIv1___RNAseq.g27238.t2","OTUD6A"
"Pocillopora_meandrina_HIv1___RNAseq.g23056.t1","OTUD3"
"Pocillopora_meandrina_HIv1___RNAseq.g18672.t1","ALG13"
"Pocillopora_meandrina_HIv1___RNAseq.g11925.t1","ATXN3"
"Pocillopora_meandrina_HIv1___RNAseq.g11925.t1","ATXN3L"
"Pocillopora_meandrina_HIv1___RNAseq.g26495.t1","JOSD1"
"Pocillopora_meandrina_HIv1___RNAseq.g26495.t1","JOSD2"
"Pocillopora_meandrina_HIv1___RNAseq.g14958.t1","BAP1"
"Pocillopora_meandrina_HIv1___RNAseq.g18907.t1","UCHL1"
"Pocillopora_meandrina_HIv1___RNAseq.g18907.t1","UCHL3"
"Pocillopora_meandrina_HIv1___RNAseq.g7106.t1","UCHL5"
"Pocillopora_meandrina_HIv1___RNAseq.g18907.t1","Uchl4"
"Pocillopora_meandrina_HIv1___RNAseq.g8351.t1","OTUD7A"
"Pocillopora_meandrina_HIv1___RNAseq.g8351.t1","OTUD7B"
"Pocillopora_meandrina_HIv1___RNAseq.g29785.t1","PSMD14"
"Pocillopora_meandrina_HIv1___RNAseq.g21656.t1","COPS5"
"Pocillopora_meandrina_HIv1___RNAseq.g15622.t1","COPS6"
"Pocillopora_meandrina_HIv1___RNAseq.g10630.t1","STAMBPL1"
"Pocillopora_meandrina_HIv1___RNAseq.g15359.t1","BRCC3"
"Pocillopora_meandrina_HIv1___RNAseq.g16826.t1","MYSM1"
"Pocillopora_meandrina_HIv1___RNAseq.g471.t1","MPND"
"Pocillopora_meandrina_HIv1___RNAseq.g461.t1","PSMD7"
"Pocillopora_meandrina_HIv1___RNAseq.g22371.t1","PRPF8"
"Pocillopora_meandrina_HIv1___RNAseq.g20942.t1","EIF3H"
"Pocillopora_meandrina_HIv1___RNAseq.g16538.t1","EIF3F"
"Pocillopora_meandrina_HIv1___RNAseq.g29707.t1","ZC3H12B"
"Pocillopora_meandrina_HIv1___RNAseq.g29707.t1","ZC3H12C"
"Pocillopora_meandrina_HIv1___RNAseq.g29707.t1","ZC3H12D"
"Pocillopora_meandrina_HIv1___RNAseq.g23400.t1","ZC3H12A"
"Pocillopora_meandrina_HIv1___RNAseq.g24501.t1","H1-2"
"Pocillopora_meandrina_HIv1___RNAseq.g24501.t1","H2AW"
"Pocillopora_meandrina_HIv1___RNAseq.g24501.t1","MACROH2A1"
"Pocillopora_meandrina_HIv1___RNAseq.g24243.t1","H2AZ2"
"Pocillopora_meandrina_HIv1___RNAseq.g24243.t1","H2AZ1"
"Pocillopora_meandrina_HIv1___RNAseq.g24501.t1","H2AJ"
"Pocillopora_meandrina_HIv1___RNAseq.g22810.t1","H2AX"
"Pocillopora_meandrina_HIv1___RNAseq.g22810.t1","Hdac2"
"Pocillopora_meandrina_HIv1___RNAseq.g12636.t1","Hdac3"
"Pocillopora_meandrina_HIv1___RNAseq.g3032.t1","Hdac4"
"Pocillopora_meandrina_HIv1___RNAseq.g3032.t1","Hdac5"
"Pocillopora_meandrina_HIv1___TS.g29561.t3a","Hdac6"
"Pocillopora_meandrina_HIv1___RNAseq.g3032.t1","Hdac7"
"Pocillopora_meandrina_HIv1___RNAseq.g23171.t1","Hdac8"
"Pocillopora_meandrina_HIv1___RNAseq.g3032.t1","Hdac9"
"Pocillopora_meandrina_HIv1___TS.g29561.t3a","Hdac10"
"Pocillopora_meandrina_HIv1___RNAseq.g19714.t1","Hdac11"
"Pocillopora_meandrina_HIv1___RNAseq.g12407.t1","Sirt1"
"Pocillopora_meandrina_HIv1___RNAseq.g5297.t1","Sirt2"
"Pocillopora_meandrina_HIv1___TS.g8173.t1","Sirt3"
"Pocillopora_meandrina_HIv1___RNAseq.g22181.t1","Sirt4"
"Pocillopora_meandrina_HIv1___RNAseq.g11851.t1","Sirt5"
"Pocillopora_meandrina_HIv1___RNAseq.g6534.t1","Sirt6"
"Pocillopora_meandrina_HIv1___RNAseq.g1868.t2","Sirt7"
"Pocillopora_meandrina_HIv1___RNAseq.g19087.t1","Ogt"
"Pocillopora_meandrina_HIv1___RNAseq.g27357.t1","Parp2"
"Pocillopora_meandrina_HIv1___RNAseq.g27357.t1","Parp3"
"Pocillopora_meandrina_HIv1___RNAseq.g23358.t1a","Parp4"
"Pocillopora_meandrina_HIv1___RNAseq.g1872.t2","Parp5a-Tnks"
"Pocillopora_meandrina_HIv1___RNAseq.g1872.t2","Parp5b-Tnks2"
"Pocillopora_meandrina_HIv1___RNAseq.g8435.t1","Parp7-Tiparp"
"Pocillopora_meandrina_HIv1___TS.g3565.t1","Parp9"
"Pocillopora_meandrina_HIv1___RNAseq.g8448.t1","Parp11"
"Pocillopora_meandrina_HIv1___RNAseq.g22891.t1","Parp12"
"Pocillopora_meandrina_HIv1___RNAseq.g22891.t1","Parp13-Zc3hav1"
"Pocillopora_meandrina_HIv1___TS.g3565.t1","Parp14"
