"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region"
"1","Pocillopora_meandrina_HIv1___RNAseq.g26779.t1","GO:0004842","ubiquitin-protein transferase activity",4,3,0.92,0.04,"Molecular Functions","Cluster_21",-0.373813059427221,0.53537587896718,0.973552982047016,156,-21.9,"2 18","3703 3725",17,"76.47%","82.35%","CDS"
"2","Pocillopora_meandrina_HIv1___RNAseq.g8198.t1","GO:0004842","ubiquitin-protein transferase activity",4,3,0.92,0.04,"Molecular Functions","Cluster_2793",-0.444100762689518,0.45373288763219,0.97024921967979,158,-21.35,"2 20","662 683",19,"73.68%","78.95%","3UTR"
"3","Pocillopora_meandrina_HIv1___RNAseq.g12234.t1","GO:0004842","ubiquitin-protein transferase activity",4,3,0.92,0.04,"Molecular Functions","Cluster_1015",-0.135370676116033,0.828168578883576,0.994770429144229,158,-20.86,"2 21","7662 7682",19,"73.68%","78.95%","CDS"
"4","Pocillopora_meandrina_HIv1___RNAseq.g14242.t1","GO:0004842","ubiquitin-protein transferase activity",4,3,0.92,0.04,"Molecular Functions","Cluster_1938",-0.827282937313234,0.0838981664663116,0.830222161206751,156,-21.87,"2 22","199 222",21,"61.90%","80.95%","CDS"
"5","Pocillopora_meandrina_HIv1___TS.g970.t1","GO:0004842","ubiquitin-protein transferase activity",4,3,0.92,0.04,"Molecular Functions","Cluster_1015",-0.722105824483051,0.168331509977218,0.892264914309449,145,-20.5,"2 21","18785 18806",20,"65.00%","75.00%","CDS"
"6","Pocillopora_meandrina_HIv1___RNAseq.g6695.t1","GO:0004842","ubiquitin-protein transferase activity",4,3,0.92,0.04,"Molecular Functions","Cluster_1793",-0.404437887945038,0.499458308002737,0.973552982047016,178,-21.41,"2 19","6820 6840",17,"88.24%","94.12%","CDS"
"7","Pocillopora_meandrina_HIv1___RNAseq.g6695.t1","GO:0004842","ubiquitin-protein transferase activity",4,3,0.92,0.04,"Molecular Functions","Cluster_390",-0.256404309920021,0.677149155620317,0.979197994333736,174,-20.69,"2 19","6819 6840",17,"82.35%","94.12%","CDS"
"8","Pocillopora_meandrina_HIv1___RNAseq.g6695.t1","GO:0004842","ubiquitin-protein transferase activity",4,3,0.92,0.04,"Molecular Functions","Cluster_4437",-0.595692930701632,0.289152948987862,0.94815007369944,146,-20.1,"2 11","950 970",9,"88.89%","100.00%","5UTR"
"9","Pocillopora_meandrina_HIv1___RNAseq.g7014.t1","GO:0004842","ubiquitin-protein transferase activity",4,3,0.92,0.04,"Molecular Functions","Cluster_360",-0.371327336755817,0.538312936780847,0.973552982047016,151,-20.12,"2 17","33331 33353",16,"75.00%","81.25%","CDS"
"10","Pocillopora_meandrina_HIv1___RNAseq.g7014.t1","GO:0004842","ubiquitin-protein transferase activity",4,3,0.92,0.04,"Molecular Functions","Cluster_360",-0.371327336755817,0.538312936780847,0.973552982047016,169,-21.65,"2 21","34068 34087",19,"78.95%","89.47%","CDS"
"11","Pocillopora_meandrina_HIv1___RNAseq.g17856.t1","GO:0004842","ubiquitin-protein transferase activity",4,3,0.92,0.04,"Molecular Functions","Cluster_3661",-0.0746948598467913,0.904984061207238,0.997033432013061,157,-20.51,"2 20","82 108",23,"69.57%","78.26%","3UTR"
"12","Pocillopora_meandrina_HIv1___RNAseq.g23544.t2","GO:0004842","ubiquitin-protein transferase activity",4,3,0.92,0.04,"Molecular Functions","Cluster_1938",-0.87894538450028,0.0496316229949506,0.791906184937955,152,-20.08,"2 22","587 612",23,"60.87%","73.91%","CDS"
"13","Pocillopora_meandrina_HIv1___RNAseq.g28289.t1","GO:0001653","peptide receptor activity",21,6,4.84,0.029,"Molecular Functions","Cluster_1068",-0.132605974560847,0.831656963777279,0.994770429144229,151,-26.67,"2 20","18655 18676",20,"70.00%","80.00%","CDS"
"14","Pocillopora_meandrina_HIv1___RNAseq.g13293.t1","GO:0004842","ubiquitin-protein transferase activity",4,3,0.92,0.04,"Molecular Functions","Cluster_4040",-0.955613031752267,0.0111507536875778,0.672484450209773,145,-24.03,"2 18","354 375",16,"62.50%","75.00%","5UTR"
