"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"5","Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g22310.t1",-0.947470580577219,0.0143379108408858,0.674410729954476,156,-21.25,"2 19","1 19",17,"76.47%","82.35%","3UTR","Q9C3Z5","60S acidic ribosomal protein P2","Podospora anserina (Pleurage anserina)","cytoplasmic translational elongation [GO:0002182]","GO:0002182; GO:0003735; GO:0022625"
"20","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g25291.t1",-0.947885623670125,0.0141692154004804,0.674410729954476,159,-20.09,"2 21","843 865",20,"70.00%","80.00%","3UTR","Q5ZHW4","Ras-related protein Rab-5B (EC 3.6.5.2)","Gallus gallus (Chicken)","endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]; regulation of endocytosis [GO:0030100]","GO:0003924; GO:0003925; GO:0005525; GO:0005768; GO:0005769; GO:0005886; GO:0006886; GO:0006897; GO:0012505; GO:0019003; GO:0030100; GO:0030139; GO:0031901"
"39","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g10347.t1",-0.981685694822282,0.00296703624850726,0.667107103030161,161,-21.71,"2 22","912 934",20,"65.00%","80.00%","3UTR","Q95245","Transmembrane ascorbate-dependent reductase CYB561 (EC 7.2.1.-) (Cytochrome b-561) (Cytochrome b561)","Sus scrofa (Pig)","ascorbate homeostasis [GO:0140576]","GO:0042584; GO:0046872; GO:0140575; GO:0140576"
"101","Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","180 201",18,"88.89%","88.89%","3UTR","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"102","Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","300 321",18,"88.89%","88.89%","3UTR","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"103","Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","420 441",18,"88.89%","88.89%","3UTR","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"104","Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","540 561",18,"88.89%","88.89%","3UTR","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"105","Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","60 81",18,"88.89%","88.89%","3UTR","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"106","Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","780 801",18,"88.89%","88.89%","3UTR","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"107","Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","900 921",18,"88.89%","88.89%","3UTR","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"110","Cluster_1793","Pocillopora_meandrina_HIv1___RNAseq.g26466.t1",-0.945332798083424,0.0152170504007,0.674410729954476,155,-20.66,"2 20","548 566",18,"77.78%","83.33%","3UTR",NA,NA,NA,NA,NA
"131","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g14977.t1",-0.893222380847292,0.0412072014052566,0.765459130560602,162,-22.12,"2 20","88 110",19,"73.68%","84.21%","3UTR","P62321","Small nuclear ribonucleoprotein F (snRNP-F) (Sm protein F) (Sm-F) (SmF)","Xenopus laevis (African clawed frog)","mRNA splicing, via spliceosome [GO:0000398]; spliceosomal snRNP assembly [GO:0000387]","GO:0000387; GO:0000398; GO:0003723; GO:0005634; GO:0005685; GO:0005687; GO:0005829; GO:0034709; GO:0034715; GO:0034719; GO:0046540; GO:0071005; GO:0071007"
"149","Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g18208.t1",-0.987781180181153,0.00161837872676055,0.667107103030161,150,-22.2,"2 11","94 115",9,"100.00%","100.00%","3UTR",NA,NA,NA,NA,NA
"160","Cluster_5612","Pocillopora_meandrina_HIv1___RNAseq.g20733.t1",0.965837666525896,0.00754079408094521,0.667107103030161,162,-20.42,"2 19","249 269",17,"76.47%","82.35%","3UTR","Q9H2W6","39S ribosomal protein L46, mitochondrial (L46mt) (MRP-L46) (Mitochondrial large ribosomal subunit protein mL46) (P2ECSL)","Homo sapiens (Human)","mitochondrial translation [GO:0032543]","GO:0003735; GO:0005654; GO:0005739; GO:0005743; GO:0005762; GO:0030054; GO:0032543"
"177","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g627.t1b",-0.981986205789269,0.00289444080290838,0.667107103030161,160,-20.15,"2 17","49 71",15,"73.33%","93.33%","3UTR",NA,NA,NA,NA,NA
"194","Cluster_2973","Pocillopora_meandrina_HIv1___TS.g5059.t2",-0.948228376602944,0.0140303943154318,0.674410729954476,165,-23.5,"2 20","500 520",18,"77.78%","88.89%","3UTR","Q7TNG5","Echinoderm microtubule-associated protein-like 2 (EMAP-2)","Mus musculus (Mouse)","microtubule cytoskeleton organization [GO:0000226]; negative regulation of microtubule polymerization [GO:0031115]; regulation of microtubule nucleation [GO:0010968]","GO:0000226; GO:0005102; GO:0005737; GO:0005874; GO:0008017; GO:0008022; GO:0010968; GO:0015631; GO:0031115; GO:0043621; GO:0072686"
"196","Cluster_4823","Pocillopora_meandrina_HIv1___RNAseq.g15252.t1",-0.906915771266696,0.033611610723924,0.745895262324215,154,-21.45,"2 17","233 253",15,"80.00%","86.67%","3UTR","Q498F0","WD repeat-containing protein 44","Xenopus laevis (African clawed frog)","","GO:0005794; GO:0005829; GO:0010008; GO:0048471"
"236","Cluster_4572","Pocillopora_meandrina_HIv1___RNAseq.g22666.t1",0.944276647979206,0.0156576285678092,0.674410729954476,163,-20.93,"2 21","950 972",20,"70.00%","85.00%","3UTR",NA,NA,NA,NA,NA
"258","Cluster_1938","Pocillopora_meandrina_HIv1___TS.g23997.t1",-0.97347675856656,0.00516461966995338,0.667107103030161,154,-21.64,"2 22","372 394",21,"61.90%","85.71%","3UTR","Q63HM1","Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF)","Homo sapiens (Human)","'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; tryptophan catabolic process to kynurenine [GO:0019441]","GO:0004061; GO:0005634; GO:0005737; GO:0005829; GO:0019441; GO:0034354"
"260","Cluster_3661","Pocillopora_meandrina_HIv1___RNAseq.g29298.t1",-0.93643215358513,0.0190548323623484,0.682865205121081,161,-21.45,"2 21","774 793",19,"73.68%","84.21%","3UTR","Q9Z0Y2","Phospholipase A2 (EC 3.1.1.4) (Group IB phospholipase A2) (PLA2-Ib) (Phosphatidylcholine 2-acylhydrolase 1B)","Mus musculus (Mouse)","antibacterial humoral response [GO:0019731]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; arachidonic acid secretion [GO:0050482]; defense response to Gram-positive bacterium [GO:0050830]; fatty acid biosynthetic process [GO:0006633]; innate immune response in mucosa [GO:0002227]; lipid catabolic process [GO:0016042]; phosphatidylcholine metabolic process [GO:0046470]; phosphatidylglycerol metabolic process [GO:0046471]; phospholipid catabolic process [GO:0009395]; phospholipid metabolic process [GO:0006644]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of podocyte apoptotic process [GO:1904635]","GO:0002227; GO:0004623; GO:0005102; GO:0005509; GO:0005576; GO:0005615; GO:0006633; GO:0006644; GO:0008284; GO:0009395; GO:0009986; GO:0016042; GO:0019731; GO:0030141; GO:0032052; GO:0046470; GO:0046471; GO:0047498; GO:0048146; GO:0050482; GO:0050830; GO:0061844; GO:1904635"
"270","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g1869.t1",-0.941039814196232,0.0170330917830084,0.674410729954476,147,-21.76,"2 12","160 182",10,"80.00%","100.00%","3UTR",NA,NA,NA,NA,NA
"293","Cluster_4823","Pocillopora_meandrina_HIv1___TS.g20484.t1",0.911291572874932,0.031290776284695,0.736910690193209,154,-23.39,"2 20","61 85",21,"66.67%","76.19%","3UTR","Q709C8","Intermembrane lipid transfer protein VPS13C (Vacuolar protein sorting-associated protein 13C)","Homo sapiens (Human)","Golgi to endosome transport [GO:0006895]; lipid transport [GO:0006869]; mitochondrion organization [GO:0007005]; negative regulation of parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization [GO:1905090]; protein retention in Golgi apparatus [GO:0045053]; protein targeting to vacuole [GO:0006623]; response to insulin [GO:0032868]","GO:0005737; GO:0005741; GO:0005764; GO:0005765; GO:0005770; GO:0005789; GO:0005811; GO:0005829; GO:0006623; GO:0006869; GO:0006895; GO:0007005; GO:0019898; GO:0031902; GO:0032127; GO:0032868; GO:0045053; GO:0070062; GO:1905090"
"325","Cluster_4040","Pocillopora_meandrina_HIv1___RNAseq.g21083.t1",0.95644813963139,0.0108389263729232,0.669023010123196,153,-20.38,"2 18","755 776",16,"68.75%","81.25%","3UTR",NA,NA,NA,NA,NA
"328","Cluster_1296","Pocillopora_meandrina_HIv1___TS.g29797.t1a",-0.932325817028199,0.0209175111668761,0.687095063784671,151,-22.51,"2 21","755 777",20,"70.00%","70.00%","3UTR",NA,NA,NA,NA,NA
"344","Cluster_360","Pocillopora_meandrina_HIv1___RNAseq.g13929.t1",-0.907972271074224,0.0330464043737508,0.74397647549143,154,-20.96,"2 20","747 769",19,"68.42%","78.95%","3UTR",NA,NA,NA,NA,NA
"396","Cluster_1952","Pocillopora_meandrina_HIv1___RNAseq.g10343.t1",0.906723839752342,0.0337146192139061,0.746402549010381,150,-20.76,"2 20","229 252",20,"65.00%","75.00%","3UTR","W8W138","Beta-secretase (EC 3.4.23.-)","Strongylocentrotus purpuratus (Purple sea urchin)","amyloid-beta metabolic process [GO:0050435]; membrane protein ectodomain proteolysis [GO:0006509]; proteolysis [GO:0006508]","GO:0004190; GO:0005768; GO:0005802; GO:0005886; GO:0006508; GO:0006509; GO:0050435"
"410","Cluster_4040","Pocillopora_meandrina_HIv1___RNAseq.g14845.t1",0.950813862951001,0.0129977311084384,0.674410729954476,158,-23.77,"2 17","492 512",15,"80.00%","93.33%","3UTR",NA,NA,NA,NA,NA
"445","Cluster_1296","Pocillopora_meandrina_HIv1___RNAseq.g15866.t1",-0.941449087059812,0.0168571020246151,0.674410729954476,155,-20.37,"2 20","95 116",18,"72.22%","72.22%","3UTR",NA,NA,NA,NA,NA
"451","Cluster_3661","Pocillopora_meandrina_HIv1___RNAseq.g13578.t1",-0.888771752750385,0.0437798916917374,0.774412092014671,152,-24,"2 21","563 587",23,"69.57%","78.26%","3UTR",NA,NA,NA,NA,NA
"462","Cluster_2839","Pocillopora_meandrina_HIv1___RNAseq.g28481.t1",-0.968528512591817,0.00667035424164904,0.667107103030161,160,-21.43,"2 17","447 468",15,"80.00%","86.67%","3UTR","Q3UR85","Myelin regulatory factor (EC 3.4.-.-) (Myelin gene regulatory factor) [Cleaved into: Myelin regulatory factor, N-terminal; Myelin regulatory factor, C-terminal]","Mus musculus (Mouse)","central nervous system myelin maintenance [GO:0032286]; central nervous system myelination [GO:0022010]; oligodendrocyte development [GO:0014003]; oligodendrocyte differentiation [GO:0048709]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of myelination [GO:0031643]; protein autoprocessing [GO:0016540]; regulation of transcription by RNA polymerase II [GO:0006357]","GO:0000981; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005737; GO:0005789; GO:0005794; GO:0005829; GO:0006357; GO:0008233; GO:0014003; GO:0016540; GO:0022010; GO:0031643; GO:0032286; GO:0042802; GO:0043565; GO:0045893; GO:0048709"
"493","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g549.t1b",0.93082688656806,0.0216113335862707,0.691602866826245,157,-21.47,"2 20","777 797",18,"66.67%","88.89%","3UTR",NA,NA,NA,NA,NA
"505","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g7360.t1",0.983640847512444,0.00250556964960435,0.667107103030161,168,-21.01,"2 21","40 61",19,"73.68%","84.21%","3UTR","Q26626","Kinesin-associated protein 3 (SpKAP115)","Strongylocentrotus purpuratus (Purple sea urchin)","cilium organization [GO:0044782]; microtubule-based movement [GO:0007018]; microtubule-based process [GO:0007017]","GO:0005930; GO:0007017; GO:0007018; GO:0016939; GO:0019894; GO:0035869; GO:0044782"
"564","Cluster_3392","Pocillopora_meandrina_HIv1___RNAseq.g2388.t1",0.925501651855862,0.0241346074574253,0.70016346591969,160,-20.29,"2 18","188 211",18,"72.22%","88.89%","3UTR",NA,NA,NA,NA,NA
"578","Cluster_3392","Pocillopora_meandrina_HIv1___TS.g5141.t1",0.967616283342236,0.0069615023574331,0.667107103030161,159,-21.84,"2 21","240 266",24,"62.50%","79.17%","3UTR",NA,NA,NA,NA,NA
