Coords	Name	MIRNA	sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-48-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-50-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-53-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-57-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed
Pocillopora_meandrina_HIv1___Sc0000000:9092-9521	Cluster_1	N	1606	1328	1544	3021	3331
Pocillopora_meandrina_HIv1___Sc0000000:53578-53997	Cluster_2	N	24	51	67	52	91
Pocillopora_meandrina_HIv1___Sc0000000:150243-150718	Cluster_3	N	244	525	433	397	949
Pocillopora_meandrina_HIv1___Sc0000000:173728-174150	Cluster_4	N	166	167	273	318	333
Pocillopora_meandrina_HIv1___Sc0000000:187562-188076	Cluster_5	N	6	15	26	65	73
Pocillopora_meandrina_HIv1___Sc0000000:485730-486254	Cluster_6	N	35	37	33	58	123
Pocillopora_meandrina_HIv1___Sc0000000:496020-496432	Cluster_7	N	20	7	8	26	11
Pocillopora_meandrina_HIv1___Sc0000000:525310-527341	Cluster_8	N	3597	1225	4646	2769	2585
Pocillopora_meandrina_HIv1___Sc0000000:541262-541723	Cluster_9	N	130	92	85	325	92
Pocillopora_meandrina_HIv1___Sc0000000:551887-552690	Cluster_10	N	20	20	654	2	91
Pocillopora_meandrina_HIv1___Sc0000000:555672-556458	Cluster_11	N	186	89	94	367	96
Pocillopora_meandrina_HIv1___Sc0000000:580913-581465	Cluster_12	N	26	42	38	71	19
Pocillopora_meandrina_HIv1___Sc0000000:585567-585992	Cluster_13	N	72	36	0	1	2
Pocillopora_meandrina_HIv1___Sc0000000:591371-591939	Cluster_14	N	154	90	14	134	177
Pocillopora_meandrina_HIv1___Sc0000000:639521-640061	Cluster_15	N	94	205	227	3	7
Pocillopora_meandrina_HIv1___Sc0000000:659874-660293	Cluster_16	N	40	15	17	34	7
Pocillopora_meandrina_HIv1___Sc0000000:721030-721459	Cluster_17	N	70	75	25	451	10
Pocillopora_meandrina_HIv1___Sc0000000:721923-722470	Cluster_18	N	406	512	509	682	822
Pocillopora_meandrina_HIv1___Sc0000000:727164-727725	Cluster_19	N	131	105	121	167	318
Pocillopora_meandrina_HIv1___Sc0000000:815898-816398	Cluster_20	N	119	274	128	363	571
Pocillopora_meandrina_HIv1___Sc0000000:818027-818120	Cluster_21	Y	4846	2433	1968	1452	1397
Pocillopora_meandrina_HIv1___Sc0000000:987729-988269	Cluster_22	N	98	208	233	6	7
Pocillopora_meandrina_HIv1___Sc0000000:1215328-1215757	Cluster_23	N	167	175	177	236	200
Pocillopora_meandrina_HIv1___Sc0000000:1276027-1276447	Cluster_24	N	121	0	0	1	12
Pocillopora_meandrina_HIv1___Sc0000000:1276611-1277082	Cluster_25	N	285	977	258	356	273
Pocillopora_meandrina_HIv1___Sc0000000:1336780-1337288	Cluster_26	N	296	432	329	485	314
Pocillopora_meandrina_HIv1___Sc0000000:1378697-1379231	Cluster_27	N	143	263	99	351	505
Pocillopora_meandrina_HIv1___Sc0000000:1688857-1689413	Cluster_28	N	2	77	131	135	98
Pocillopora_meandrina_HIv1___Sc0000000:1750814-1751515	Cluster_29	N	115	58	46	35	20
Pocillopora_meandrina_HIv1___Sc0000000:1752742-1753174	Cluster_30	N	105	39	22	91	8
Pocillopora_meandrina_HIv1___Sc0000000:1837731-1838136	Cluster_31	N	39	40	2	33	12
Pocillopora_meandrina_HIv1___Sc0000000:2007023-2007452	Cluster_32	N	46	53	104	34	0
Pocillopora_meandrina_HIv1___Sc0000000:2063456-2063972	Cluster_33	N	959	837	1016	822	753
Pocillopora_meandrina_HIv1___Sc0000000:2159721-2161042	Cluster_34	N	572	92	388	391	236
Pocillopora_meandrina_HIv1___Sc0000000:2750560-2752026	Cluster_35	N	556	284	289	238	191
Pocillopora_meandrina_HIv1___Sc0000000:2872019-2872110	Cluster_36	Y	39	44	20	41	33
Pocillopora_meandrina_HIv1___Sc0000000:2959038-2959443	Cluster_37	N	20	1	12	50	21
Pocillopora_meandrina_HIv1___Sc0000000:2959658-2960409	Cluster_38	N	344	156	283	234	182
Pocillopora_meandrina_HIv1___Sc0000000:3005020-3005445	Cluster_39	N	24	60	8	1	1
Pocillopora_meandrina_HIv1___Sc0000000:3005892-3006331	Cluster_40	N	346	0	143	191	157
Pocillopora_meandrina_HIv1___Sc0000000:3563547-3563966	Cluster_41	N	0	0	0	0	77
