# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/17-Ptuh-lncRNA/Ptuh-lncRNA.gtf" "-o" "../output/18-Ptuh-lncRNA-matrix/Ptuh-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-47.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-48.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-50.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-53.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-57.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/18-Ptuh-lncRNA-matrix/RNA-POC-47.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-48.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-50.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-53.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-57.sorted.bam
lncRNA_001	Pocillopora_meandrina_HIv1___Sc0000000	130008	130942	+	935	196	319	153	274	242
lncRNA_002	Pocillopora_meandrina_HIv1___Sc0000000	164396	165221	+	826	57	0	48	16	17
lncRNA_003	Pocillopora_meandrina_HIv1___Sc0000000	164598	165221	+	624	0	0	0	0	0
lncRNA_004	Pocillopora_meandrina_HIv1___Sc0000000	168918	182502	+	13585	222	362	307	709	350
lncRNA_005	Pocillopora_meandrina_HIv1___Sc0000000	245810	248612	+	2803	0	0	386	0	12
lncRNA_006	Pocillopora_meandrina_HIv1___Sc0000000	282744	283165	+	422	159	158	280	345	140
lncRNA_007	Pocillopora_meandrina_HIv1___Sc0000000	551804	553744	+	1941	513	47	951	63	110
lncRNA_008	Pocillopora_meandrina_HIv1___Sc0000000	584998	589105	+	4108	24	0	0	0	4
lncRNA_009	Pocillopora_meandrina_HIv1___Sc0000000	585234	589105	+	3872	0	0	0	0	0
lncRNA_010	Pocillopora_meandrina_HIv1___Sc0000000	586609	590569	+	3961	16	9	8	15	24
lncRNA_011	Pocillopora_meandrina_HIv1___Sc0000000	587040	589105	+	2066	0	0	0	0	0
lncRNA_012	Pocillopora_meandrina_HIv1___Sc0000000	608120	611735	+	3616	0	0	0	0	0
lncRNA_013	Pocillopora_meandrina_HIv1___Sc0000000	608120	611735	+	3616	0	0	0	0	0
lncRNA_014	Pocillopora_meandrina_HIv1___Sc0000000	774890	777085	+	2196	55	80	4	21	18
lncRNA_015	Pocillopora_meandrina_HIv1___Sc0000000	779056	784625	+	5570	18403	15112	28538	17117	12271
lncRNA_016	Pocillopora_meandrina_HIv1___Sc0000000	836134	836745	+	612	108	167	157	53	158
lncRNA_017	Pocillopora_meandrina_HIv1___Sc0000000	849629	852046	+	2418	0	0	0	0	0
lncRNA_018	Pocillopora_meandrina_HIv1___Sc0000000	850075	852046	+	1972	0	0	0	0	0
lncRNA_019	Pocillopora_meandrina_HIv1___Sc0000000	958614	960727	+	2114	1930	2843	1954	2027	942
lncRNA_020	Pocillopora_meandrina_HIv1___Sc0000000	961877	962189	+	313	9	6	3	50	34
lncRNA_021	Pocillopora_meandrina_HIv1___Sc0000000	1055641	1057379	+	1739	331	237	325	337	168
lncRNA_022	Pocillopora_meandrina_HIv1___Sc0000000	1242141	1261316	+	19176	574	603	412	443	707
lncRNA_023	Pocillopora_meandrina_HIv1___Sc0000000	1253418	1253755	+	338	0	0	0	0	0
lncRNA_024	Pocillopora_meandrina_HIv1___Sc0000000	1253996	1261220	+	7225	0	0	0	0	0
lncRNA_025	Pocillopora_meandrina_HIv1___Sc0000000	1488517	1491636	+	3120	413	56	3957	20	316
lncRNA_026	Pocillopora_meandrina_HIv1___Sc0000000	1496331	1500789	+	4459	407	248	277	361	94
lncRNA_027	Pocillopora_meandrina_HIv1___Sc0000000	1501615	1503142	+	1528	197	50	64	12	38
lncRNA_028	Pocillopora_meandrina_HIv1___Sc0000000	1616911	1622670	+	5760	0	0	0	0	0
lncRNA_029	Pocillopora_meandrina_HIv1___Sc0000000	1617146	1622829	+	5684	6	0	0	9	0
lncRNA_030	Pocillopora_meandrina_HIv1___Sc0000000	1789315	1800539	+	11225	2178	2301	2015	1489	1862
lncRNA_031	Pocillopora_meandrina_HIv1___Sc0000000	1789351	1795470	+	6120	0	0	0	0	0
lncRNA_032	Pocillopora_meandrina_HIv1___Sc0000000	2228039	2228937	+	899	47	8	31	22	50
lncRNA_033	Pocillopora_meandrina_HIv1___Sc0000000	2228126	2228616	+	491	0	0	0	0	0
lncRNA_034	Pocillopora_meandrina_HIv1___Sc0000000	2420622	2422254	+	1633	132	152	4	235	827
lncRNA_035	Pocillopora_meandrina_HIv1___Sc0000000	2513924	2514255	+	332	246	5	15	7	7
lncRNA_036	Pocillopora_meandrina_HIv1___Sc0000000	2684192	2684469	+	278	0	2	16	19	1
lncRNA_037	Pocillopora_meandrina_HIv1___Sc0000000	2796417	2797736	+	1320	28	57	119	53	26
lncRNA_038	Pocillopora_meandrina_HIv1___Sc0000000	2951623	2966261	+	14639	1908	2514	1365	821	509
lncRNA_039	Pocillopora_meandrina_HIv1___Sc0000000	2997190	3007038	+	9849	49	340	92	158	74
lncRNA_040	Pocillopora_meandrina_HIv1___Sc0000000	3113759	3117669	+	3911	0	0	0	0	0
lncRNA_041	Pocillopora_meandrina_HIv1___Sc0000000	3113759	3117669	+	3911	0	0	0	0	0
lncRNA_042	Pocillopora_meandrina_HIv1___Sc0000000	3483863	3484415	+	553	32	5	9	24	26
lncRNA_043	Pocillopora_meandrina_HIv1___Sc0000000	3582371	3583786	+	1416	95	40	172	64	31
lncRNA_044	Pocillopora_meandrina_HIv1___Sc0000000	3590437	3591381	+	945	0	0	0	0	0
lncRNA_045	Pocillopora_meandrina_HIv1___Sc0000000	3639931	3640246	+	316	0	7	0	0	22
lncRNA_046	Pocillopora_meandrina_HIv1___Sc0000000	3921676	3924595	+	2920	0	0	0	0	0
lncRNA_047	Pocillopora_meandrina_HIv1___Sc0000000	3921676	3924741	+	3066	0	2	7	23	0
lncRNA_048	Pocillopora_meandrina_HIv1___Sc0000000	4024778	4025435	+	658	97	18	36	69	46
lncRNA_049	Pocillopora_meandrina_HIv1___Sc0000000	4204840	4207113	+	2274	211	544	164	343	316
lncRNA_050	Pocillopora_meandrina_HIv1___Sc0000000	4588558	4594516	+	5959	21	29	69	69	25
lncRNA_051	Pocillopora_meandrina_HIv1___Sc0000000	4598833	4599768	+	936	0	60	78	29	41
lncRNA_052	Pocillopora_meandrina_HIv1___Sc0000000	4637654	4638343	+	690	0	0	40	49	0
lncRNA_053	Pocillopora_meandrina_HIv1___Sc0000000	4661181	4661760	+	580	0	38	47	27	0
lncRNA_054	Pocillopora_meandrina_HIv1___Sc0000000	5011203	5012520	+	1318	8	14	10	22	2
lncRNA_055	Pocillopora_meandrina_HIv1___Sc0000000	5126398	5129291	+	2894	0	49	0	50	70
lncRNA_056	Pocillopora_meandrina_HIv1___Sc0000000	5291311	5291782	+	472	75	15	2	27	0
lncRNA_057	Pocillopora_meandrina_HIv1___Sc0000000	5327900	5331180	+	3281	925	587	1504	791	816
lncRNA_058	Pocillopora_meandrina_HIv1___Sc0000000	5506435	5507897	+	1463	45	206	166	85	82
lncRNA_059	Pocillopora_meandrina_HIv1___Sc0000000	5635008	5637653	+	2646	45	27	140	20	63
lncRNA_060	Pocillopora_meandrina_HIv1___Sc0000000	5650739	5651750	+	1012	0	0	0	0	0
lncRNA_061	Pocillopora_meandrina_HIv1___Sc0000000	5658610	5666296	+	7687	0	0	0	0	0
lncRNA_062	Pocillopora_meandrina_HIv1___Sc0000000	5688022	5696036	+	8015	0	0	0	0	0
lncRNA_063	Pocillopora_meandrina_HIv1___Sc0000000	5695779	5703740	+	7962	0	0	0	0	0
lncRNA_064	Pocillopora_meandrina_HIv1___Sc0000000	5701369	5702426	+	1058	0	0	0	0	0
lncRNA_065	Pocillopora_meandrina_HIv1___Sc0000000	5708270	5720970	+	12701	0	0	0	0	0
lncRNA_066	Pocillopora_meandrina_HIv1___Sc0000000	5709503	5714513	+	5011	0	0	0	0	0
lncRNA_067	Pocillopora_meandrina_HIv1___Sc0000000	5732541	5738118	+	5578	0	6	0	7	10
lncRNA_068	Pocillopora_meandrina_HIv1___Sc0000000	5732857	5738278	+	5422	0	5	0	25	0
lncRNA_069	Pocillopora_meandrina_HIv1___Sc0000000	5904681	5905046	+	366	1	69	54	7	23
lncRNA_070	Pocillopora_meandrina_HIv1___Sc0000000	5945003	5952102	+	7100	0	0	0	0	0
lncRNA_071	Pocillopora_meandrina_HIv1___Sc0000000	5945098	5952102	+	7005	0	0	0	0	0
lncRNA_072	Pocillopora_meandrina_HIv1___Sc0000000	6031698	6034798	+	3101	1937	273	1799	959	612
lncRNA_073	Pocillopora_meandrina_HIv1___Sc0000000	6042794	6043084	+	291	30	0	0	0	0
lncRNA_074	Pocillopora_meandrina_HIv1___Sc0000000	6435295	6443412	+	8118	305	570	557	450	500
lncRNA_075	Pocillopora_meandrina_HIv1___Sc0000000	6619458	6620509	+	1052	455	217	435	265	377
lncRNA_076	Pocillopora_meandrina_HIv1___Sc0000000	6877174	6881746	+	4573	58	15	3	6	2
lncRNA_077	Pocillopora_meandrina_HIv1___Sc0000000	6937321	6938200	+	880	0	0	0	0	0
lncRNA_078	Pocillopora_meandrina_HIv1___Sc0000000	7198342	7198627	+	286	4	0	0	24	0
lncRNA_079	Pocillopora_meandrina_HIv1___Sc0000000	7255093	7256199	+	1107	31	16	24	47	10
lncRNA_080	Pocillopora_meandrina_HIv1___Sc0000000	7325305	7325560	+	256	0	0	0	0	3
lncRNA_081	Pocillopora_meandrina_HIv1___Sc0000000	7326135	7326559	+	425	4	0	0	0	3
lncRNA_082	Pocillopora_meandrina_HIv1___Sc0000000	7333844	7340649	+	6806	0	6	34	9	65
lncRNA_083	Pocillopora_meandrina_HIv1___Sc0000000	7390469	7391477	+	1009	0	29	27	11	16
lncRNA_084	Pocillopora_meandrina_HIv1___Sc0000000	7515607	7517858	+	2252	6	2	2	3	3
lncRNA_085	Pocillopora_meandrina_HIv1___Sc0000000	7628793	7629210	+	418	0	0	0	41	26
lncRNA_086	Pocillopora_meandrina_HIv1___Sc0000000	7753023	7755908	+	2886	12	19	30	38	43
lncRNA_087	Pocillopora_meandrina_HIv1___Sc0000000	7771344	7771663	+	320	0	12	0	0	21
lncRNA_088	Pocillopora_meandrina_HIv1___Sc0000000	7772316	7773700	+	1385	16	136	4	5	90
lncRNA_089	Pocillopora_meandrina_HIv1___Sc0000000	8200224	8201005	+	782	80	22	44	47	55
lncRNA_090	Pocillopora_meandrina_HIv1___Sc0000000	8209964	8214545	+	4582	529	278	620	186	162
lncRNA_091	Pocillopora_meandrina_HIv1___Sc0000000	8134204	8135450	+	1247	36	89	75	58	90
lncRNA_092	Pocillopora_meandrina_HIv1___Sc0000000	8285610	8286466	+	857	0	0	0	0	0
lncRNA_093	Pocillopora_meandrina_HIv1___Sc0000000	8285618	8289662	+	4045	58	88	120	72	98
lncRNA_094	Pocillopora_meandrina_HIv1___Sc0000000	8308882	8312289	+	3408	169	104	437	212	27
lncRNA_095	Pocillopora_meandrina_HIv1___Sc0000000	8414780	8415385	+	606	155	60	191	77	136
lncRNA_096	Pocillopora_meandrina_HIv1___Sc0000000	8603365	8605920	+	2556	95	177	474	548	204
lncRNA_097	Pocillopora_meandrina_HIv1___Sc0000000	8788921	8790694	+	1774	0	0	0	0	4
lncRNA_098	Pocillopora_meandrina_HIv1___Sc0000000	8788938	8789734	+	797	0	0	0	0	0
lncRNA_099	Pocillopora_meandrina_HIv1___Sc0000000	8788962	8789734	+	773	0	0	0	0	0
lncRNA_100	Pocillopora_meandrina_HIv1___Sc0000000	8790204	8790829	+	626	3	1	0	5	1
lncRNA_101	Pocillopora_meandrina_HIv1___Sc0000000	8934277	8945136	+	10860	0	0	0	0	0
lncRNA_102	Pocillopora_meandrina_HIv1___Sc0000000	9060947	9065445	+	4499	17	30	23	10	26
lncRNA_103	Pocillopora_meandrina_HIv1___Sc0000000	9083767	9084358	+	592	39	10	98	423	47
lncRNA_104	Pocillopora_meandrina_HIv1___Sc0000000	9131229	9132057	+	829	190	151	73	58	111
lncRNA_105	Pocillopora_meandrina_HIv1___Sc0000000	9212038	9215281	+	3244	98	188	108	87	38
lncRNA_106	Pocillopora_meandrina_HIv1___Sc0000000	9252611	9259584	+	6974	322	150	236	64	232
lncRNA_107	Pocillopora_meandrina_HIv1___Sc0000000	9406474	9409610	+	3137	218	167	251	514	68
lncRNA_108	Pocillopora_meandrina_HIv1___Sc0000000	9421433	9422169	+	737	11	6	79	8	40
lncRNA_109	Pocillopora_meandrina_HIv1___Sc0000000	9460121	9468105	+	7985	621	301	377	598	471
lncRNA_110	Pocillopora_meandrina_HIv1___Sc0000000	9579559	9582249	+	2691	103	198	90	1165	391
lncRNA_111	Pocillopora_meandrina_HIv1___Sc0000000	9887779	9888045	+	267	2	20	18	0	0
lncRNA_112	Pocillopora_meandrina_HIv1___Sc0000000	9889785	9891175	+	1391	60	119	758	38	27
lncRNA_113	Pocillopora_meandrina_HIv1___Sc0000000	10329623	10331775	+	2153	0	12	0	26	0
lncRNA_114	Pocillopora_meandrina_HIv1___Sc0000000	10360247	10362419	+	2173	0	2	0	0	0
lncRNA_115	Pocillopora_meandrina_HIv1___Sc0000000	10360340	10362419	+	2080	0	0	0	0	0
lncRNA_116	Pocillopora_meandrina_HIv1___Sc0000000	10360389	10361766	+	1378	0	0	0	0	0
lncRNA_117	Pocillopora_meandrina_HIv1___Sc0000000	10360401	10362419	+	2019	0	0	0	0	0
lncRNA_118	Pocillopora_meandrina_HIv1___Sc0000000	11223477	11224394	+	918	28	9	70	23	14
lncRNA_119	Pocillopora_meandrina_HIv1___Sc0000000	11864488	11865244	+	757	10	0	42	57	0
lncRNA_120	Pocillopora_meandrina_HIv1___Sc0000000	11888734	11889138	+	405	174	17	22	112	8
lncRNA_121	Pocillopora_meandrina_HIv1___Sc0000000	12115440	12115882	+	443	40	36	3	6	4
lncRNA_122	Pocillopora_meandrina_HIv1___Sc0000000	12449388	12472620	+	23233	0	0	0	0	0
lncRNA_123	Pocillopora_meandrina_HIv1___Sc0000000	12570300	12571194	+	895	281	117	1	0	0
lncRNA_124	Pocillopora_meandrina_HIv1___Sc0000000	12691110	12693819	+	2710	50	11	16	105	0
lncRNA_125	Pocillopora_meandrina_HIv1___Sc0000000	12706151	12708458	+	2308	66	39	12	3	1
lncRNA_126	Pocillopora_meandrina_HIv1___Sc0000000	12718311	12718796	+	486	31	4	65	75	35
lncRNA_127	Pocillopora_meandrina_HIv1___Sc0000000	13189377	13190820	+	1444	87	24	51	51	16
lncRNA_128	Pocillopora_meandrina_HIv1___Sc0000000	13270172	13271825	+	1654	51	15	7	657	40
lncRNA_129	Pocillopora_meandrina_HIv1___Sc0000000	13305002	13305592	+	591	29	14	3	46	1
lncRNA_130	Pocillopora_meandrina_HIv1___Sc0000000	13367952	13380740	+	12789	69	82	59	66	29
lncRNA_131	Pocillopora_meandrina_HIv1___Sc0000000	13467625	13468774	+	1150	18	3	14	18	56
lncRNA_132	Pocillopora_meandrina_HIv1___Sc0000000	13545782	13548900	+	3119	30	75	10	34	11
lncRNA_133	Pocillopora_meandrina_HIv1___Sc0000000	13563202	13564908	+	1707	179	21	7	150	1
lncRNA_134	Pocillopora_meandrina_HIv1___Sc0000000	13637793	13638344	+	552	0	0	7	0	5
lncRNA_135	Pocillopora_meandrina_HIv1___Sc0000000	13651136	13654120	+	2985	2	26	30	37	5
lncRNA_136	Pocillopora_meandrina_HIv1___Sc0000000	13670739	13672111	+	1373	22	25	20	185	335
lncRNA_137	Pocillopora_meandrina_HIv1___Sc0000000	13775135	13776062	+	928	8	20	34	19	9
lncRNA_138	Pocillopora_meandrina_HIv1___Sc0000000	13795533	13800913	+	5381	12	1	0	18	9
lncRNA_139	Pocillopora_meandrina_HIv1___Sc0000000	13796549	13798819	+	2271	0	0	0	0	0
lncRNA_140	Pocillopora_meandrina_HIv1___Sc0000000	13796579	13800913	+	4335	0	0	0	0	0
lncRNA_141	Pocillopora_meandrina_HIv1___Sc0000000	13798658	13800913	+	2256	0	0	0	0	0
lncRNA_142	Pocillopora_meandrina_HIv1___Sc0000000	13808183	13809880	+	1698	0	0	0	0	5
lncRNA_143	Pocillopora_meandrina_HIv1___Sc0000000	13900289	13902208	+	1920	0	20	18	5	24
lncRNA_144	Pocillopora_meandrina_HIv1___Sc0000000	13923753	13924397	+	645	4	13	2	8	0
lncRNA_145	Pocillopora_meandrina_HIv1___Sc0000000	14035026	14036553	+	1528	0	8	6	7	3
lncRNA_146	Pocillopora_meandrina_HIv1___Sc0000000	14114320	14116418	+	2099	0	0	0	0	0
lncRNA_147	Pocillopora_meandrina_HIv1___Sc0000000	14130936	14132750	+	1815	14	12	23	8	6
lncRNA_148	Pocillopora_meandrina_HIv1___Sc0000000	14197858	14201074	+	3217	16	10	11	8	56
lncRNA_149	Pocillopora_meandrina_HIv1___Sc0000000	14264605	14268767	+	4163	0	0	0	0	0
lncRNA_150	Pocillopora_meandrina_HIv1___Sc0000000	14282542	14282791	+	250	2	11	11	13	3
lncRNA_151	Pocillopora_meandrina_HIv1___Sc0000000	14286226	14286463	+	238	1	0	51	1	21
lncRNA_152	Pocillopora_meandrina_HIv1___Sc0000000	14311523	14312472	+	950	0	0	0	0	76
lncRNA_153	Pocillopora_meandrina_HIv1___Sc0000000	14343530	14344341	+	812	11	20	6	6	1
lncRNA_154	Pocillopora_meandrina_HIv1___Sc0000000	14360478	14360770	+	293	0	0	17	8	0
lncRNA_155	Pocillopora_meandrina_HIv1___Sc0000000	14442007	14442610	+	604	14	1	50	9	1
lncRNA_156	Pocillopora_meandrina_HIv1___Sc0000000	14419579	14420297	+	719	3	4	14	1	0
lncRNA_157	Pocillopora_meandrina_HIv1___Sc0000000	14446075	14446590	+	516	0	5	24	10	2
lncRNA_158	Pocillopora_meandrina_HIv1___Sc0000000	14472313	14473475	+	1163	9	33	16	10	0
lncRNA_159	Pocillopora_meandrina_HIv1___Sc0000000	14487027	14487875	+	849	0	10	2	18	60
lncRNA_160	Pocillopora_meandrina_HIv1___Sc0000000	14514872	14516980	+	2109	12	3	145	13	12
lncRNA_161	Pocillopora_meandrina_HIv1___Sc0000000	14516089	14518328	+	2240	6	8	66	1	0
lncRNA_162	Pocillopora_meandrina_HIv1___Sc0000000	14530776	14532537	+	1762	1	11	16	42	70
lncRNA_163	Pocillopora_meandrina_HIv1___Sc0000000	14562746	14565939	+	3194	0	0	0	2	8
