# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/19-Apul-lncRNA-matrix/Apul-lncRNAs.gtf" "-o" "../output/19-Apul-lncRNA-matrix/Apul-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/07-Apul-Hisat/RNA-ACR-140.sorted.bam" "../output/07-Apul-Hisat/RNA-ACR-145.sorted.bam" "../output/07-Apul-Hisat/RNA-ACR-150.sorted.bam" "../output/07-Apul-Hisat/RNA-ACR-173.sorted.bam" "../output/07-Apul-Hisat/RNA-ACR-178.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/07-Apul-Hisat/RNA-ACR-140.sorted.bam	../output/07-Apul-Hisat/RNA-ACR-145.sorted.bam	../output/07-Apul-Hisat/RNA-ACR-150.sorted.bam	../output/07-Apul-Hisat/RNA-ACR-173.sorted.bam	../output/07-Apul-Hisat/RNA-ACR-178.sorted.bam
lncRNA_001	ntLink_0	84514	93551	+	9038	1	22	4	7	18
lncRNA_002	ntLink_0	15627	19151	+	3525	0	3	5	6	25
lncRNA_003	ntLink_0	23443	23874	+	432	0	0	0	0	0
lncRNA_004	ntLink_1	7484	9525	+	2042	1	0	0	0	0
lncRNA_005	ntLink_1	51265	51766	+	502	20	0	4	0	147
lncRNA_006	ntLink_2	217051	217761	+	711	16	4	13	6	28
lncRNA_007	ntLink_2	330551	331392	+	842	12	53	0	6	17
lncRNA_008	ntLink_3	56721	62176	+	5456	3	0	5	2	8
lncRNA_009	ntLink_3	76352	81676	+	5325	0	0	3	0	1
lncRNA_010	ntLink_3	95705	100623	+	4919	1	0	2	0	1
lncRNA_011	ntLink_3	115611	120137	+	4527	0	0	3	0	2
lncRNA_012	ntLink_3	39723	40230	+	508	0	0	0	0	135
lncRNA_013	ntLink_3	40767	41120	+	354	0	0	0	0	0
lncRNA_014	ntLink_4	77170	82052	+	4883	1	0	0	0	4
lncRNA_015	ntLink_4	78045	82451	+	4407	0	0	0	0	5
lncRNA_016	ntLink_4	152869	157343	+	4475	2	1	0	0	14
lncRNA_017	ntLink_4	205719	210236	+	4518	11	9	20	0	1801
lncRNA_018	ntLink_4	238915	239578	+	664	1	0	8	7	14
lncRNA_019	ntLink_4	279654	284300	+	4647	0	0	0	0	0
lncRNA_020	ntLink_4	279654	288352	+	8699	0	0	0	0	0
lncRNA_021	ntLink_4	283774	292426	+	8653	1	0	2	0	6
lncRNA_022	ntLink_4	291845	300550	+	8706	0	0	0	0	0
lncRNA_023	ntLink_4	291906	296750	+	4845	0	0	0	0	0
lncRNA_024	ntLink_4	295980	300550	+	4571	0	0	0	0	0
lncRNA_025	ntLink_4	42727	42956	+	230	0	0	0	0	0
lncRNA_026	ntLink_6	191350	193228	+	1879	0	0	0	0	0
lncRNA_027	ntLink_6	191351	193228	+	1878	0	0	0	0	0
lncRNA_028	ntLink_6	887022	888774	+	1753	30	6	44	6	20
lncRNA_029	ntLink_6	1001963	1008241	+	6279	1397	953	1069	1222	1178
lncRNA_030	ntLink_6	1112686	1115150	+	2465	15	1066	241	22	254
lncRNA_031	ntLink_6	1169354	1171465	+	2112	85	0	0	36	0
lncRNA_032	ntLink_6	1298279	1299686	+	1408	46	49	285	127	91
lncRNA_033	ntLink_6	1331780	1332057	+	278	0	0	18	0	0
lncRNA_034	ntLink_6	1556695	1558178	+	1484	1779	1421	736	1998	1615
lncRNA_035	ntLink_6	1760033	1761189	+	1157	98	13	67	271	52
lncRNA_036	ntLink_6	2344445	2346508	+	2064	169	286	75	173	132
lncRNA_037	ntLink_6	3021292	3023864	+	2573	5574	6622	3863	3351	3176
lncRNA_038	ntLink_6	3333657	3335439	+	1783	210	61	52	208	117
lncRNA_039	ntLink_6	3664564	3664975	+	412	1	12	34	1	2
lncRNA_040	ntLink_6	3732719	3736180	+	3462	1214	1070	675	834	933
lncRNA_041	ntLink_6	3902454	3904097	+	1644	302	234	399	889	333
lncRNA_042	ntLink_6	4200603	4200879	+	277	1	6	20	5	3
lncRNA_043	ntLink_6	4639500	4728341	+	88842	5	0	0	0	0
lncRNA_044	ntLink_6	4640625	4728341	+	87717	0	0	0	0	0
lncRNA_045	ntLink_6	4876495	4879026	+	2532	80	2	0	0	1
lncRNA_046	ntLink_6	4934722	4936246	+	1525	0	0	33	0	0
lncRNA_047	ntLink_6	4935131	4936246	+	1116	0	0	0	0	0
lncRNA_048	ntLink_6	4983264	4986098	+	2835	38	4	32	38	24
lncRNA_049	ntLink_6	5056294	5057086	+	793	618	378	293	471	446
lncRNA_050	ntLink_6	5264577	5268941	+	4365	91	87	123	26	163
lncRNA_051	ntLink_6	5539143	5539663	+	521	68	0	0	5	4
lncRNA_052	ntLink_6	5907826	5908425	+	600	109	190	50	0	2
lncRNA_053	ntLink_6	5946507	5949059	+	2553	2334	1840	1072	1475	2121
lncRNA_054	ntLink_6	6012589	6015271	+	2683	6371	6687	4046	3429	2287
lncRNA_055	ntLink_6	6118655	6120984	+	2330	3119	3293	1774	1979	624
lncRNA_056	ntLink_6	6296497	6324890	+	28394	1069	825	417	812	1416
lncRNA_057	ntLink_6	7084722	7086726	+	2005	3309	3353	1844	2037	1620
lncRNA_058	ntLink_6	7095664	7097165	+	1502	43	19	27	0	28
lncRNA_059	ntLink_6	7183058	7184097	+	1040	436	230	383	978	1200
lncRNA_060	ntLink_6	7352370	7354751	+	2382	46	36	172	139	138
lncRNA_061	ntLink_6	7432116	7432671	+	556	0	0	0	0	0
lncRNA_062	ntLink_6	7465722	7467150	+	1429	0	0	0	0	0
lncRNA_063	ntLink_6	7465722	7467150	+	1429	0	0	0	0	0
lncRNA_064	ntLink_6	7490730	7509930	+	19201	0	0	0	0	12
lncRNA_065	ntLink_6	7490782	7509930	+	19149	0	0	0	0	0
lncRNA_066	ntLink_6	7491247	7493377	+	2131	0	0	0	0	0
lncRNA_067	ntLink_6	7534719	7551215	+	16497	0	0	0	0	0
lncRNA_068	ntLink_6	7543811	7551215	+	7405	0	0	0	0	0
lncRNA_069	ntLink_6	7543968	7551215	+	7248	0	0	0	0	0
lncRNA_070	ntLink_6	7544214	7551215	+	7002	0	0	0	0	0
lncRNA_071	ntLink_6	7548691	7551215	+	2525	0	0	0	0	0
lncRNA_072	ntLink_6	7548691	7551215	+	2525	0	0	0	0	0
lncRNA_073	ntLink_6	7982426	7985761	+	3336	12	58	15	8	64
lncRNA_074	ntLink_6	7958931	7960033	+	1103	29	34	9	47	39
lncRNA_075	ntLink_6	7985979	7989131	+	3153	2869	5576	1427	1585	793
lncRNA_076	ntLink_6	8611528	8612434	+	907	0	3	17	1	89
lncRNA_077	ntLink_6	8926292	8927205	+	914	17	0	15	22	0
lncRNA_078	ntLink_6	8959736	8961696	+	1961	239	66	2	17	522
lncRNA_079	ntLink_6	9559724	9563720	+	3997	2	0	0	0	8
lncRNA_080	ntLink_6	9559991	9569239	+	9249	0	0	0	0	0
lncRNA_081	ntLink_6	9559991	9569239	+	9249	0	0	0	0	0
lncRNA_082	ntLink_6	9559993	9569239	+	9247	0	0	0	0	0
lncRNA_083	ntLink_6	9559993	9569239	+	9247	0	0	0	0	0
lncRNA_084	ntLink_6	9560004	9569239	+	9236	0	0	0	0	0
