Orthogroup	Apulchra-genome.pep	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep
OG0023124	FUN_000036-T1		
OG0023125	FUN_000037-T1		
OG0023126	FUN_000040-T1		
OG0023127	FUN_000043-T1		
OG0023128	FUN_000046-T1		
OG0023129	FUN_000047-T1		
OG0023130	FUN_000048-T1		
OG0023131	FUN_000050-T1		
OG0023132	FUN_000052-T1		
OG0023133	FUN_000054-T1		
OG0023134	FUN_000056-T1		
OG0023135	FUN_000058-T1		
OG0023136	FUN_000060-T1		
OG0023137	FUN_000062-T1		
OG0023138	FUN_000064-T1		
OG0023139	FUN_000065-T1		
OG0023140	FUN_000066-T1		
OG0023141	FUN_000068-T1		
OG0023142	FUN_000069-T1		
OG0023143	FUN_000070-T1		
OG0023144	FUN_000071-T1		
OG0023145	FUN_000072-T1		
OG0023146	FUN_000073-T1		
OG0023147	FUN_000076-T1		
OG0023148	FUN_000078-T1		
OG0023149	FUN_000079-T1		
OG0023150	FUN_000080-T1		
OG0023151	FUN_000081-T1		
OG0023152	FUN_000082-T1		
OG0023153	FUN_000083-T1		
OG0023154	FUN_000085-T1		
OG0023155	FUN_000087-T1		
OG0023156	FUN_000089-T1		
OG0023157	FUN_000091-T1		
OG0023158	FUN_000093-T1		
OG0023159	FUN_000095-T1		
OG0023160	FUN_000097-T1		
OG0023161	FUN_000099-T1		
OG0023162	FUN_000101-T1		
OG0023163	FUN_000103-T1		
OG0023164	FUN_000104-T1		
OG0023165	FUN_000105-T1		
OG0023166	FUN_000106-T1		
OG0023167	FUN_000109-T1		
OG0023168	FUN_000111-T1		
OG0023169	FUN_000112-T1		
OG0023170	FUN_000113-T1		
OG0023171	FUN_000114-T1		
OG0023172	FUN_000116-T1		
OG0023173	FUN_000118-T1		
OG0023174	FUN_000120-T1		
OG0023175	FUN_000121-T1		
OG0023176	FUN_000122-T1		
OG0023177	FUN_000124-T1		
OG0023178	FUN_000126-T1		
OG0023179	FUN_000128-T1		
OG0023180	FUN_000130-T1		
OG0023181	FUN_000131-T1		
OG0023182	FUN_000132-T1		
OG0023183	FUN_000135-T1		
OG0023184	FUN_000138-T1		
OG0023185	FUN_000139-T1		
OG0023186	FUN_000140-T1		
OG0023187	FUN_000141-T1		
OG0023188	FUN_000142-T1		
OG0023189	FUN_000144-T1		
OG0023190	FUN_000145-T1		
OG0023191	FUN_000146-T1		
OG0023192	FUN_000147-T1		
OG0023193	FUN_000148-T1		
OG0023194	FUN_000152-T1		
OG0023195	FUN_000154-T1		
OG0023196	FUN_000156-T1		
OG0023197	FUN_000158-T1		
OG0023198	FUN_000160-T1		
OG0023199	FUN_000162-T1		
OG0023200	FUN_000164-T1		
OG0023201	FUN_000166-T1		
OG0023202	FUN_000168-T1		
OG0023203	FUN_000170-T1		
OG0023204	FUN_000172-T1		
OG0023205	FUN_000174-T1		
OG0023206	FUN_000176-T1		
OG0023207	FUN_000178-T1		
OG0023208	FUN_000180-T1		
OG0023209	FUN_000183-T1		
OG0023210	FUN_000184-T1		
OG0023211	FUN_000187-T1		
OG0023212	FUN_000188-T1		
OG0023213	FUN_000191-T2		
OG0023214	FUN_000196-T1		
OG0023215	FUN_000207-T1		
OG0023216	FUN_000225-T1		
OG0023217	FUN_000234-T1		
OG0023218	FUN_000235-T1		
OG0023219	FUN_000242-T1		
OG0023220	FUN_000246-T1		
OG0023221	FUN_000247-T1		
OG0023222	FUN_000253-T1		
OG0023223	FUN_000254-T1		
OG0023224	FUN_000262-T1		
OG0023225	FUN_000267-T1		
OG0023226	FUN_000275-T1		
OG0023227	FUN_000278-T1		
OG0023228	FUN_000306-T1		
OG0023229	FUN_000323-T3		
OG0023230	FUN_000324-T1		
OG0023231	FUN_000329-T2		
OG0023232	FUN_000332-T1		
OG0023233	FUN_000342-T1		
OG0023234	FUN_000346-T1		
OG0023235	FUN_000349-T1		
OG0023236	FUN_000359-T1		
OG0023237	FUN_000370-T1		
OG0023238	FUN_000376-T1		
OG0023239	FUN_000379-T1		
OG0023240	FUN_000380-T1		
OG0023241	FUN_000381-T1		
OG0023242	FUN_000382-T1		
OG0023243	FUN_000383-T1		
OG0023244	FUN_000385-T1		
OG0023245	FUN_000388-T1		
OG0023246	FUN_000389-T1		
OG0023247	FUN_000396-T2		
OG0023248	FUN_000400-T1		
OG0023249	FUN_000410-T1		
OG0023250	FUN_000412-T1		
OG0023251	FUN_000419-T1		
OG0023252	FUN_000443-T1		
OG0023253	FUN_000444-T1		
OG0023254	FUN_000446-T1		
OG0023255	FUN_000452-T1		
OG0023256	FUN_000472-T1		
OG0023257	FUN_000475-T1		
OG0023258	FUN_000476-T1		
OG0023259	FUN_000479-T1		
OG0023260	FUN_000485-T1		
OG0023261	FUN_000486-T1		
OG0023262	FUN_000491-T1		
OG0023263	FUN_000495-T1		
OG0023264	FUN_000528-T1		
OG0023265	FUN_000530-T1		
OG0023266	FUN_000543-T1		
OG0023267	FUN_000546-T1		
OG0023268	FUN_000551-T1		
OG0023269	FUN_000557-T1		
OG0023270	FUN_000558-T1		
OG0023271	FUN_000561-T1		
