Orthogroup	Apulchra-genome.pep	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep	Total
OG0000000	134	0	0	134
OG0000001	117	1	0	118
OG0000002	1	0	115	116
OG0000003	114	0	0	114
OG0000004	99	0	0	99
OG0000005	0	1	87	88
OG0000006	2	83	0	85
OG0000007	0	1	83	84
OG0000008	83	0	0	83
OG0000009	82	0	0	82
OG0000010	81	0	0	81
OG0000011	81	0	0	81
OG0000012	2	0	77	79
OG0000013	75	1	1	77
OG0000014	1	0	74	75
OG0000015	74	0	0	74
OG0000016	72	0	0	72
OG0000017	67	1	2	70
OG0000018	1	0	69	70
OG0000019	64	0	0	64
OG0000020	63	0	0	63
OG0000021	62	0	0	62
OG0000022	0	1	61	62
OG0000023	61	0	0	61
OG0000024	60	0	0	60
OG0000025	60	0	0	60
OG0000026	58	0	1	59
OG0000027	34	2	22	58
OG0000028	58	0	0	58
OG0000029	0	0	58	58
OG0000030	54	0	0	54
OG0000031	52	1	0	53
OG0000032	0	0	53	53
OG0000033	52	0	0	52
OG0000034	51	0	0	51
OG0000035	51	0	0	51
OG0000036	50	0	0	50
OG0000037	49	0	0	49
OG0000038	0	0	48	48
OG0000039	47	0	0	47
OG0000040	1	3	43	47
OG0000041	0	1	46	47
OG0000042	42	1	3	46
OG0000043	45	0	1	46
OG0000044	46	0	0	46
OG0000045	0	2	44	46
OG0000046	44	0	0	44
OG0000047	38	1	5	44
OG0000048	4	0	39	43
OG0000049	9	1	33	43
OG0000050	43	0	0	43
OG0000051	1	0	42	43
OG0000052	42	0	0	42
OG0000053	41	1	0	42
OG0000054	0	2	40	42
OG0000055	0	0	42	42
OG0000056	0	0	42	42
OG0000057	0	0	42	42
OG0000058	0	0	42	42
OG0000059	38	0	3	41
OG0000060	0	0	41	41
OG0000061	40	0	0	40
OG0000062	40	0	0	40
OG0000063	1	0	39	40
OG0000064	2	3	35	40
OG0000065	0	0	40	40
OG0000066	37	0	2	39
OG0000067	38	0	0	38
OG0000068	38	0	0	38
OG0000069	0	1	37	38
