"","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1",5,"Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g22310.t1",-0.947470580577219,0.0143379108408858,0.674410729954476,156,-21.25,"2 19","1 19",17,"76.47%","82.35%"
"2",20,"Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g25291.t1",-0.947885623670125,0.0141692154004804,0.674410729954476,159,-20.09,"2 21","843 865",20,"70.00%","80.00%"
"3",39,"Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g10347.t1",-0.981685694822282,0.00296703624850726,0.667107103030161,161,-21.71,"2 22","912 934",20,"65.00%","80.00%"
"4",101,"Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","180 201",18,"88.89%","88.89%"
"5",102,"Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","300 321",18,"88.89%","88.89%"
"6",103,"Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","420 441",18,"88.89%","88.89%"
"7",104,"Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","540 561",18,"88.89%","88.89%"
"8",105,"Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","60 81",18,"88.89%","88.89%"
"9",106,"Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","780 801",18,"88.89%","88.89%"
"10",107,"Cluster_5253","Pocillopora_meandrina_HIv1___TS.g821.t1",0.947557351451081,0.0143025887628351,0.674410729954476,179,-21.73,"2 20","900 921",18,"88.89%","88.89%"
"11",110,"Cluster_1793","Pocillopora_meandrina_HIv1___RNAseq.g26466.t1",-0.945332798083424,0.0152170504007,0.674410729954476,155,-20.66,"2 20","548 566",18,"77.78%","83.33%"
"12",131,"Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g14977.t1",-0.893222380847292,0.0412072014052566,0.765459130560602,162,-22.12,"2 20","88 110",19,"73.68%","84.21%"
"13",149,"Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g18208.t1",-0.987781180181153,0.00161837872676055,0.667107103030161,150,-22.2,"2 11","94 115",9,"100.00%","100.00%"
"14",160,"Cluster_5612","Pocillopora_meandrina_HIv1___RNAseq.g20733.t1",0.965837666525896,0.00754079408094521,0.667107103030161,162,-20.42,"2 19","249 269",17,"76.47%","82.35%"
"15",177,"Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g627.t1b",-0.981986205789269,0.00289444080290838,0.667107103030161,160,-20.15,"2 17","49 71",15,"73.33%","93.33%"
"16",194,"Cluster_2973","Pocillopora_meandrina_HIv1___TS.g5059.t2",-0.948228376602944,0.0140303943154318,0.674410729954476,165,-23.5,"2 20","500 520",18,"77.78%","88.89%"
