"","mRNA","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0006591","ornithine metabolic process",6,1,0,0.0031,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"2","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0006637","acyl-CoA metabolic process",55,1,0.03,0.0284,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"3","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0006805","xenobiotic metabolic process",84,1,0.04,0.0431,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"4","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0007164","establishment of tissue polarity",46,1,0.02,0.0238,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"5","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0007596","blood coagulation",76,1,0.04,0.039,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"6","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0010470","regulation of gastrulation",5,1,0,0.0026,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"7","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0023019","signal transduction involved in regulation of gene ...",14,1,0.01,0.0073,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"8","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0030308","negative regulation of cell growth",90,1,0.05,0.0461,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"9","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0030336","negative regulation of cell migration",81,1,0.04,0.0415,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"10","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0032534","regulation of microvillus assembly",4,1,0,0.0021,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"11","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0035983","response to trichostatin A",4,1,0,0.0021,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"12","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0042308","negative regulation of protein import into nucleus",7,1,0,0.0036,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"13","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0042532","negative regulation of tyrosine phosphorylation of ...",28,1,0.01,0.0145,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"14","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0042632","cholesterol homeostasis",37,1,0.02,0.0192,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"15","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0042752","regulation of circadian rhythm",93,1,0.05,0.0476,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"16","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0045722","positive regulation of gluconeogenesis",9,1,0,0.0047,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"17","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0045723","positive regulation of fatty acid biosynthetic proc...",5,1,0,0.0026,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"18","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0055091","phospholipid homeostasis",7,1,0,0.0036,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"19","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0060395","SMAD protein signal transduction",33,1,0.02,0.0171,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"20","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0070328","triglyceride homeostasis",8,1,0,0.0042,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
