"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Cluster_1296","Pocillopora_meandrina_HIv1___RNAseq.g10047.t1",0.270299318914285,0.66008215780517,0.978631434746383,143,-21.19,"2 17","685 707",16,"68.75%","75.00%"
"2","Cluster_757","Pocillopora_meandrina_HIv1___TS.g16579.t1",-0.438772488543158,0.459820260326107,0.97024921967979,155,-23.52,"2 21","417 434",19,"73.68%","78.95%"
"3","Cluster_4823","Pocillopora_meandrina_HIv1___RNAseq.g6291.t1",-0.351985765410856,0.561271986315343,0.97412091457539,152,-21.26,"2 21","6 27",19,"63.16%","73.68%"
"4","Cluster_925","Pocillopora_meandrina_HIv1___RNAseq.g22310.t1",-0.396120915342856,0.509162412119862,0.973552982047016,162,-21.53,"2 20","521 544",20,"75.00%","80.00%"
"5","Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g22310.t1",-0.947470580577219,0.0143379108408858,0.674410729954476,156,-21.25,"2 19","1 19",17,"76.47%","82.35%"
"6","Cluster_1015","Pocillopora_meandrina_HIv1___TS.g1125.t1",0.0716615932800143,0.908835779968447,0.997517921064577,162,-24.89,"2 21","790 815",23,"73.91%","78.26%"
"7","Cluster_2837","Pocillopora_meandrina_HIv1___RNAseq.16918_t",0.433299356656603,0.46609150259387,0.97024921967979,160,-24.83,"2 21","606 624",19,"73.68%","84.21%"
"8","Cluster_1015","Pocillopora_meandrina_HIv1___RNAseq.g2499.t1",0.563552832578883,0.322496446825643,0.957861852051684,157,-20.5,"2 18","152 173",16,"75.00%","81.25%"
"9","Cluster_4040","Pocillopora_meandrina_HIv1___RNAseq.g28426.t1",-0.54781843815268,0.339151916041997,0.963617152970834,159,-23.68,"2 20","602 623",18,"66.67%","83.33%"
"10","Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g8983.t1",-0.80898261746785,0.0972950369617602,0.849622387229677,143,-20.02,"2 17","653 679",20,"65.00%","70.00%"
"11","Cluster_4439","Pocillopora_meandrina_HIv1___RNAseq.g8983.t1",-0.0918085627005339,0.883270129010063,0.996747583939503,158,-22.49,"2 19","27 48",17,"76.47%","76.47%"
"12","Cluster_4040","Pocillopora_meandrina_HIv1___TS.g22767.t1a",0.346625949710687,0.567666432728768,0.975095755436566,158,-20.21,"2 21","590 613",21,"71.43%","80.95%"
"13","Cluster_360","Pocillopora_meandrina_HIv1___RNAseq.g17722.t1",-0.295368388635023,0.629467458613076,0.977982859683049,146,-20.46,"2 21","235 260",23,"65.22%","69.57%"
"14","Cluster_4823","Pocillopora_meandrina_HIv1___RNAseq.g811.t1",-0.544219339081172,0.342991018776531,0.963617152970834,163,-20.27,"2 21","954 976",20,"75.00%","80.00%"
"15","Cluster_4439","Pocillopora_meandrina_HIv1___RNAseq.g24720.t1",-0.762016998798653,0.134278806477858,0.876805058669263,147,-22.65,"2 12","17 38",10,"90.00%","90.00%"
"16","Cluster_5612","Pocillopora_meandrina_HIv1___RNAseq.g18620.t1",-0.429711982351175,0.470211966036101,0.97024921967979,158,-22.97,"2 19","452 472",17,"70.59%","82.35%"
"17","Cluster_4439","Pocillopora_meandrina_HIv1___RNAseq.g24722.t1",0.21249810298673,0.731489248384738,0.983488024952819,147,-22.65,"2 12","17 38",10,"90.00%","90.00%"
"18","Cluster_390","Pocillopora_meandrina_HIv1___RNAseq.g30375.t1",-0.658418876847452,0.226967777184273,0.926947473179405,176,-20.27,"2 21","772 793",19,"78.95%","89.47%"
"19","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g7705.t1",-0.721886476538526,0.168524744703725,0.89249276095641,155,-21.63,"2 22","674 699",23,"65.22%","78.26%"
