"","mRNA","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Pocillopora_meandrina_HIv1___RNAseq.9756_t","GO:0008285","negative regulation of cell population proliferatio...",320,4,1.22,0.0334,"Biological Processes",1771,"Cluster_1938",-0.892276109883152,0.0417500415514484,0.767292921933455,164,-22.63,"2 22","27 51",22,"68.18%","81.82%"
"2","Pocillopora_meandrina_HIv1___RNAseq.g10347.t1","GO:0140576","ascorbate homeostasis",3,1,0.01,0.0114,"Biological Processes",39,"Cluster_1938",-0.981685694822283,0.00296703624850707,0.667107103030148,161,-21.71,"2 22","912 934",20,"65.00%","80.00%"
"3","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0006591","ornithine metabolic process",6,1,0.02,0.0228,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"4","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0007548","sex differentiation",155,3,0.59,0.0364,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"5","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0008285","negative regulation of cell population proliferatio...",320,4,1.22,0.0334,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"6","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0010470","regulation of gastrulation",5,1,0.02,0.019,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"7","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0032534","regulation of microvillus assembly",4,1,0.02,0.0152,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"8","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0035983","response to trichostatin A",4,1,0.02,0.0152,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"9","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0042308","negative regulation of protein import into nucleus",7,1,0.03,0.0265,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"10","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0042632","cholesterol homeostasis",37,2,0.14,0.0088,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"11","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","GO:0042752","regulation of circadian rhythm",93,3,0.36,0.0312,"Biological Processes",2244,"Cluster_2973",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
