"","mRNA","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Pocillopora_meandrina_HIv1___RNAseq.g10366.t1","GO:0030322","stabilization of membrane potential",16,1,0.01,0.0138,"Biological Processes",2691,"Cluster_4039",0.0261667542109762,0.966687256139586,0.999610930147471,163,-20.06,"2 21","494 517",21,"66.67%","85.71%"
"2","Pocillopora_meandrina_HIv1___RNAseq.g10366.t1","GO:0051481","negative regulation of cytosolic calcium ion concen...",10,1,0.01,0.0087,"Biological Processes",2691,"Cluster_4039",0.0261667542109762,0.966687256139586,0.999610930147471,163,-20.06,"2 21","494 517",21,"66.67%","85.71%"
"3","Pocillopora_meandrina_HIv1___RNAseq.g10366.t1","GO:0060075","regulation of resting membrane potential",6,1,0.01,0.0052,"Biological Processes",2691,"Cluster_4039",0.0261667542109762,0.966687256139586,0.999610930147471,163,-20.06,"2 21","494 517",21,"66.67%","85.71%"
"4","Pocillopora_meandrina_HIv1___RNAseq.g10366.t1","GO:0071294","cellular response to zinc ion",24,1,0.02,0.0207,"Biological Processes",2691,"Cluster_4039",0.0261667542109762,0.966687256139586,0.999610930147471,163,-20.06,"2 21","494 517",21,"66.67%","85.71%"
"5","Pocillopora_meandrina_HIv1___RNAseq.g10366.t1","GO:0090102","cochlea development",48,1,0.04,0.041,"Biological Processes",2691,"Cluster_4039",0.0261667542109762,0.966687256139586,0.999610930147471,163,-20.06,"2 21","494 517",21,"66.67%","85.71%"
"6","Pocillopora_meandrina_HIv1___RNAseq.g10366.t1","GO:1903818","positive regulation of voltage-gated potassium chan...",19,1,0.02,0.0164,"Biological Processes",2691,"Cluster_4039",0.0261667542109762,0.966687256139586,0.999610930147471,163,-20.06,"2 21","494 517",21,"66.67%","85.71%"
"7","Pocillopora_meandrina_HIv1___RNAseq.g15106.t3","GO:0110025","DNA strand resection involved in replication fork p...",3,1,0,0.0026,"Biological Processes",1228,"Cluster_4039",0.358276515477016,0.553784466629985,0.973839008969298,170,-20.09,"2 20","845 867",19,"78.95%","89.47%"
"8","Pocillopora_meandrina_HIv1___RNAseq.g15689.t1","GO:0002024","diet induced thermogenesis",10,1,0.01,0.0087,"Biological Processes",142,"Cluster_4039",0.48091902999186,0.412173570520468,0.969384112656503,182,-25.97,"2 21","855 875",19,"89.47%","94.74%"
"9","Pocillopora_meandrina_HIv1___RNAseq.g15689.t1","GO:0006622","protein targeting to lysosome",23,1,0.02,0.0198,"Biological Processes",142,"Cluster_4039",0.48091902999186,0.412173570520468,0.969384112656503,182,-25.97,"2 21","855 875",19,"89.47%","94.74%"
"10","Pocillopora_meandrina_HIv1___RNAseq.g15689.t1","GO:0010897","negative regulation of triglyceride catabolic proce...",3,1,0,0.0026,"Biological Processes",142,"Cluster_4039",0.48091902999186,0.412173570520468,0.969384112656503,182,-25.97,"2 21","855 875",19,"89.47%","94.74%"
"11","Pocillopora_meandrina_HIv1___RNAseq.g15689.t1","GO:0014910","regulation of smooth muscle cell migration",19,1,0.02,0.0164,"Biological Processes",142,"Cluster_4039",0.48091902999186,0.412173570520468,0.969384112656503,182,-25.97,"2 21","855 875",19,"89.47%","94.74%"
"12","Pocillopora_meandrina_HIv1___RNAseq.g15689.t1","GO:0030514","negative regulation of BMP signaling pathway",27,1,0.02,0.0232,"Biological Processes",142,"Cluster_4039",0.48091902999186,0.412173570520468,0.969384112656503,182,-25.97,"2 21","855 875",19,"89.47%","94.74%"
"13","Pocillopora_meandrina_HIv1___RNAseq.g15689.t1","GO:0032091","negative regulation of protein binding",37,1,0.03,0.0317,"Biological Processes",142,"Cluster_4039",0.48091902999186,0.412173570520468,0.969384112656503,182,-25.97,"2 21","855 875",19,"89.47%","94.74%"
"14","Pocillopora_meandrina_HIv1___RNAseq.g15689.t1","GO:0038020","insulin receptor recycling",3,1,0,0.0026,"Biological Processes",142,"Cluster_4039",0.48091902999186,0.412173570520468,0.969384112656503,182,-25.97,"2 21","855 875",19,"89.47%","94.74%"
