"qseqid" "sseqid" "pident" "length" "mismatch" "gapopen" "qstart" "qend" "sstart" "send" "evalue" "bitscore"
"1" "transcript::Pocillopora_meandrina_HIv1___Sc0000000:20369328-20376434" "Cluster_360::Pocillopora_meandrina_HIv1___Sc0000000:20372416-20372510(-)" 100 95 0 0 3088 3182 95 1 2.44e-45 172
"2" "transcript::Pocillopora_meandrina_HIv1___Sc0000000:20369596-20376434" "Cluster_360::Pocillopora_meandrina_HIv1___Sc0000000:20372416-20372510(-)" 100 95 0 0 2820 2914 95 1 2.35e-45 172
"3" "transcript::Pocillopora_meandrina_HIv1___Sc0000002:16098946-16109961" "Cluster_1080::Pocillopora_meandrina_HIv1___Sc0000002:16106559-16106650(+)" 100 92 0 0 7613 7704 1 92 1.55e-43 167
"4" "transcript::Pocillopora_meandrina_HIv1___Sc0000002:16098969-16109961" "Cluster_1080::Pocillopora_meandrina_HIv1___Sc0000002:16106559-16106650(+)" 100 92 0 0 7590 7681 1 92 1.55e-43 167
"5" "transcript::Pocillopora_meandrina_HIv1___Sc0000002:10843224-10849334" "Cluster_1015::Pocillopora_meandrina_HIv1___Sc0000002:10845722-10845816(-)" 100 95 0 0 2498 2592 95 1 2.1e-45 172
"6" "transcript::Pocillopora_meandrina_HIv1___Sc0000002:10843224-10850210" "Cluster_1015::Pocillopora_meandrina_HIv1___Sc0000002:10845722-10845816(-)" 100 95 0 0 2498 2592 95 1 2.4e-45 172
"7" "transcript::Pocillopora_meandrina_HIv1___Sc0000002:10843224-10850210" "Cluster_1015::Pocillopora_meandrina_HIv1___Sc0000002:10845722-10845816(-)" 100 95 0 0 2498 2592 95 1 2.4e-45 172
"8" "transcript::Pocillopora_meandrina_HIv1___Sc0000002:10843230-10850210" "Cluster_1015::Pocillopora_meandrina_HIv1___Sc0000002:10845722-10845816(-)" 100 95 0 0 2492 2586 95 1 2.4e-45 172
"9" "transcript::Pocillopora_meandrina_HIv1___Sc0000002:10843249-10850210" "Cluster_1015::Pocillopora_meandrina_HIv1___Sc0000002:10845722-10845816(-)" 100 95 0 0 2473 2567 95 1 2.39e-45 172
"10" "transcript::Pocillopora_meandrina_HIv1___Sc0000002:10843912-10850210" "Cluster_1015::Pocillopora_meandrina_HIv1___Sc0000002:10845722-10845816(-)" 100 95 0 0 1810 1904 95 1 2.16e-45 172
"11" "transcript::Pocillopora_meandrina_HIv1___Sc0000002:15745570-15749355" "Cluster_1068::Pocillopora_meandrina_HIv1___Sc0000002:15749261-15749351(+)" 100 91 0 0 3691 3781 1 91 1.99e-43 165
"12" "transcript::Pocillopora_meandrina_HIv1___Sc0000002:16103323-16107320" "Cluster_1080::Pocillopora_meandrina_HIv1___Sc0000002:16106559-16106650(+)" 100 92 0 0 3236 3327 1 92 6.03e-44 167
"13" "transcript::Pocillopora_meandrina_HIv1___Sc0000005:10381740-10386428" "Cluster_1938::Pocillopora_meandrina_HIv1___Sc0000005:10385497-10385597(+)" 100 101 0 0 3757 3857 1 101 9.2e-49 183
"14" "transcript::Pocillopora_meandrina_HIv1___Sc0000005:11254225-11264779" "Cluster_1953::Pocillopora_meandrina_HIv1___Sc0000005:11261356-11261449(+)" 100 94 0 0 7131 7224 1 94 1.27e-44 170
"15" "transcript::Pocillopora_meandrina_HIv1___Sc0000005:11254225-11264779" "Cluster_1952::Pocillopora_meandrina_HIv1___Sc0000005:11260734-11260823(+)" 100 90 0 0 6509 6598 1 90 1.88e-42 163
"16" "transcript::Pocillopora_meandrina_HIv1___Sc0000005:11254225-11264779" "Cluster_1953::Pocillopora_meandrina_HIv1___Sc0000005:11261356-11261449(+)" 100 94 0 0 7131 7224 1 94 1.27e-44 170
"17" "transcript::Pocillopora_meandrina_HIv1___Sc0000005:11254225-11264779" "Cluster_1952::Pocillopora_meandrina_HIv1___Sc0000005:11260734-11260823(+)" 100 90 0 0 6509 6598 1 90 1.88e-42 163
"18" "transcript::Pocillopora_meandrina_HIv1___Sc0000005:11254234-11264779" "Cluster_1953::Pocillopora_meandrina_HIv1___Sc0000005:11261356-11261449(+)" 100 94 0 0 7122 7215 1 94 1.26e-44 170
"19" "transcript::Pocillopora_meandrina_HIv1___Sc0000005:11254234-11264779" "Cluster_1952::Pocillopora_meandrina_HIv1___Sc0000005:11260734-11260823(+)" 100 90 0 0 6500 6589 1 90 1.88e-42 163
"20" "transcript::Pocillopora_meandrina_HIv1___Sc0000005:11255611-11264779" "Cluster_1953::Pocillopora_meandrina_HIv1___Sc0000005:11261356-11261449(+)" 100 94 0 0 5745 5838 1 94 1.1e-44 170
"21" "transcript::Pocillopora_meandrina_HIv1___Sc0000005:11255611-11264779" "Cluster_1952::Pocillopora_meandrina_HIv1___Sc0000005:11260734-11260823(+)" 100 90 0 0 5123 5212 1 90 1.63e-42 163
"22" "transcript::Pocillopora_meandrina_HIv1___Sc0000005:11258006-11264779" "Cluster_1953::Pocillopora_meandrina_HIv1___Sc0000005:11261356-11261449(+)" 100 94 0 0 3350 3443 1 94 8.11e-45 170
"23" "transcript::Pocillopora_meandrina_HIv1___Sc0000005:11258006-11264779" "Cluster_1952::Pocillopora_meandrina_HIv1___Sc0000005:11260734-11260823(+)" 100 90 0 0 2728 2817 1 90 1.2e-42 163
"24" "transcript::Pocillopora_meandrina_HIv1___Sc0000008:1780853-1785411" "Cluster_2793::Pocillopora_meandrina_HIv1___Sc0000008:1783802-1783891(+)" 100 90 0 0 2949 3038 1 90 8.38e-43 163
"25" "transcript::Pocillopora_meandrina_HIv1___Sc0000008:1783244-1785411" "Cluster_2793::Pocillopora_meandrina_HIv1___Sc0000008:1783802-1783891(+)" 100 90 0 0 558 647 1 90 3.97e-43 163
"26" "transcript::Pocillopora_meandrina_HIv1___Sc0000008:3565328-3586776" "Cluster_2837::Pocillopora_meandrina_HIv1___Sc0000008:3576420-3576514(+)" 100 95 0 0 11092 11186 1 95 7.11e-45 172
"27" "transcript::Pocillopora_meandrina_HIv1___Sc0000008:3565450-3586776" "Cluster_2837::Pocillopora_meandrina_HIv1___Sc0000008:3576420-3576514(+)" 100 95 0 0 10970 11064 1 95 7.07e-45 172
"28" "transcript::Pocillopora_meandrina_HIv1___Sc0000008:3614527-3621648" "Cluster_2839::Pocillopora_meandrina_HIv1___Sc0000008:3619341-3619435(-)" 100 95 0 0 4814 4908 95 1 2.44e-45 172
"29" "transcript::Pocillopora_meandrina_HIv1___Sc0000008:5381562-5389641" "Cluster_2859::Pocillopora_meandrina_HIv1___Sc0000008:5387738-5387830(-)" 100 93 0 0 6176 6268 93 1 3.38e-44 168
