gene_name	GeneOntologyIDs
Peve_00000001	GO:0005576; GO:0006812; GO:0015267; GO:0042151; GO:0044218; GO:0046930; GO:0046931; GO:0051715; GO:0090729
Peve_00000002	GO:0001501; GO:0004197; GO:0004843; GO:0005634; GO:0005654; GO:0005829; GO:0006281; GO:0006282; GO:0006508; GO:0008233; GO:0009411; GO:0016579; GO:0035520; GO:0046427
Peve_00000003	GO:0003677; GO:0005654; GO:0006260; GO:0006261; GO:0006271; GO:0016035; GO:0042276; GO:0043625; GO:0071897
Peve_00000004	GO:0003779; GO:0005737; GO:0005829; GO:0005856
Peve_00000005	GO:0000165; GO:0001649; GO:0001934; GO:0002931; GO:0004674; GO:0004708; GO:0004713; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0006915; GO:0007165; GO:0009410; GO:0019901; GO:0022602; GO:0031098; GO:0032308; GO:0035872; GO:0038066; GO:0042770; GO:0042802; GO:0043065; GO:0043410; GO:0051403; GO:0051726; GO:0051770; GO:0060048; GO:0060348; GO:0072709; GO:0090398; GO:0106310; GO:0120163; GO:1901796
Peve_00000006	GO:0000122; GO:0000380; GO:0000381; GO:0000956; GO:0001837; GO:0003712; GO:0003723; GO:0003724; GO:0003730; GO:0005516; GO:0005524; GO:0005634; GO:0005681; GO:0005730; GO:0005737; GO:0006357; GO:0006606; GO:0007623; GO:0016607; GO:0016887; GO:0019899; GO:0030520; GO:0030521; GO:0043021; GO:0043517; GO:0045069; GO:0045445; GO:0045667; GO:0045893; GO:0048306; GO:0050681; GO:0060765; GO:0061614; GO:0072332; GO:1990841; GO:1990904; GO:2001014
Peve_00000007	GO:0005634; GO:0005737; GO:0006511; GO:0007613; GO:0008344; GO:0008418
Peve_00000008	GO:0005576; GO:0006812; GO:0015267; GO:0042151; GO:0042802; GO:0044218; GO:0046930; GO:0046931; GO:0051715; GO:0090729
Peve_00000009	GO:0004364; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006749; GO:0009407; GO:0009507; GO:0009629; GO:0019899; GO:0043295; GO:0048046; GO:2000030
Peve_00000011	GO:0005829; GO:0010906; GO:0018423; GO:0031333; GO:0032259; GO:0042981; GO:0090266
Peve_00000012	GO:0000132; GO:0000776; GO:0005737; GO:0005813; GO:0005819; GO:0005871; GO:0005874; GO:0007020; GO:0007059; GO:0007100; GO:0008017; GO:0010975; GO:0016477; GO:0032418; GO:0047496; GO:0051303; GO:0051642; GO:1900029
Peve_00000013	GO:0005576; GO:0006812; GO:0015267; GO:0042151; GO:0044218; GO:0046930; GO:0046931; GO:0051715; GO:0090729
Peve_00000015	GO:0000086; GO:0005737; GO:0005813; GO:0005814; GO:0005876; GO:0007020; GO:0007099; GO:0034451; GO:0045931; GO:0060271
Peve_00000017	GO:0000086; GO:0005737; GO:0005813; GO:0005814; GO:0005876; GO:0007020; GO:0007099; GO:0034451; GO:0045931; GO:0060271
Peve_00000018	GO:0005886; GO:0008502
Peve_00000019	GO:0004930; GO:0005886; GO:0007186; GO:0007193; GO:0007623; GO:0008502; GO:0042562; GO:0043025; GO:0043235; GO:0046676; GO:0097159
Peve_00000021	GO:0004993; GO:0005737; GO:0005768; GO:0005886; GO:0007186; GO:0007187; GO:0007188; GO:0007268; GO:0016020; GO:0030277; GO:0030425; GO:0030594; GO:0032098; GO:0045202; GO:0070254; GO:0099589; GO:0120056
Peve_00000022	GO:0002025; GO:0004941; GO:0005769; GO:0005794; GO:0005886; GO:0006940; GO:0043410; GO:0051380; GO:0071880; GO:1901098; GO:1904504
Peve_00000023	GO:0002025; GO:0004941; GO:0005769; GO:0005794; GO:0005886; GO:0045986; GO:0051380; GO:0071880; GO:1901098; GO:1904504
Peve_00000024	
Peve_00000025	GO:0000139; GO:0004402; GO:0004596; GO:0006334; GO:0006474; GO:0007059; GO:0008283; GO:0010485; GO:0017196; GO:0042803
Peve_00000028	GO:0003700; GO:0005634; GO:0043565
Peve_00000030	GO:0003700; GO:0005634; GO:0043565
Peve_00000032	GO:0001934; GO:0005634; GO:0005737; GO:0006974; GO:0008283; GO:0010212
Peve_00000033	GO:0000122; GO:0000978; GO:0000981; GO:0002062; GO:0005634; GO:0005737; GO:0007506; GO:0007507; GO:0014029; GO:0032332; GO:0043049; GO:0044389; GO:0045893; GO:0045944; GO:0048709; GO:0051216
Peve_00000035	GO:0005546; GO:0005634; GO:0005737; GO:0005813; GO:0005925; GO:0008154; GO:0015629; GO:0030239; GO:0045214; GO:0051014; GO:0051015; GO:0051016
Peve_00000036	GO:0001740; GO:0003677; GO:0005524; GO:0006302; GO:0009048; GO:0016887; GO:0035861; GO:0042803; GO:0043584; GO:0045739; GO:0051276; GO:2000042; GO:2001034
Peve_00000039	GO:0005576; GO:0006812; GO:0015267; GO:0042151; GO:0044218; GO:0046930; GO:0046931; GO:0051715; GO:0090729
Peve_00000040	GO:0005242; GO:0005886; GO:0006813; GO:0016020; GO:0034702; GO:0034765; GO:0051289; GO:1990573
Peve_00000041	GO:0005242; GO:0005886; GO:0009897; GO:0015467; GO:0030315; GO:0034765; GO:0071805; GO:0086089; GO:0086091; GO:0098914; GO:1990566; GO:1990573
