"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","V2","V3","V4.x","V5","V6","V7","V8","V9","V10","V11","PCC.cor","p_value","adjusted_p_value"
"1","Peve_00002586","GO:0000165","MAPK cascade",23,6,2.74,0.042,"Biological Processes",12187,"Cluster_796","Porites_evermani_scaffold_1151:42878-78226",152,-22.58,2,13,22485,22506,11,"90.91%","90.91%",0.898740270652305,0.288966974174018,0.978262075707395
"2","Peve_00002586","GO:0000165","MAPK cascade",23,6,2.74,0.042,"Biological Processes",12188,"Cluster_796","Porites_evermani_scaffold_1151:42878-78226",165,-24.35,2,18,17804,17825,16,"81.25%","87.50%",0.898740270652305,0.288966974174018,0.978262075707395
"3","Peve_00003099","GO:0000165","MAPK cascade",23,6,2.74,0.042,"Biological Processes",162,"Cluster_1167","Porites_evermani_scaffold_1184:86928-113868",156,-24.94,2,21,22156,22177,19,"63.16%","78.95%",0.998614570448091,0.0335148667827687,0.909359886114279
"4","Peve_00003272","GO:0000165","MAPK cascade",23,6,2.74,0.042,"Biological Processes",5981,"Cluster_2882","Porites_evermani_scaffold_1197:91158-108905",164,-22.32,2,17,8323,8344,15,"80.00%","93.33%",0.0688372031480256,0.956142191637656,0.999448381576871
"5","Peve_00003272","GO:0000165","MAPK cascade",23,6,2.74,0.042,"Biological Processes",9854,"Cluster_589","Porites_evermani_scaffold_1197:91158-108905",163,-22.98,2,21,13587,13609,20,"70.00%","85.00%",0.159680919674548,0.897906931664995,0.999448381576871
"6","Peve_00003663","GO:0000165","MAPK cascade",23,6,2.74,0.042,"Biological Processes",1870,"Cluster_2787","Porites_evermani_scaffold_122:123273-178557",154,-24.02,2,16,606,628,15,"73.33%","93.33%",0.863021367048661,0.337138517336151,0.978262075707395
"7","Peve_00004146","GO:0000281","mitotic cytokinesis",6,3,0.71,0.024,"Biological Processes",204,"Cluster_1167","Porites_evermani_scaffold_1254:25819-53277",147,-20.49,2,21,4633,4655,20,"65.00%","70.00%",0.434437437369234,0.713894416132506,0.979846999085961
"8","Peve_00005613","GO:0000165","MAPK cascade",23,6,2.74,0.042,"Biological Processes",8534,"Cluster_4080","Porites_evermani_scaffold_1358:41130-75391",162,-23.54,2,21,14445,14468,21,"76.19%","80.95%",0.270623439128483,0.825540350330436,0.995934364227446
"9","Peve_00006270","GO:0000165","MAPK cascade",23,6,2.74,0.042,"Biological Processes",2022,"Cluster_2787","Porites_evermani_scaffold_140:353054-374123",153,-23.11,2,19,20872,20896,20,"65.00%","80.00%",0.905730218242087,0.278646539550421,0.978262075707395
"10","Peve_00007814","GO:0000165","MAPK cascade",23,6,2.74,0.042,"Biological Processes",8583,"Cluster_4080","Porites_evermani_scaffold_1523:19443-49510",162,-20.33,2,20,22560,22582,19,"78.95%","78.95%",0.166257674212578,0.893663298771806,0.999448381576871
"11","Peve_00007979","GO:0000165","MAPK cascade",23,6,2.74,0.042,"Biological Processes",2140,"Cluster_2787","Porites_evermani_scaffold_154:365332-371578",156,-21.67,2,13,3072,3093,11,"90.91%","100.00%",0.85879900487355,0.342422205647317,0.978262075707395
"12","Peve_00008310","GO:0000281","mitotic cytokinesis",6,3,0.71,0.024,"Biological Processes",6113,"Cluster_2882","Porites_evermani_scaffold_1568:52056-57390",164,-21.46,2,18,4382,4404,17,"82.35%","88.24%",0.40865989301062,0.731992454027544,0.98504201133132
"13","Peve_00008668","GO:0000165","MAPK cascade",23,6,2.74,0.042,"Biological Processes",9450,"Cluster_4115","Porites_evermani_scaffold_1593:647-10232",158,-22.76,2,17,5688,5708,15,"86.67%","86.67%",0.783271532591398,0.427098915892661,0.978262075707395
"14","Peve_00008739","GO:0000165","MAPK cascade",23,6,2.74,0.042,"Biological Processes",409,"Cluster_1167","Porites_evermani_scaffold_16:587464-623012",140,-21.69,2,9,810,831,7,"100.00%","100.00%",0.615866543863316,0.577612089732255,0.978262075707395
"15","Peve_00008739","GO:0000165","MAPK cascade",23,6,2.74,0.042,"Biological Processes",4554,"Cluster_2854","Porites_evermani_scaffold_16:587464-623012",149,-24.42,2,20,22762,22787,22,"68.18%","72.73%",0.378784662750847,0.752684198085914,0.988219883885475
"16","Peve_00008779","GO:0000165","MAPK cascade",23,6,2.74,0.042,"Biological Processes",2179,"Cluster_2787","Porites_evermani_scaffold_16:143777-157979",162,-24.47,2,21,522,545,21,"71.43%","85.71%",0.412769813726076,0.729122785123645,0.984252212981261
