"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","V2","V3","V4.x","V5","V6","V7","V8","V9","V10","V11","PCC.cor","p_value","adjusted_p_value"
"1","Peve_00000226","GO:0006886","intracellular protein transport",1,1,0.02,0.02,"Biological Processes",68,"Cluster_1167","Porites_evermani_scaffold_100:248550-275221",147,-21.83,2,17,25698,25722,18,"72.22%","72.22%",0.999909726776791,0.00855416971793389,0.573710369894872
"2","Peve_00013797","GO:0006886","intracellular protein transport",1,1,0.02,0.02,"Biological Processes",9531,"Cluster_4115","Porites_evermani_scaffold_2021:61756-78817",148,-20.68,2,17,12268,12289,15,"66.67%","80.00%",0.997419073679286,0.0457484490353859,0.933976570634822
"3","Peve_00017626","GO:0002027","regulation of heart rate",2,1,0.04,0.039,"Biological Processes",695,"Cluster_1167","Porites_evermani_scaffold_2414:48059-55873",154,-22.16,2,19,7281,7302,17,"70.59%","76.47%",0.999909726776791,0.00855416971793915,0.573710369894872
"4","Peve_00019614","GO:0002027","regulation of heart rate",2,1,0.04,0.039,"Biological Processes",771,"Cluster_1167","Porites_evermani_scaffold_2649:9720-38474",154,-22.16,2,19,21890,21911,17,"70.59%","76.47%",0.999909726776791,0.00855416971794441,0.573710369894872
"5","Peve_00024385","GO:0002088","lens development in camera-type eye",2,1,0.04,0.039,"Biological Processes",935,"Cluster_1167","Porites_evermani_scaffold_326:281884-300964",150,-21.4,2,11,1576,1597,9,"100.00%","100.00%",0.999909726776791,0.00855416971793389,0.573710369894872
"6","Peve_00040588","GO:0002224","toll-like receptor signaling pathway",1,1,0.02,0.02,"Biological Processes",1484,"Cluster_1167","Porites_evermani_scaffold_745:5073-14901",145,-20.61,2,10,8978,8999,8,"100.00%","100.00%",0.999909726776791,0.00855416971793915,0.573710369894872
"7","Peve_00044958","GO:0002027","regulation of heart rate",2,1,0.04,0.039,"Biological Processes",4221,"Cluster_2787","Porites_evermani_scaffold_971:74425-138787",165,-20.08,2,21,60845,60864,19,"78.95%","84.21%",0.999761494514925,0.0139044219501823,0.720993769905639
"8","Peve_00000536","GO:0005509","calcium ion binding",33,3,0.59,0.018,"Molecular Functions",77,"Cluster_1167","Porites_evermani_scaffold_102:155709-177573",155,-24.9,2,21,16316,16341,23,"65.22%","73.91%",0.999910457964593,0.0085194555748794,0.573710369894872
"9","Peve_00001544","GO:0005509","calcium ion binding",33,3,0.59,0.018,"Molecular Functions",107,"Cluster_1167","Porites_evermani_scaffold_1087:62454-66305",154,-23.08,2,21,3282,3302,19,"63.16%","84.21%",0.999909726776791,0.00855416971793915,0.573710369894872
"10","Peve_00003099","GO:0005509","calcium ion binding",33,3,0.59,0.018,"Molecular Functions",162,"Cluster_1167","Porites_evermani_scaffold_1184:86928-113868",156,-24.94,2,21,22156,22177,19,"63.16%","78.95%",0.998614570448091,0.0335148667827687,0.909359886114279
"11","Peve_00003987","GO:0005509","calcium ion binding",33,3,0.59,0.018,"Molecular Functions",12245,"Cluster_796","Porites_evermani_scaffold_1241:55995-98627",149,-22.14,2,21,7673,7692,19,"68.42%","73.68%",0.997067200526471,0.0487688488234394,0.9484938778958
