"miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region","given_miRNA_name"
"Cluster_5981","FUN_028147",0.682553735869812,0.204170746585591,0.998649612991003,146,-22.19,"2 21","185 209",21,"66.67%","71.43%","3UTR","apul-mir-novel-9"
"Cluster_15340","FUN_013332",0.637106963313786,0.247639328065974,0.998649612991003,158,-23.15,"2 20","198 220",19,"68.42%","84.21%","3UTR","apul-mir-novel-19"
"Cluster_5981","FUN_041253",-0.225086871247346,0.715849193093627,0.998649612991003,153,-20.5,"2 21","699 719",19,"73.68%","73.68%","3UTR","apul-mir-novel-9"
"Cluster_3366","FUN_010827",0.367100453028676,0.543314510733555,0.998649612991003,163,-22.14,"2 18","346 368",16,"81.25%","93.75%","3UTR","apul-mir-novel-28"
"Cluster_3367","FUN_010827",0.536930377663939,0.350798710057061,0.998649612991003,163,-22.14,"2 18","346 368",16,"81.25%","93.75%","3UTR","apul-mir-novel-29"
"Cluster_15340","FUN_003342",0.109621339796859,0.8607058214219,0.998649612991003,154,-20.65,"2 20","562 585",20,"65.00%","80.00%","3UTR","apul-mir-novel-19"
"Cluster_5012","FUN_022172",0.0626971125530698,0.920223887814174,0.998649612991003,148,-21.05,"2 20","253 277",23,"65.22%","73.91%","3UTR","apul-mir-2023"
"Cluster_1832","FUN_022178",-0.0299702136637902,0.961846452097585,0.998649612991003,173,-22.07,"2 18","557 577",16,"81.25%","100.00%","3UTR","apul-mir-novel-27"
"Cluster_15928","FUN_009931",0.274931638951159,0.654407510817774,0.998649612991003,172,-28.13,"2 21","161 182",19,"73.68%","89.47%","3UTR","apul-mir-novel-31"
"Cluster_18728","FUN_009936",-0.0156933474781461,0.980019429605182,0.998649612991003,151,-24.2,"2 12","50 71",10,"90.00%","100.00%","3UTR","apul-mir-100"
"Cluster_15340","FUN_032353",0.177774782321261,0.774848089369129,0.998649612991003,155,-22,"2 21","931 955",22,"68.18%","72.73%","3UTR","apul-mir-novel-19"
"Cluster_5981","FUN_038718",0.365460147321754,0.545257871168856,0.998649612991003,152,-23.12,"2 21","745 765",19,"73.68%","78.95%","3UTR","apul-mir-novel-9"
"Cluster_15340","FUN_028921",-0.064876952510843,0.91745408205935,0.998649612991003,162,-21.5,"2 21","130 154",22,"72.73%","81.82%","3UTR","apul-mir-novel-19"
"Cluster_18728","FUN_028920",0.610006615820625,0.274612552616899,0.998649612991003,159,-20.89,"2 16","497 518",14,"85.71%","85.71%","3UTR","apul-mir-100"
"Cluster_17776","FUN_011224",-0.567413208615718,0.318442605892392,0.998649612991003,153,-25.5,"2 15","502 524",14,"85.71%","85.71%","3UTR","apul-mir-novel-7"
"Cluster_18728","FUN_025430",0.159802422332245,0.797402566495713,0.998649612991003,157,-24.27,"2 15","154 177",15,"86.67%","86.67%","3UTR","apul-mir-100"
"Cluster_16409","FUN_020848",-0.443608069463593,0.454295025254346,0.998649612991003,170,-23.37,"2 20","540 562",19,"78.95%","89.47%","3UTR","apul-mir-novel-34"
