"accession","protein_name","gene_name","species"
"ENSMUSP00000004202","DNA (cytosine-5-)-methyltransferase 1","Dnmt1","Mus musculus"
"ENSMUSP00000020991","DNA (cytosine-5-)-methyltransferase 3 alpha","Dnmt3a","Mus musculus"
"ENSMUSP00000051830","DNA (cytosine-5-)-methyltransferase 3 beta","Dnmt3b","Mus musculus"
"ENSMUSP00000000746","DNA (cytosine-5-)-methyltransferase 3 like","Dnmt3l","Mus musculus"
"ENSP00000342812","Ubiquitin carboxyl-terminal hydrolase 9, Y-linked","USP9Y","Homo sapiens"
"ENSP00000219473","Ubiquitin carboxyl-terminal hydrolase 10","USP10","Homo sapiens"
"ENSP00000218348","Ubiquitin carboxyl-terminal hydrolase 11","USP11","Homo sapiens"
"ENSP00000282344","Ubiquitin carboxyl-terminal hydrolase 12","USP12","Homo sapiens"
"ENSP00000261601","Ubiquitin carboxyl-terminal hydrolase 14","USP14","Homo sapiens"
"ENSP00000280377","Ubiquitin carboxyl-terminal hydrolase 15","USP15","Homo sapiens"
"ENSP00000382858","Ubiquitin carboxyl-terminal hydrolase 16","USP16","Homo sapiens"
"ENSP00000215794","Ubiquitin carboxyl-terminal hydrolase 18","USP18","Homo sapiens"
"ENSP00000401197","Ubiquitin carboxyl-terminal hydrolase 19","USP19","Homo sapiens"
"ENSP00000361506","Ubiquitin carboxyl-terminal hydrolase 20","USP20","Homo sapiens"
"ENSP00000356981","Ubiquitin carboxyl-terminal hydrolase 21","USP21","Homo sapiens"
"ENSP00000261497","Ubiquitin carboxyl-terminal hydrolase 22","USP22","Homo sapiens"
"ENSP00000460380","Ubiquitin carboxyl-terminal hydrolase 6","USP6","Homo sapiens"
"ENSP00000343535","Ubiquitin carboxyl-terminal hydrolase 7 (HAUSP)","USP7","Homo sapiens"
"ENSP00000302239","Ubiquitin carboxyl-terminal hydrolase 8","USP8","Homo sapiens"
"ENSP00000263966","Ubiquitin carboxyl-terminal hydrolase 13","USP13","Homo sapiens"
"ENSP00000343526","Ubiquitin carboxyl-terminal hydrolase 1","USP1","Homo sapiens"
"ENSP00000260187","Ubiquitin carboxyl-terminal hydrolase 2","USP2","Homo sapiens"
"ENSP00000369681","Ubiquitin carboxyl-terminal hydrolase 3","USP3","Homo sapiens"
"ENSP00000265560","Ubiquitin carboxyl-terminal hydrolase 4","USP4","Homo sapiens"
"ENSP00000229268","Ubiquitin carboxyl-terminal hydrolase 5","USP5","Homo sapiens"
"ENSP00000254181","Ubiquitin carboxyl-terminal hydrolase 29","USP29","Homo sapiens"
"ENSP00000257548","Ubiquitin carboxyl-terminal hydrolase 30","USP30","Homo sapiens"
"ENSP00000219689","Ubiquitin carboxyl-terminal hydrolase 31","USP31","Homo sapiens"
"ENSP00000300896","Ubiquitin carboxyl-terminal hydrolase 32","USP32","Homo sapiens"
"ENSP00000359830","Ubiquitin carboxyl-terminal hydrolase 33","USP33","Homo sapiens"
"ENSP00000381577","Ubiquitin carboxyl-terminal hydrolase 34","USP34","Homo sapiens"
"ENSP00000431876","Ubiquitin carboxyl-terminal hydrolase 35","USP35","Homo sapiens"
"ENSP00000310590","Ubiquitin carboxyl-terminal hydrolase 36","USP36","Homo sapiens"
"ENSP00000258399","Ubiquitin carboxyl-terminal hydrolase 37","USP37","Homo sapiens"
"ENSP00000303434","Ubiquitin carboxyl-terminal hydrolase 38","USP38","Homo sapiens"
"ENSP00000312981","Ubiquitin carboxyl-terminal hydrolase 39","USP39","Homo sapiens"
"ENSP00000415434","Ubiquitin carboxyl-terminal hydrolase 40","USP40","Homo sapiens"
"ENSP00000292729","Ubiquitin carboxyl-terminal hydrolase 41","USP41","Homo sapiens"
"ENSP00000301962","Ubiquitin carboxyl-terminal hydrolase 42","USP42","Homo sapiens"
"ENSP00000285199","Ubiquitin carboxyl-terminal hydrolase 43","USP43","Homo sapiens"
"ENSP00000258499","Ubiquitin carboxyl-terminal hydrolase 44","USP44","Homo sapiens"
"ENSP00000424372","Ubiquitin carboxyl-terminal hydrolase 45","USP45","Homo sapiens"
"ENSP00000483631","Ubiquitin carboxyl-terminal hydrolase 27, X-linked","USP27X","Homo sapiens"
"ENSP00000003302","Ubiquitin carboxyl-terminal hydrolase 28","USP28","Homo sapiens"
"ENSP00000359869","Ubiquitin carboxyl-terminal hydrolase 26","USP26","Homo sapiens"
"ENSP00000294383","Ubiquitin carboxyl-terminal hydrolase 24","USP24","Homo sapiens"
"ENSP00000383044","Ubiquitin carboxyl-terminal hydrolase 25","USP25","Homo sapiens"
"ENSP00000407818","Ubiquitin carboxyl-terminal hydrolase 46","USP46","Homo sapiens"
"ENSP00000433146","Ubiquitin carboxyl-terminal hydrolase 47","USP47","Homo sapiens"
"ENSP00000309262","Ubiquitin carboxyl-terminal hydrolase 48","USP48","Homo sapiens"
"ENSP00000507239","Ubiquitin carboxyl-terminal hydrolase 49","USP49","Homo sapiens"
