"miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region"
"Cluster_19193","FUN_043573",0.929674659349317,0.0221496324840345,0.897955770703476,151,-24.7,"2 18","743 766",18,"72.22%","83.33%","3UTR"
"Cluster_10051","FUN_025197",0.978580789954302,0.00375092828341026,0.545343267336266,171,-21.7,"2 21","778 800",20,"80.00%","85.00%","3UTR"
"Cluster_16409","FUN_019843",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","515 537",19,"78.95%","89.47%","3UTR"
"Cluster_16409","FUN_019846",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","511 533",19,"78.95%","89.47%","3UTR"
"Cluster_10051","FUN_014343",0.938315097289955,0.0182197517071088,0.847898695599974,157,-20.65,"2 21","255 276",20,"70.00%","85.00%","3UTR"
"Cluster_3250","FUN_029385",0.918700592430811,0.0274850568020725,0.914225011702335,157,-22.39,"2 20","682 707",22,"72.73%","77.27%","3UTR"
"Cluster_16409","FUN_020652",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","523 545",19,"78.95%","89.47%","3UTR"
"Cluster_19193","FUN_043328",0.965914639369325,0.00751541039444425,0.677079544727381,173,-22.26,"2 19","931 954",19,"84.21%","89.47%","3UTR"
"Cluster_15775","FUN_034923",0.952463395955054,0.0123525010315663,0.766084851142397,175,-21.08,"2 22","665 686",20,"80.00%","90.00%","3UTR"
"Cluster_15775","FUN_027826",0.915440855529146,0.0291399046285765,0.922979388371587,150,-20.73,"2 22","966 997",29,"65.52%","68.97%","3UTR"
"Cluster_15928","FUN_008664",0.88089978514717,0.0484493357400938,0.96546924320845,162,-22.36,"2 21","280 304",22,"77.27%","77.27%","3UTR"
"Cluster_10051","FUN_013927",0.978580789954303,0.00375092828341024,0.545343267336266,152,-21.17,"2 18","385 407",17,"76.47%","76.47%","3UTR"
"Cluster_4254","FUN_042810",-0.911420631503238,0.0312231380321461,0.927224593598359,158,-20.43,"2 20","399 421",19,"73.68%","78.95%","3UTR"
"Cluster_5981","FUN_018057",0.900789662401113,0.0369486378710841,0.96546924320845,147,-20.64,"2 16","945 967",14,"64.29%","85.71%","3UTR"
"Cluster_18728","FUN_018057",-0.910263152536072,0.0318314343537556,0.931214853312136,150,-20.1,"2 11","750 771",9,"100.00%","100.00%","3UTR"
"Cluster_17776","FUN_041481",0.891068009656766,0.0424463563461438,0.96546924320845,142,-22.29,"2 17","675 695",15,"66.67%","80.00%","3UTR"
"Cluster_3366","FUN_035372",0.914870296887149,0.0294327402235506,0.922979388371587,178,-26.71,"2 23","141 164",21,"76.19%","85.71%","3UTR"
"Cluster_15928","FUN_036130",0.939876771205326,0.0175364380491936,0.847898695599974,157,-20.15,"2 14","867 888",12,"91.67%","91.67%","3UTR"
"Cluster_5981","FUN_012516",0.91318960314172,0.0303007902784342,0.922979388371587,151,-24.1,"2 22","218 245",25,"64.00%","72.00%","3UTR"
"Cluster_4220","FUN_041670",-0.963033219379839,0.0084845415358989,0.696512129680701,143,-20.77,"2 21","240 267",25,"60.00%","64.00%","3UTR"
"Cluster_3366","FUN_023803",0.881114119723408,0.0483202262003849,0.96546924320845,160,-21.6,"2 23","352 379",25,"68.00%","76.00%","3UTR"
"Cluster_15316","FUN_029420",0.904239489935055,0.0350570127190687,0.955405536641937,159,-24.18,"2 21","168 194",24,"62.50%","79.17%","3UTR"
"Cluster_14402","FUN_006425",0.905658990907276,0.0342879456764622,0.950618253871956,167,-26.62,"2 21","325 349",22,"77.27%","77.27%","3UTR"
"Cluster_15340","FUN_034331",0.94735279088149,0.0143859052783021,0.791406447288987,155,-22.83,"2 21","750 772",20,"65.00%","80.00%","3UTR"
"Cluster_18711","FUN_011647",-0.934483591954529,0.019931698625076,0.870542031315368,169,-21.12,"2 19","761 783",18,"83.33%","88.89%","3UTR"
"Cluster_15340","FUN_031699",-0.933747396339595,0.0202663060621374,0.874851497109032,153,-20.68,"2 21","333 352",19,"68.42%","78.95%","3UTR"
"Cluster_10057","FUN_001214",0.934801298442879,0.0197878570789982,0.86874670502882,162,-23.22,"2 20","1 23",19,"78.95%","78.95%","3UTR"
"Cluster_5012","FUN_035855",0.9658101093013,0.00754988858923516,0.677079544727381,155,-20.3,"2 20","752 770",18,"77.78%","83.33%","3UTR"
"Cluster_3250","FUN_040184",0.88328449467037,0.0470190087487873,0.96546924320845,170,-22.32,"2 19","70 91",17,"82.35%","88.24%","3UTR"
"Cluster_5981","FUN_032443",0.898911920913488,0.0379915018463866,0.96546924320845,150,-20.62,"2 21","834 861",24,"62.50%","75.00%","3UTR"
"Cluster_1862","FUN_032449",0.995693532787135,0.00033902742814575,0.393371538720933,161,-20.24,"2 21","213 240",23,"78.26%","78.26%","3UTR"
"Cluster_3250","FUN_000258",0.977388854104582,0.00406760929145233,0.545343267336266,167,-21.54,"2 21","785 807",20,"75.00%","85.00%","3UTR"
"Cluster_5981","FUN_010495",0.878919133374315,0.0496475644454636,0.96546924320845,147,-21.99,"2 21","197 220",20,"65.00%","70.00%","3UTR"
"Cluster_1862","FUN_037383",0.918909104941592,0.0273802661228337,0.914225011702335,152,-20.44,"2 23","383 409",24,"62.50%","75.00%","3UTR"
"Cluster_14768","FUN_000662",0.929222172391746,0.0223621946443423,0.900124376770459,150,-20.84,"2 20","178 202",22,"68.18%","68.18%","3UTR"
