"miRNA","lncRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"Cluster_10051","lncRNA_10024",0.828629299458858,0.0829368327404509,0.999980945197546,169,-22.97,"2 20","1 24",20,"80.00%","90.00%"
"Cluster_10051","lncRNA_1046",0.966379213545066,0.00736280448941957,0.634959541032138,168,-21.51,"2 21","437 458",19,"73.68%","84.21%"
"Cluster_10051","lncRNA_10490",-0.219320661618797,0.723007405919562,0.999980945197546,154,-21.36,"2 21","13001 13024",21,"61.90%","85.71%"
"Cluster_10051","lncRNA_10490",-0.219320661618797,0.723007405919562,0.999980945197546,160,-20.81,"2 21","11092 11111",19,"78.95%","84.21%"
"Cluster_10051","lncRNA_105",0.534630390237116,0.353271354633168,0.999980945197546,155,-21.38,"2 21","8062 8080",19,"73.68%","84.21%"
"Cluster_10051","lncRNA_10641",-0.698066976899782,0.189880381246404,0.999980945197546,160,-21.37,"2 21","536 557",19,"68.42%","78.95%"
"Cluster_10051","lncRNA_10642",-0.537778533231502,0.349887965031879,0.999980945197546,160,-21.37,"2 21","65 86",19,"68.42%","78.95%"
"Cluster_10051","lncRNA_10685",0.535772311652763,0.352043176415762,0.999980945197546,158,-21.46,"2 21","4038 4058",19,"73.68%","78.95%"
"Cluster_10051","lncRNA_10685",0.535772311652763,0.352043176415762,0.999980945197546,163,-21.86,"2 21","190 213",21,"71.43%","80.95%"
"Cluster_10051","lncRNA_10785",0.599106332202195,0.285667643437214,0.999980945197546,159,-22.02,"2 21","3203 3225",20,"70.00%","80.00%"
"Cluster_10051","lncRNA_11402",0.944886055092821,0.015402911478845,0.763838870029651,167,-21.38,"2 16","7471 7492",14,"92.86%","92.86%"
"Cluster_10051","lncRNA_11425",0.745215946589816,0.148339034830415,0.999980945197546,173,-20.3,"2 19","3562 3584",18,"88.89%","88.89%"
"Cluster_10051","lncRNA_11426",0.457529559318839,0.438471030373515,0.999980945197546,173,-20.3,"2 19","1293 1315",18,"88.89%","88.89%"
"Cluster_10051","lncRNA_11536",0.570457521198442,0.315254940568545,0.999980945197546,148,-20.06,"2 21","929 950",19,"57.89%","73.68%"
"Cluster_10051","lncRNA_11663",0.0807791435502453,0.89726076508968,0.999980945197546,167,-21.41,"2 20","668 689",18,"72.22%","88.89%"
