"target","protein_name","gene_name","std_gene_name","species","accession","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"Peve_00005079","DIS3-like exonuclease 1","Dis3l","DIS3L","Stylophora pistillata","A0A2B4RZH6",73.739,1051,205,5,1,982,1,1049,0,1551
"Peve_00005079","DIS3-like exonuclease 1","pdam_00009030","DIS3L","Pocillopora damicornis","A0A3M6T9B7",76.213,1051,244,4,165,1215,5,1049,0,1620
"Peve_00005079","DIS3-like exonuclease 1","LOC116305674","DIS3L","Actinia tenebrosa","A0A6P8IWP8",64.434,1060,358,8,1,1052,1,1049,0,1394
"Peve_00005079","DIS3-like exonuclease 1","DIS3L OS=Clytia hemisphaerica OX=252671","DIS3L","Clytia hemisphaerica","A0A7M5X8U0",47.981,1065,523,13,2,1054,1,1046,0,977
"Peve_00005079","DIS3-like exonuclease 1","DIS3L OS=Exaiptasia diaphana OX=2652724","DIS3L","Exaiptasia diaphana","A0A913XIF9",64.929,1055,361,4,1,1052,1,1049,0,1412
"Peve_00005079","DIS3-like exonuclease 1","P5673_007777","DIS3L","Acropora cervicornis","A0AAD9VBE9",63.438,1053,188,12,1,860,1,1049,0,1274
"Peve_00005079","DIS3-like exonuclease 1","PMEA_00010508","DIS3L","Pocillopora meandrina","A0AAU9VML6",80.323,1052,204,2,1,1052,1,1049,0,1746
"Peve_00005079","DIS3-like exonuclease 1","NEMVEDRAFT_v1g107726","DIS3L","Nematostella vectensis","A7S7H2",60.985,1056,395,8,1,1047,1,1048,0,1310
"Peve_00027383","Exosome complex component 10","pdam_00003117","EXOSC10","Pocillopora damicornis","A0A3M6T9L7",66.019,515,158,5,360,869,1,503,0,670
"Peve_00027383","Exosome complex component 10","LOC116289250","EXOSC10","Actinia tenebrosa","A0A6P8H6I1",44.762,525,250,6,221,727,1,503,3.3e-153,454
"Peve_00024359","Exosome complex component 10","LOC116303017","EXOSC10","Actinia tenebrosa","A0A6P8IPB7",59.057,403,145,8,1,385,1,401,1.45e-161,475
"Peve_00027383","Exosome complex component 10","PACLA_8A054231","EXOSC10","Paramuricea clavata","A0A6S7JXZ3",45.472,519,226,14,353,841,1,492,8.63e-133,405
"Peve_00027383","Exosome complex component 10","EXOSC10 OS=Clytia hemisphaerica OX=252671","EXOSC10","Clytia hemisphaerica","A0A7M5X161",39.25,507,225,10,350,792,1,488,7.3e-112,350
"Peve_00027383","Exosome complex component 10","EXOSC10 OS=Clytia hemisphaerica OX=252671","EXOSC10","Clytia hemisphaerica","A0A7M5X1L0",39.096,509,225,11,350,794,1,488,2.3e-110,346
"Peve_00027383","Exosome complex component 10","EXOSC10 OS=Exaiptasia diaphana OX=2652724","EXOSC10","Exaiptasia diaphana","A0A913YD70",51.733,404,175,8,162,553,1,396,3.93e-136,405
"Peve_00027383","Exosome complex component 10","PMEA_00016072","EXOSC10","Pocillopora meandrina","A0AAU9X394",66.602,515,155,5,360,869,1,503,0,681
"Peve_00027383","Exosome complex component 10 homolog","EXOSC10","EXOSC10","Hydra vulgaris","T2ME73",39.841,502,218,14,324,756,2,488,2.49e-103,327
"Peve_00027383","Exosome complex component 10 isoform X2","LOC100209380","EXOSC10","Hydra vulgaris","A0ABM4CIG1",40.719,501,215,14,690,1122,2,488,8.67e-101,328
"Peve_00027825","Exosome complex component CSL4","EXOSC1","EXOSC1","Hydra vulgaris","T2M320",54.645,183,81,2,8,189,9,190,5.11e-69,209
