"target","gene_name"
"FUN_043321-T1","Dnmt1"
"FUN_021938-T1","Dnmt3a"
"FUN_021938-T1","Dnmt3b"
"FUN_041562-T1","Dnmt3l"
"FUN_041562-T1","USP9Y"
"FUN_034781-T1","USP10"
"FUN_005808-T1","USP11"
"FUN_024199-T1","USP12"
"FUN_014539-T1","USP14"
"FUN_005808-T1","USP15"
"FUN_011750-T1","USP16"
"FUN_006885-T1","USP19"
"FUN_042972-T1","USP20"
"FUN_027982-T1","USP21"
"FUN_038040-T1","USP22"
"FUN_014690-T1","USP6"
"FUN_034727-T1","USP7"
"FUN_001947-T2","USP8"
"FUN_013373-T1","USP13"
"FUN_038421-T1","USP1"
"FUN_027982-T1","USP2"
"FUN_005114-T1","USP3"
"FUN_005808-T1","USP4"
"FUN_013373-T1","USP5"
"FUN_014621-T1","USP30"
"FUN_038060-T1","USP31"
"FUN_014690-T1","USP32"
"FUN_042972-T1","USP33"
"FUN_007708-T1","USP34"
"FUN_006436-T1","USP35"
"FUN_034012-T1","USP36"
"FUN_016320-T1","USP37"
"FUN_006436-T1","USP38"
"FUN_037093-T1","USP39"
"FUN_026076-T1","USP40"
"FUN_034012-T1","USP42"
"FUN_038060-T1","USP43"
"FUN_005114-T1","USP44"
"FUN_011750-T1","USP45"
"FUN_038040-T1","USP27X"
"FUN_041566-T1","USP28"
"FUN_016320-T1","USP26"
"FUN_004447-T1","USP24"
"FUN_041566-T1","USP25"
"FUN_024199-T1","USP46"
"FUN_001019-T1","USP47"
"FUN_025431-T1","USP48"
"FUN_005114-T1","USP49"
"FUN_038040-T1","USP51"
"FUN_001947-T2","USP50"
"FUN_022863-T1","PAN2"
"FUN_032353-T1","USP53"
"FUN_032353-T1","USP54"
"FUN_023050-T1","ZRANB1"
"FUN_037324-T1","VCPIP1"
"FUN_036028-T1","OTUD6B"
"FUN_024350-T1","OTUD4"
"FUN_028819-T1","OTUD5"
"FUN_036028-T1","OTUD6A"
"FUN_025671-T1","OTUD3"
"FUN_024350-T1","ALG13"
"FUN_035819-T1","ATXN3"
"FUN_035819-T1","ATXN3L"
