# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "24" "-M" "-O" "--fraction" "-a" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/Peve-lncRNA.gtf" "-o" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/output/01.6-lncRNA-pipeline/Peve-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-71.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-73.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-76.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-79.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-82.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-71.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-73.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-76.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-79.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-82.sorted.bam
lncRNA_001	Porites_evermani_scaffold_1	577251	577956	+	706	13.50	4.50	21.50	19.00	89.50
lncRNA_002	Porites_evermani_scaffold_1	703982	704337	+	356	28	29	48	24	21
lncRNA_003	Porites_evermani_scaffold_1	1585709	1591493	+	5785	158.75	76	298.80	98	326
lncRNA_004	Porites_evermani_scaffold_1	422644	423512	+	869	206	135	237	99	207
lncRNA_005	Porites_evermani_scaffold_1	1084868	1089422	+	4555	334	112	0	147	431
lncRNA_006	Porites_evermani_scaffold_1	372246	372449	+	204	9	0	26	8	18
lncRNA_007	Porites_evermani_scaffold_1	708836	709158	+	323	4	0	36	0	8
lncRNA_008	Porites_evermani_scaffold_1	797317	799464	+	2148	116	55.50	435	21	185
lncRNA_009	Porites_evermani_scaffold_1	799727	800144	+	418	10	5	118	2	61
lncRNA_010	Porites_evermani_scaffold_1	1202045	1202328	+	284	4	0	28	0	3
lncRNA_011	Porites_evermani_scaffold_1	1477782	1478077	+	296	0	0	40	0	0
lncRNA_012	Porites_evermani_scaffold_1	1758805	1759079	+	275	28.20	0	0	0	26.03
lncRNA_013	Porites_evermani_scaffold_10	260428	263111	+	2684	446.50	0	312.50	2	189
lncRNA_014	Porites_evermani_scaffold_10	260441	263111	+	2671	446.50	0	312.50	2	189
lncRNA_015	Porites_evermani_scaffold_10	318857	330698	+	11842	9.25	6	1063.50	89.92	152.58
lncRNA_016	Porites_evermani_scaffold_10	318857	330698	+	11842	9.25	6	1063.50	89.92	152.58
lncRNA_017	Porites_evermani_scaffold_10	318857	330698	+	11842	9.25	6	1063.50	89.92	152.58
lncRNA_018	Porites_evermani_scaffold_10	321043	330698	+	9656	9.25	6	1063.50	89.25	149.75
lncRNA_019	Porites_evermani_scaffold_10	780106	781896	+	1791	2.00	2	98.52	0	0
lncRNA_020	Porites_evermani_scaffold_10	822421	823992	+	1572	133.50	71.50	285.78	223.28	172.33
lncRNA_021	Porites_evermani_scaffold_10	890034	892111	+	2078	2867	983	5846	3452	4257
lncRNA_022	Porites_evermani_scaffold_10	1071613	1085055	+	13443	608.58	139	1454	1155.67	1847.25
lncRNA_023	Porites_evermani_scaffold_10	1071809	1085055	+	13247	608.58	139	1454	1151.67	1841.25
lncRNA_024	Porites_evermani_scaffold_10	1075980	1085055	+	9076	581.08	132.50	1405	1116.67	1783.75
lncRNA_025	Porites_evermani_scaffold_10	1076114	1085055	+	8942	580.75	132.50	1405	1116	1782.75
lncRNA_026	Porites_evermani_scaffold_10	220336	220896	+	561	73	16	66	34	128
lncRNA_027	Porites_evermani_scaffold_10	240018	243709	+	3692	559	179	1870	539	1462
lncRNA_028	Porites_evermani_scaffold_10	237326	239701	+	2376	761	473	2797	1433	2460
lncRNA_029	Porites_evermani_scaffold_10	501903	503955	+	2053	2	1	26	3	10
lncRNA_030	Porites_evermani_scaffold_10	510561	513287	+	2727	10	6	63	44	36
lncRNA_031	Porites_evermani_scaffold_10	524810	525785	+	976	4	10	89	30	28
lncRNA_032	Porites_evermani_scaffold_10	605446	607627	+	2182	102	44	589	119	183
lncRNA_033	Porites_evermani_scaffold_10	25817	26468	+	652	231.83	0	2	24.50	126.67
lncRNA_034	Porites_evermani_scaffold_10	59063	59394	+	332	0	0	35	0	0
lncRNA_035	Porites_evermani_scaffold_10	73508	73729	+	222	0	0	40	3	4
lncRNA_036	Porites_evermani_scaffold_10	224120	224845	+	726	1023	488	1787	897	2153
lncRNA_037	Porites_evermani_scaffold_10	403614	405205	+	1592	27.67	20.50	199	34	165.15
lncRNA_038	Porites_evermani_scaffold_10	413267	413486	+	220	74.27	3	0	16.50	122.83
lncRNA_039	Porites_evermani_scaffold_10	489117	489356	+	240	0	0	40	0	0
lncRNA_040	Porites_evermani_scaffold_10	538148	538387	+	240	3	0	24	9	0
lncRNA_041	Porites_evermani_scaffold_10	1181564	1182204	+	641	450.00	68.50	241	102.35	554.10
lncRNA_042	Porites_evermani_scaffold_10	1183266	1183548	+	283	0.33	0	29.20	0	7.00
lncRNA_043	Porites_evermani_scaffold_10	1195312	1195548	+	237	0	0	28	0	0
lncRNA_044	Porites_evermani_scaffold_100	74377	74611	+	235	12	29	32	3	19
lncRNA_045	Porites_evermani_scaffold_100	148593	148883	+	291	0	0	32	0	0
lncRNA_046	Porites_evermani_scaffold_100	149556	150013	+	458	17.90	1.97	30.07	2.80	46.90
lncRNA_047	Porites_evermani_scaffold_100	369851	370112	+	262	0	2	0	0	28
lncRNA_048	Porites_evermani_scaffold_100	413928	414220	+	293	0	2	39	0	0
lncRNA_049	Porites_evermani_scaffold_100	465897	466521	+	625	3	0	37	24	19
lncRNA_050	Porites_evermani_scaffold_1000	166	4794	+	4629	352	206	334.33	259.53	515.67
lncRNA_051	Porites_evermani_scaffold_1000	124916	129638	+	4723	3510.10	629.53	1177.09	1062.56	4600.57
lncRNA_052	Porites_evermani_scaffold_1000	7600	7816	+	217	13.00	12.50	10.17	20.17	23.33
lncRNA_053	Porites_evermani_scaffold_1001	158623	158840	+	218	11.67	0.40	0	0	14.50
lncRNA_054	Porites_evermani_scaffold_1002	115122	115799	+	678	62.90	20.27	26.45	44.22	81.38
lncRNA_055	Porites_evermani_scaffold_1003	54692	55544	+	853	558.17	82.50	148	124.67	297.17
lncRNA_056	Porites_evermani_scaffold_1003	61271	61535	+	265	4	0	34	14	3
lncRNA_057	Porites_evermani_scaffold_1004	128400	129079	+	680	4	34	2	0	44
lncRNA_058	Porites_evermani_scaffold_1004	89151	89358	+	208	3.50	0	26	1	8.50
lncRNA_059	Porites_evermani_scaffold_1006	53783	54468	+	686	3	0	135	2	23
lncRNA_060	Porites_evermani_scaffold_1006	55979	56257	+	279	18	6	62	4	24
lncRNA_061	Porites_evermani_scaffold_1007	68344	83813	+	15470	639.33	264.58	510.50	206.75	818.25
lncRNA_062	Porites_evermani_scaffold_1007	68344	83813	+	15470	639.33	264.58	510.50	206.75	818.25
lncRNA_063	Porites_evermani_scaffold_1007	68349	83813	+	15465	639.33	264.58	510.50	206.75	818.25
lncRNA_064	Porites_evermani_scaffold_1007	68368	83813	+	15446	639.33	264.58	510.50	206.75	818.25
lncRNA_065	Porites_evermani_scaffold_1007	160273	162216	+	1944	252	60	206	0	2
