# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "24" "-M" "-O" "--fraction" "-a" "../output/01.6-Ptuh-lncRNA-pipeline/Ptuh_lncRNA_for_fc.gtf" "-o" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/output/01.6-lncRNA-pipeline/Ptuh-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-47-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-48-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-50-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-53-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-57-S1-TP2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-47-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-48-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-50-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-53-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-57-S1-TP2.sorted.bam
lncRNA_001	Pocillopora_meandrina_HIv1___Sc0000000	130007	130942	+	936	197	319	154	267	244
lncRNA_002	Pocillopora_meandrina_HIv1___Sc0000000	164395	165221	+	827	184	25	240	107.50	89.50
lncRNA_003	Pocillopora_meandrina_HIv1___Sc0000000	164597	165221	+	625	127	25	194	91.50	72.50
lncRNA_004	Pocillopora_meandrina_HIv1___Sc0000000	168917	182502	+	13586	222	362	307	708	350
lncRNA_005	Pocillopora_meandrina_HIv1___Sc0000000	245809	248612	+	2804	0	0	386	0	12
lncRNA_006	Pocillopora_meandrina_HIv1___Sc0000000	282743	283165	+	423	159	161	280	346	140
lncRNA_007	Pocillopora_meandrina_HIv1___Sc0000000	551803	553744	+	1942	523.75	47	957.92	65.50	117.75
lncRNA_008	Pocillopora_meandrina_HIv1___Sc0000000	584997	589105	+	4109	81.98	43.40	107.45	39.63	73.99
lncRNA_009	Pocillopora_meandrina_HIv1___Sc0000000	585233	589105	+	3873	54.64	43.40	107.45	39.63	69.99
lncRNA_010	Pocillopora_meandrina_HIv1___Sc0000000	586608	590569	+	3962	47.65	48.17	101.57	85.10	69.04
lncRNA_011	Pocillopora_meandrina_HIv1___Sc0000000	587039	589105	+	2067	17.22	10.18	51.43	27.85	33.49
lncRNA_012	Pocillopora_meandrina_HIv1___Sc0000000	608119	611735	+	3617	167	148	148	353	146.50
lncRNA_013	Pocillopora_meandrina_HIv1___Sc0000000	608119	611735	+	3617	167	148	148	353	146.50
lncRNA_014	Pocillopora_meandrina_HIv1___Sc0000000	774889	777085	+	2197	55	85	6	34	18
lncRNA_015	Pocillopora_meandrina_HIv1___Sc0000000	779055	784625	+	5571	19692.75	17326.00	32035.75	18441.83	12588.92
lncRNA_016	Pocillopora_meandrina_HIv1___Sc0000000	836133	836745	+	613	108	167	157	53	158
lncRNA_017	Pocillopora_meandrina_HIv1___Sc0000000	849628	852046	+	2419	177.59	37.34	90.45	135.30	50.44
lncRNA_018	Pocillopora_meandrina_HIv1___Sc0000000	850074	852046	+	1973	177.59	37.34	90.45	134.30	43.44
lncRNA_019	Pocillopora_meandrina_HIv1___Sc0000000	958613	960727	+	2115	1930.50	2843	1952.50	2030	942
lncRNA_020	Pocillopora_meandrina_HIv1___Sc0000000	961876	962189	+	314	14.50	10.49	11.57	53.17	29.04
lncRNA_021	Pocillopora_meandrina_HIv1___Sc0000000	1055640	1057379	+	1740	331	238	325	337	168
lncRNA_022	Pocillopora_meandrina_HIv1___Sc0000000	1242140	1261316	+	19177	971.46	903.56	547.07	663.76	935.23
lncRNA_023	Pocillopora_meandrina_HIv1___Sc0000000	1253417	1253755	+	339	41.50	2.50	0	19.25	0
lncRNA_024	Pocillopora_meandrina_HIv1___Sc0000000	1253995	1261220	+	7226	256.94	107.00	69.03	141.15	87.53
lncRNA_025	Pocillopora_meandrina_HIv1___Sc0000000	1488516	1491636	+	3121	413	56.50	3958	22.83	317
lncRNA_026	Pocillopora_meandrina_HIv1___Sc0000000	1496330	1500789	+	4460	409.50	248	279.50	361	94
lncRNA_027	Pocillopora_meandrina_HIv1___Sc0000000	1501614	1503142	+	1529	199.50	50	65.50	12	38
lncRNA_028	Pocillopora_meandrina_HIv1___Sc0000000	1616910	1622670	+	5761	144.33	123.50	57	167.33	61.00
lncRNA_029	Pocillopora_meandrina_HIv1___Sc0000000	1617145	1622829	+	5685	150.33	123.50	57	176.33	61.00
lncRNA_030	Pocillopora_meandrina_HIv1___Sc0000000	1789314	1800539	+	11226	4438	4675	4504	5262	3769.33
lncRNA_031	Pocillopora_meandrina_HIv1___Sc0000000	1789350	1795470	+	6121	2260	2374	2489	3773	1907.33
lncRNA_032	Pocillopora_meandrina_HIv1___Sc0000000	2228038	2228937	+	900	56	36	43	57.50	90
lncRNA_033	Pocillopora_meandrina_HIv1___Sc0000000	2228125	2228616	+	492	9	28	12	35.50	40
lncRNA_034	Pocillopora_meandrina_HIv1___Sc0000000	2420621	2422254	+	1634	132	152	4	232	823
lncRNA_035	Pocillopora_meandrina_HIv1___Sc0000000	2513923	2514255	+	333	358.02	47.35	36.57	23.23	23.15
lncRNA_036	Pocillopora_meandrina_HIv1___Sc0000000	2684191	2684469	+	279	0	2	18	14	1
lncRNA_037	Pocillopora_meandrina_HIv1___Sc0000000	2796416	2797736	+	1321	27	57	119	53	26
lncRNA_038	Pocillopora_meandrina_HIv1___Sc0000000	2951622	2966261	+	14640	1853.13	2558.62	1416.33	893.49	649.43
lncRNA_039	Pocillopora_meandrina_HIv1___Sc0000000	2997189	3007038	+	9850	47.05	353.87	101.33	160.91	78.11
lncRNA_040	Pocillopora_meandrina_HIv1___Sc0000000	3113758	3117669	+	3912	3	10.50	127	95	5.50
lncRNA_041	Pocillopora_meandrina_HIv1___Sc0000000	3113758	3117669	+	3912	3	10.50	127	95	5.50
lncRNA_042	Pocillopora_meandrina_HIv1___Sc0000000	3483862	3484415	+	554	32	5	9	24	26
lncRNA_043	Pocillopora_meandrina_HIv1___Sc0000000	3582370	3583786	+	1417	98.76	33.91	187.51	76.66	28.04
lncRNA_044	Pocillopora_meandrina_HIv1___Sc0000000	3590436	3591381	+	946	52	20	30	73.50	22
lncRNA_045	Pocillopora_meandrina_HIv1___Sc0000000	3639930	3640246	+	317	0	7	0	0	22
lncRNA_046	Pocillopora_meandrina_HIv1___Sc0000000	3921675	3924595	+	2921	8	16	5	49.50	20
